window,rmse,mape,mae,r2,smape,nrmse,variable
0,0.665,71.066,0.48,0.097,20.196,0.147,use [kW](t)
0,0.073,inf,0.056,0.106,70.16,0.137,gen [kW](t)
0,0.179,inf,0.106,0.363,93.839,0.131,Dishwasher [kW](t)
0,0.154,253.256,0.119,0.449,39.958,0.101,Furnace 1 [kW](t)
0,0.166,121.158,0.125,0.497,34.449,0.249,Furnace 2 [kW](t)
0,0.074,73.696,0.046,0.455,23.232,0.085,Home office [kW](t)
0,0.059,452.112,0.037,0.451,41.655,0.096,Fridge [kW](t)
0,0.022,164.118,0.015,0.6,38.305,0.184,Wine cellar [kW](t)
0,0.009,44.328,0.006,-1.517,15.934,0.061,Garage door [kW](t)
0,0.001,89.555,0.0,-0.69,24.674,0.035,Kitchen 12 [kW](t)
0,0.096,inf,0.05,0.051,95.556,0.06,Kitchen 14 [kW](t)
0,0.0,inf,0.0,-0.447,62.711,0.0,Kitchen 38 [kW](t)
0,0.133,330.785,0.106,-2.022,51.385,0.127,Barn [kW](t)
0,0.156,5691.76,0.073,-0.001,91.865,0.097,Well [kW](t)
0,0.085,669.938,0.032,-0.099,70.4,0.046,Microwave [kW](t)
0,0.078,2025.817,0.054,0.665,68.527,0.224,Living room [kW](t)
0,0.073,inf,0.056,0.106,70.16,0.137,Solar [kW](t)
0,10.669,15.267,6.444,-0.003,9.125,0.27,temperature(t)
0,0.166,16.377,0.122,0.31,8.991,0.291,humidity(t)
0,2.445,30.492,1.272,-0.205,8.904,0.303,visibility(t)
0,13.24,21.155,7.893,-0.098,13.297,0.297,apparentTemperature(t)
0,13.204,0.974,9.743,-1.372,0.482,0.457,pressure(t)
0,2.681,74.719,1.831,0.623,13.067,0.167,windSpeed(t)
0,50.119,33.162,34.023,0.601,10.862,0.194,windBearing(t)
0,0.025,inf,0.009,-0.148,97.576,0.193,precipIntensity(t)
0,15.367,32.531,9.605,0.018,20.017,0.312,dewPoint(t)
0,0.291,inf,0.138,-0.285,97.671,0.359,precipProbability(t)
16796,0.332,214.948,0.222,0.741,14.011,0.042,use [kW](t)
