window,rmse,mape,mae,r2,smape,nrmse,variable
0,34.727,108.849,23.742,-0.288,27.057,0.23,PM2.5(t)
0,53.765,62.524,37.973,0.346,20.169,0.176,PM10(t)
0,14.892,83.295,10.594,0.418,24.384,0.132,SO2(t)
0,16.114,36.204,11.218,0.743,13.316,0.133,NO2(t)
0,370.075,41.605,259.364,0.28,17.924,0.128,CO(t)
0,11693.143,174.257,1996.293,-0.029,20.892,0.132,O3(t)
0,2.047,16.883,1.521,0.836,8.024,0.085,TEMP(t)
0,1.97,0.141,1.41,0.912,0.07,0.075,PRES(t)
0,2.973,inf,2.212,0.7,37.056,0.128,DEWP(t)
0,0.041,inf,0.022,0.0,100.0,inf,RAIN(t)
0,1.585,inf,1.2,0.002,23.163,0.209,WSPM(t)
1062,32.313,59.858,24.805,0.676,14.463,0.131,PM2.5(t)
1062,57.799,74.384,45.736,0.301,18.844,0.138,PM10(t)
1062,8.156,86.924,5.547,0.456,25.172,0.12,SO2(t)
1062,23.907,22.02,15.188,0.441,12.674,0.111,NO2(t)
1062,445.276,22.671,297.92,0.706,11.887,0.148,CO(t)
1062,164.922,389.073,68.646,-6.133,48.031,0.581,O3(t)
1062,1.827,6.229,1.405,0.812,3.173,0.092,TEMP(t)
1062,1.046,0.077,0.771,0.895,0.038,0.077,PRES(t)
1062,3.587,30.117,2.373,0.417,11.949,0.173,DEWP(t)
1062,1.049,inf,0.202,-0.019,98.227,0.098,RAIN(t)
1062,1.129,inf,0.936,-0.379,33.235,0.191,WSPM(t)
2124,21.876,36.938,15.178,0.676,13.791,0.12,PM2.5(t)
2124,45.036,83.116,33.089,-0.021,22.435,0.214,PM10(t)
2124,7.2,48.548,3.675,0.495,18.349,0.091,SO2(t)
2124,15.521,23.647,12.243,0.545,11.639,0.144,NO2(t)
2124,261.969,26.94,184.692,0.719,12.239,0.101,CO(t)
2124,38.039,233.799,23.722,0.767,32.605,0.114,O3(t)
2124,1.974,4.891,1.318,0.797,2.441,0.108,TEMP(t)
2124,0.981,0.072,0.721,0.859,0.036,0.08,PRES(t)
2124,1.374,4.579,0.984,0.525,2.311,0.104,DEWP(t)
2124,1.151,inf,0.329,0.013,96.734,0.078,RAIN(t)
2124,0.865,inf,0.662,-0.231,31.641,0.201,WSPM(t)
3186,21.341,115.99,16.461,0.727,20.507,0.133,PM2.5(t)
3186,37.038,100.314,29.736,0.457,23.391,0.172,PM10(t)
3186,4.295,39.375,3.102,0.577,14.844,0.153,SO2(t)
3186,17.582,33.117,13.401,0.38,12.53,0.166,NO2(t)
3186,392.189,42.919,279.365,0.752,18.05,0.112,CO(t)
3186,20.855,612.005,14.703,0.628,59.578,0.13,O3(t)
3186,3.373,14.473,2.184,0.387,5.914,0.137,TEMP(t)
3186,3.021,0.185,1.874,0.425,0.093,0.162,PRES(t)
3186,3.487,50.734,2.161,0.555,10.324,0.161,DEWP(t)
3186,0.698,inf,0.151,0.019,95.418,0.064,RAIN(t)
3186,0.828,inf,0.656,-0.143,30.538,0.218,WSPM(t)
4248,47.539,240.069,32.338,0.421,37.271,0.149,PM2.5(t)
4248,57.895,191.935,45.378,0.316,34.56,0.177,PM10(t)
4248,224.178,2200.361,161.288,-180.47,84.384,2.768,SO2(t)
4248,26.563,85.565,19.26,0.389,24.808,0.168,NO2(t)
4248,721.895,54.397,425.973,0.216,22.572,0.164,CO(t)
4248,15606.959,270.627,5439.781,-0.137,44.045,0.239,O3(t)
4248,4.559,inf,3.114,0.181,22.717,0.206,TEMP(t)
4248,2.837,0.174,1.778,0.49,0.087,0.146,PRES(t)
4248,8.49,98.075,5.847,-0.752,45.297,0.292,DEWP(t)
4248,0.025,inf,0.015,0.0,100.0,inf,RAIN(t)
4248,1.536,inf,1.142,-0.236,34.501,0.226,WSPM(t)
5310,79.601,34.681,36.285,0.486,21.804,0.15,PM2.5(t)
5310,92.647,47.497,46.783,0.466,23.148,0.146,PM10(t)
5310,24.368,27.177,16.004,0.631,14.288,0.128,SO2(t)
5310,19.641,24.071,14.066,0.747,12.83,0.112,NO2(t)
5310,866.347,28.763,555.598,0.666,17.46,0.113,CO(t)
5310,67.142,3094.538,55.289,-16.781,86.367,1.138,O3(t)
5310,1.878,inf,1.404,0.77,35.377,0.107,TEMP(t)
5310,1.327,0.1,1.02,0.849,0.05,0.089,PRES(t)
5310,1.8,10.125,1.301,0.898,5.095,0.077,DEWP(t)
5310,0.0,,0.0,1.0,,,RAIN(t)
5310,0.874,inf,0.686,0.075,25.544,0.171,WSPM(t)
6372,33.102,69.881,23.985,0.93,17.912,0.064,PM2.5(t)
6372,50.612,154.67,36.295,0.865,22.07,0.098,PM10(t)
6372,22.008,46.425,15.712,0.837,15.707,0.12,SO2(t)
6372,15.617,26.65,11.423,0.839,11.085,0.099,NO2(t)
6372,812.539,29.613,529.47,0.809,12.882,0.114,CO(t)
6372,10.699,187.991,7.71,0.836,36.218,0.132,O3(t)
6372,1.743,inf,1.259,0.715,24.804,0.097,TEMP(t)
6372,1.065,0.08,0.818,0.903,0.04,0.08,PRES(t)
6372,2.93,81.242,2.054,0.814,20.392,0.108,DEWP(t)
6372,0.032,inf,0.008,0.238,99.296,0.08,RAIN(t)
6372,1.235,inf,0.981,-0.419,27.699,0.221,WSPM(t)
7434,25.669,19.862,20.058,0.798,9.751,0.093,PM2.5(t)
7434,62.447,31.631,44.876,0.607,12.929,0.104,PM10(t)
7434,8.431,31.053,6.269,0.424,13.111,0.145,SO2(t)
7434,17.928,21.307,13.426,0.507,9.676,0.116,NO2(t)
7434,286.577,20.601,217.591,0.607,10.141,0.136,CO(t)
7434,23.709,172.476,17.019,0.747,35.403,0.118,O3(t)
7434,1.799,8.659,1.329,0.815,4.411,0.082,TEMP(t)
7434,1.128,0.082,0.828,0.906,0.041,0.072,PRES(t)
7434,3.472,119.324,2.475,0.437,34.19,0.18,DEWP(t)
7434,0.092,inf,0.01,-0.001,99.972,0.071,RAIN(t)
7434,1.015,inf,0.762,-0.59,27.89,0.226,WSPM(t)
8496,22.59,55.195,17.197,0.57,16.201,0.154,PM2.5(t)
8496,93.067,168.974,73.474,-0.138,37.573,0.129,PM10(t)
8496,12.603,56.484,6.262,0.507,24.189,0.138,SO2(t)
8496,28.802,38.124,21.643,0.36,19.945,0.145,NO2(t)
8496,500.155,38.31,294.876,0.378,18.068,0.156,CO(t)
8496,32.32,219.761,26.331,0.825,26.46,0.096,O3(t)
8496,3.507,10.141,2.591,0.644,5.225,0.136,TEMP(t)
8496,2.012,0.144,1.436,0.812,0.072,0.108,PRES(t)
8496,3.995,53.312,2.959,0.013,14.207,0.186,DEWP(t)
8496,1.268,inf,0.26,0.03,98.215,0.109,RAIN(t)
8496,1.67,inf,1.346,-0.746,52.937,0.239,WSPM(t)
9558,19.786,43.98,14.707,0.841,16.208,0.092,PM2.5(t)
9558,19.786,43.98,14.707,0.841,16.208,0.092,PM10(t)
9558,2.1,56.114,1.521,-0.733,23.494,0.262,SO2(t)
9558,16.238,33.236,12.219,0.541,13.836,0.124,NO2(t)
9558,316.651,54.222,229.525,0.702,19.173,0.109,CO(t)
9558,27.447,73.214,19.793,0.778,21.691,0.113,O3(t)
9558,1.566,4.249,1.209,0.865,2.137,0.095,TEMP(t)
9558,0.923,0.068,0.679,0.876,0.034,0.083,PRES(t)
9558,2.564,9.646,1.91,0.686,4.922,0.157,DEWP(t)
9558,1.806,inf,0.367,-0.195,98.941,0.067,RAIN(t)
9558,0.961,inf,0.726,0.079,38.655,0.175,WSPM(t)
10620,26.536,44.383,19.821,0.685,18.499,0.159,PM2.5(t)
10620,65.07,59.495,47.001,-0.171,28.954,0.209,PM10(t)
10620,3.327,71.582,2.304,-0.329,27.144,0.208,SO2(t)
10620,41.922,56.264,28.757,-0.878,23.88,0.289,NO2(t)
10620,436.796,37.303,320.847,0.357,19.904,0.156,CO(t)
10620,44.693,517.363,34.628,0.216,41.43,0.222,O3(t)
10620,2.621,8.917,2.042,0.538,4.323,0.146,TEMP(t)
10620,2.045,0.155,1.56,0.499,0.078,0.15,PRES(t)
10620,3.008,14.413,1.984,0.254,6.03,0.185,DEWP(t)
