window,rmse,mape,mae,r2,smape,nrmse,variable
0,861.055,2162.022,156.535,-791.172,20.501,5.702,PM2.5(t)
0,828.148,720.273,159.62,-154.392,13.598,2.706,PM10(t)
0,106.149,384.274,21.98,-28.508,15.598,0.939,SO2(t)
0,210.032,205.13,42.654,-42.585,12.066,1.736,NO2(t)
0,11060.442,398.216,2025.048,-641.856,13.132,3.814,CO(t)
0,14780.859,2712.832,3326.6,-0.638,16.783,0.166,O3(t)
0,94.57,184.294,17.164,-348.991,8.729,3.924,TEMP(t)
0,3.464,0.119,1.201,0.727,0.059,0.132,PRES(t)
0,4.18,inf,1.763,0.401,23.576,0.18,DEWP(t)
0,0.546,inf,0.118,0.0,100.0,inf,RAIN(t)
0,10.114,inf,2.537,-39.502,20.401,1.331,WSPM(t)
1062,21.404,28.095,13.763,0.857,10.981,0.087,PM2.5(t)
1062,37.985,31.202,24.633,0.696,12.373,0.09,PM10(t)
1062,5.45,52.233,3.754,0.758,19.994,0.08,SO2(t)
1062,16.543,15.689,9.848,0.733,8.224,0.077,NO2(t)
1062,247.87,14.962,176.728,0.909,7.198,0.083,CO(t)
1062,148.943,769.908,111.443,-4.803,64.96,0.524,O3(t)
1062,1.063,3.224,0.719,0.936,1.606,0.054,TEMP(t)
1062,0.575,0.044,0.441,0.968,0.022,0.043,PRES(t)
1062,1.473,23.265,0.886,0.902,6.184,0.071,DEWP(t)
1062,0.922,inf,0.168,0.216,94.72,0.086,RAIN(t)
1062,0.701,inf,0.501,0.469,22.844,0.119,WSPM(t)
2124,18.606,29.797,10.567,0.759,9.608,0.102,PM2.5(t)
2124,30.84,69.123,20.88,0.506,16.11,0.147,PM10(t)
2124,4.109,28.384,2.122,0.836,13.235,0.052,SO2(t)
2124,12.221,16.925,9.018,0.719,8.037,0.113,NO2(t)
2124,208.901,20.432,140.11,0.822,9.335,0.08,CO(t)
2124,34.426,158.884,18.698,0.806,29.153,0.103,O3(t)
2124,1.707,3.701,1.001,0.847,1.862,0.094,TEMP(t)
2124,0.608,0.043,0.43,0.946,0.022,0.05,PRES(t)
2124,1.015,3.22,0.676,0.74,1.6,0.077,DEWP(t)
2124,1.179,inf,0.347,-0.032,96.052,0.08,RAIN(t)
