window,rmse,mape,mae,r2,smape,nrmse,variable
0,46.014,106.199,35.503,0.386,24.853,0.178,PM2.5(t)
0,52.45,66.141,38.127,0.416,18.117,0.178,PM10(t)
0,18.241,103.96,13.681,-0.219,28.891,0.182,SO2(t)
0,22.545,54.053,16.2,0.169,15.339,0.189,NO2(t)
0,541.184,63.018,416.26,-1.417,20.608,0.361,CO(t)
0,8101.938,228.515,963.063,-0.014,26.881,0.104,O3(t)
0,2.905,27.858,2.167,0.561,11.525,0.134,TEMP(t)
0,2.47,0.17,1.721,0.852,0.085,0.1,PRES(t)
0,3.172,inf,2.481,0.683,47.537,0.136,DEWP(t)
0,0.066,inf,0.039,0.0,100.0,inf,RAIN(t)
0,1.306,inf,0.974,-0.179,23.518,0.204,WSPM(t)
0,50.397,134.569,36.128,0.393,26.383,0.178,PM2.5.1(t)
0,63.47,91.319,47.859,0.094,24.295,0.159,PM10.1(t)
0,15.087,151.219,11.731,-0.098,33.41,0.21,SO2.1(t)
0,20.16,70.121,15.427,-0.134,20.395,0.255,NO2.1(t)
0,665.746,93.435,522.648,-2.641,26.561,0.392,CO.1(t)
0,7852.882,50.061,1046.637,-0.017,18.837,0.106,O3.1(t)
0,2.566,22.07,1.892,0.622,9.912,0.12,TEMP.1(t)
0,2.478,0.175,1.756,0.848,0.087,0.1,PRES.1(t)
0,3.756,176.987,2.963,0.627,44.67,0.148,DEWP.1(t)
0,0.068,inf,0.034,-0.846,100.0,0.113,RAIN.1(t)
0,1.479,inf,1.163,-0.0,31.905,0.239,WSPM.1(t)
0,51.442,217.293,37.004,0.415,29.176,0.203,PM2.5.2(t)
0,67.19,176.849,52.146,0.098,31.3,0.25,PM10.2(t)
0,13.63,167.019,10.551,0.094,35.031,0.168,SO2.2(t)
0,20.613,175.38,14.338,-0.052,25.41,0.222,NO2.2(t)
0,505.106,93.905,379.652,-0.665,25.092,0.266,CO.2(t)
0,8893.772,29.076,1051.959,-0.014,12.469,0.103,O3.2(t)
0,2.566,22.07,1.892,0.622,9.912,0.12,TEMP.2(t)
0,2.478,0.175,1.756,0.848,0.087,0.1,PRES.2(t)
0,3.756,176.987,2.963,0.627,44.67,0.148,DEWP.2(t)
0,0.068,inf,0.034,-0.846,100.0,0.113,RAIN.2(t)
0,1.479,inf,1.163,-0.0,31.905,0.239,WSPM.2(t)
0,46.643,117.129,34.495,0.435,24.22,0.17,PM2.5.3(t)
0,60.118,101.506,41.43,0.291,22.309,0.159,PM10.3(t)
0,18.707,133.14,13.517,-0.508,30.68,0.197,SO2.3(t)
0,27.053,96.712,19.016,-0.092,20.749,0.265,NO2.3(t)
0,628.381,70.458,436.624,-0.678,19.293,0.209,CO.3(t)
0,265.299,80.928,38.178,0.003,17.968,0.083,O3.3(t)
0,2.579,21.376,1.925,0.593,9.559,0.119,TEMP.3(t)
0,2.421,0.163,1.651,0.857,0.082,0.098,PRES.3(t)
0,4.078,211.941,3.526,0.558,49.063,0.157,DEWP.3(t)
0,0.085,inf,0.055,-102.531,99.976,0.85,RAIN.3(t)
0,1.812,inf,1.471,-0.732,30.115,0.292,WSPM.3(t)
0,46.21,116.235,35.586,0.381,25.844,0.192,PM2.5.4(t)
0,55.151,77.163,45.499,0.12,23.462,0.219,PM10.4(t)
0,21.204,168.022,15.241,-0.373,31.669,0.193,SO2.4(t)
0,5785.458,67.882,681.301,-0.013,17.363,0.097,NO2.4(t)
0,600.485,84.166,445.663,-0.49,21.924,0.214,CO.4(t)
0,9292.97,478.25,1267.592,-0.018,25.014,0.106,O3.4(t)
0,2.905,27.858,2.167,0.561,11.525,0.134,TEMP.4(t)
0,2.47,0.17,1.721,0.852,0.085,0.1,PRES.4(t)
0,3.172,inf,2.481,0.683,47.537,0.136,DEWP.4(t)
0,0.066,inf,0.039,0.0,100.0,inf,RAIN.4(t)
0,1.306,inf,0.974,-0.179,23.518,0.204,WSPM.4(t)
0,44.736,203.549,36.057,0.457,28.648,0.202,PM2.5.5(t)
0,65.283,147.89,50.968,0.26,25.086,0.224,PM10.5(t)
0,16.505,133.762,11.662,-0.23,30.145,0.232,SO2.5(t)
0,25.322,75.163,19.597,0.245,20.62,0.232,NO2.5(t)
0,669.396,83.134,526.488,-1.134,24.361,0.352,CO.5(t)
0,14036.431,145.495,2353.455,-0.028,24.456,0.141,O3.5(t)
0,2.58,20.505,1.905,0.63,9.743,0.121,TEMP.5(t)
0,2.468,0.172,1.735,0.853,0.086,0.1,PRES.5(t)
0,4.289,inf,3.507,0.531,55.291,0.176,DEWP.5(t)
0,0.062,inf,0.038,0.0,100.0,inf,RAIN.5(t)
0,1.131,inf,0.773,-0.053,25.442,0.164,WSPM.5(t)
0,53.245,335.552,40.558,0.133,29.787,0.216,PM2.5.6(t)
0,71.273,130.315,55.638,-0.026,26.721,0.23,PM10.6(t)
0,21.543,223.464,16.788,-0.344,37.737,0.227,SO2.6(t)
0,21.378,123.933,17.293,0.009,26.045,0.238,NO2.6(t)
0,585.308,104.031,431.09,-1.895,25.663,0.366,CO.6(t)
0,8711.915,163.34,749.406,-0.007,21.026,0.084,O3.6(t)
0,2.916,36.188,2.181,0.537,13.712,0.138,TEMP.6(t)
0,2.338,0.163,1.64,0.856,0.082,0.097,PRES.6(t)
0,4.031,173.553,3.273,0.572,43.746,0.139,DEWP.6(t)
0,0.091,inf,0.043,-0.848,99.92,0.114,RAIN.6(t)
0,1.697,61.385,1.162,0.007,26.906,0.145,WSPM.6(t)
0,48.552,125.565,35.355,-0.048,25.339,0.216,PM2.5.7(t)
0,52.146,82.501,38.332,0.283,20.863,0.191,PM10.7(t)
0,20.105,173.083,15.905,-0.474,35.188,0.203,SO2.7(t)
0,24.29,51.419,18.14,0.146,17.668,0.219,NO2.7(t)
0,709.729,85.338,522.363,-2.128,23.688,0.394,CO.7(t)
0,5567.46,133.059,484.128,-0.007,22.127,0.084,O3.7(t)
0,2.579,21.376,1.925,0.593,9.559,0.119,TEMP.7(t)
0,2.421,0.163,1.651,0.857,0.082,0.098,PRES.7(t)
0,4.078,211.941,3.526,0.558,49.063,0.157,DEWP.7(t)
0,0.085,inf,0.055,-102.531,99.976,0.85,RAIN.7(t)
0,1.812,inf,1.471,-0.732,30.115,0.292,WSPM.7(t)
0,53.219,161.979,38.966,0.0,27.919,0.23,PM2.5.8(t)
0,54.276,148.644,37.244,0.107,21.142,0.209,PM10.8(t)
0,17.208,225.529,12.131,-0.494,42.19,0.273,SO2.8(t)
0,21.383,69.324,16.666,0.031,21.061,0.21,NO2.8(t)
0,515.009,53.118,401.358,-1.324,18.399,0.368,CO.8(t)
0,7429.068,131.025,1070.855,-0.021,25.376,0.122,O3.8(t)
0,2.492,20.529,1.885,0.619,9.766,0.116,TEMP.8(t)
0,2.389,0.164,1.657,0.857,0.082,0.096,PRES.8(t)
0,3.68,inf,2.964,0.611,49.662,0.151,DEWP.8(t)
0,0.075,inf,0.046,0.0,100.0,inf,RAIN.8(t)
0,1.577,inf,1.281,-0.254,26.582,0.229,WSPM.8(t)
0,46.001,127.465,32.834,0.364,24.294,0.177,PM2.5.9(t)
0,47.711,64.19,35.644,0.275,20.304,0.172,PM10.9(t)
0,18.887,191.591,14.302,-0.377,36.151,0.189,SO2.9(t)
0,23.544,76.054,18.802,-0.492,22.313,0.277,NO2.9(t)
0,676.048,76.743,501.025,-1.171,22.079,0.211,CO.9(t)
0,8295.284,177.9,996.077,-0.014,25.095,0.101,O3.9(t)
0,2.579,21.376,1.925,0.593,9.559,0.119,TEMP.9(t)
0,2.421,0.163,1.651,0.857,0.082,0.098,PRES.9(t)
0,4.078,211.941,3.526,0.558,49.063,0.157,DEWP.9(t)
0,0.085,inf,0.055,-102.531,99.976,0.85,RAIN.9(t)
0,1.812,inf,1.471,-0.732,30.115,0.292,WSPM.9(t)
0,49.719,146.555,39.616,0.447,28.875,0.183,PM2.5.10(t)
0,59.752,103.857,47.306,0.282,24.441,0.212,PM10.10(t)
0,18.244,77.137,13.191,0.088,24.965,0.179,SO2.10(t)
0,29.395,50.814,25.069,0.065,18.432,0.221,NO2.10(t)
0,851.444,133.558,638.711,-2.603,28.534,0.426,CO.10(t)
