window,rmse,mape,mae,r2,smape,nrmse,variable
0,46.109,129.279,26.975,0.178,24.25,0.182,PM2.5(t)
0,54.547,63.076,36.709,0.322,18.598,0.181,PM10(t)
0,23.285,134.204,14.537,-1.371,30.501,0.233,SO2(t)
0,20.845,43.375,13.9,0.421,15.99,0.175,NO2(t)
0,484.43,47.936,304.292,-1.319,15.564,0.323,CO(t)
0,9893.578,638.269,1428.196,-0.02,22.591,0.127,O3(t)
0,2.494,20.504,1.721,0.683,10.192,0.115,TEMP(t)
0,2.581,0.15,1.52,0.834,0.075,0.094,PRES(t)
0,2.941,inf,1.918,0.754,31.162,0.132,DEWP(t)
0,0.031,inf,0.014,-2.714,99.612,0.155,RAIN(t)
0,1.165,inf,0.854,0.344,18.957,0.166,WSPM(t)
0,44.494,128.142,27.094,0.373,25.85,0.179,PM2.5.1(t)
0,62.322,89.318,36.197,0.033,21.28,0.157,PM10.1(t)
0,16.579,102.095,8.89,-0.458,25.567,0.23,SO2.1(t)
0,19.503,67.255,13.046,-0.123,19.585,0.247,NO2.1(t)
0,536.609,68.031,341.457,-1.336,19.933,0.316,CO.1(t)
0,10882.434,52.993,2034.25,-0.034,17.761,0.132,O3.1(t)
0,2.529,19.718,1.755,0.647,10.363,0.118,TEMP.1(t)
0,2.511,0.16,1.609,0.843,0.08,0.092,PRES.1(t)
0,3.046,88.572,1.938,0.768,26.694,0.117,DEWP.1(t)
0,0.054,inf,0.02,-0.566,99.996,0.09,RAIN.1(t)
0,1.33,inf,1.029,0.372,26.401,0.162,WSPM.1(t)
0,45.253,145.739,27.677,0.437,27.48,0.18,PM2.5.2(t)
0,58.571,135.65,37.05,0.192,26.112,0.217,PM10.2(t)
0,13.485,147.559,8.277,0.079,30.918,0.166,SO2.2(t)
0,20.585,156.977,12.893,-0.114,25.472,0.221,NO2.2(t)
0,474.063,71.222,269.829,-0.424,19.064,0.25,CO.2(t)
0,14100.474,27.119,2823.513,-0.04,12.705,0.163,O3.2(t)
0,2.797,20.715,1.888,0.568,11.765,0.131,TEMP.2(t)
0,2.644,0.174,1.748,0.826,0.087,0.097,PRES.2(t)
0,3.351,85.223,2.173,0.719,28.534,0.128,DEWP.2(t)
0,0.049,inf,0.014,-0.3,99.987,0.082,RAIN.2(t)
0,1.287,inf,1.008,0.412,24.58,0.157,WSPM.2(t)
0,46.094,120.9,28.117,0.191,24.18,0.197,PM2.5.3(t)
0,62.893,124.476,40.722,0.093,22.751,0.165,PM10.3(t)
0,23.957,181.991,14.334,-2.012,32.14,0.252,SO2.3(t)
0,28.693,80.271,16.327,-0.368,19.039,0.279,NO2.3(t)
0,597.566,68.665,354.415,-1.295,18.392,0.315,CO.3(t)
0,2438.568,82.971,268.164,-0.002,16.721,0.073,O3.3(t)
0,2.364,17.107,1.634,0.643,9.087,0.109,TEMP.3(t)
0,2.59,0.151,1.53,0.83,0.076,0.096,PRES.3(t)
0,2.49,88.997,1.781,0.853,24.555,0.096,DEWP.3(t)
0,0.025,inf,0.012,0.0,100.0,inf,RAIN.3(t)
0,1.328,inf,1.004,0.384,21.561,0.156,WSPM.3(t)
0,40.296,117.056,24.45,0.316,24.334,0.179,PM2.5.4(t)
0,47.131,59.428,31.545,0.254,18.575,0.167,PM10.4(t)
0,30.023,281.336,16.576,-2.24,31.222,0.273,SO2.4(t)
0,9532.574,52.919,1198.657,-0.015,16.466,0.086,NO2.4(t)
0,491.091,69.702,321.817,-0.513,19.56,0.289,CO.4(t)
0,7942.561,684.481,948.257,-0.012,20.727,0.09,O3.4(t)
0,2.716,21.304,1.851,0.624,11.255,0.125,TEMP.4(t)
0,2.432,0.154,1.555,0.853,0.077,0.089,PRES.4(t)
0,2.629,inf,1.748,0.803,29.252,0.118,DEWP.4(t)
0,0.035,inf,0.018,-3.694,99.64,0.175,RAIN.4(t)
0,1.157,inf,0.862,0.353,19.088,0.165,WSPM.4(t)
0,48.877,238.41,32.137,0.111,30.17,0.225,PM2.5.5(t)
0,64.226,154.709,40.597,0.104,22.57,0.226,PM10.5(t)
0,20.089,167.695,12.082,-1.271,34.717,0.283,SO2.5(t)
0,29.868,88.62,19.841,-0.142,21.959,0.267,NO2.5(t)
0,540.748,62.05,355.632,-0.866,21.004,0.318,CO.5(t)
0,14147.399,133.059,2455.542,-0.03,21.02,0.142,O3.5(t)
0,2.507,16.918,1.645,0.637,9.46,0.118,TEMP.5(t)
0,2.441,0.14,1.412,0.852,0.07,0.088,PRES.5(t)
0,3.251,inf,2.187,0.756,33.003,0.134,DEWP.5(t)
0,0.045,inf,0.018,-0.584,99.999,0.09,RAIN.5(t)
0,1.086,inf,0.747,0.276,19.826,0.147,WSPM.5(t)
774,34.271,67.148,27.067,0.56,20.764,0.169,PM2.5(t)
774,42.357,61.83,32.954,0.497,17.999,0.161,PM10(t)
774,7.438,85.773,6.086,-1.538,47.004,0.266,SO2(t)
774,17.299,26.288,13.884,0.632,11.244,0.109,NO2(t)
774,309.174,22.523,203.548,0.524,10.873,0.103,CO(t)
774,41.684,657.038,28.5,0.513,38.306,0.193,O3(t)
774,1.725,4.575,1.312,0.784,2.344,0.119,TEMP(t)
774,1.444,0.11,1.095,0.89,0.055,0.091,PRES(t)
774,2.456,8.13,1.785,0.641,4.182,0.138,DEWP(t)
774,0.121,inf,0.047,-0.161,98.758,0.11,RAIN(t)
774,0.633,inf,0.476,0.146,23.318,0.186,WSPM(t)
774,24.553,36.078,18.369,0.748,15.144,0.102,PM2.5.1(t)
774,27.032,45.505,19.855,0.669,14.538,0.122,PM10.1(t)
774,7.319,205.768,5.357,-0.738,41.131,0.236,SO2.1(t)
774,12.449,34.356,8.86,0.362,14.754,0.15,NO2.1(t)
774,184.957,16.017,138.899,0.698,8.852,0.123,CO.1(t)
774,37.678,70.73,26.183,0.627,19.388,0.116,O3.1(t)
774,1.89,5.228,1.501,0.679,2.708,0.148,TEMP.1(t)
774,1.631,0.128,1.273,0.855,0.064,0.107,PRES.1(t)
774,2.21,8.032,1.605,0.774,4.087,0.132,DEWP.1(t)
774,0.174,inf,0.121,-1.415,99.49,0.124,RAIN.1(t)
774,0.651,inf,0.514,0.416,26.559,0.145,WSPM.1(t)
774,23.952,80.027,18.292,0.674,19.117,0.13,PM2.5.2(t)
774,28.491,78.835,22.029,0.516,21.177,0.152,PM10.2(t)
774,5.153,122.381,3.503,-0.531,60.665,0.191,SO2.2(t)
774,7.019,73.371,5.555,0.352,22.03,0.149,NO2.2(t)
774,182.59,20.699,148.816,0.614,10.082,0.13,CO.2(t)
774,38.772,63.678,26.357,0.452,17.467,0.142,O3.2(t)
774,2.137,5.825,1.678,0.589,3.038,0.167,TEMP.2(t)
774,1.62,0.117,1.163,0.857,0.058,0.106,PRES.2(t)
774,2.147,7.711,1.529,0.787,3.899,0.129,DEWP.2(t)
774,0.14,inf,0.085,-0.553,98.959,0.1,RAIN.2(t)
774,0.666,inf,0.524,0.388,27.787,0.148,WSPM.2(t)
774,37.337,70.297,29.563,0.529,21.721,0.173,PM2.5.3(t)
774,49.647,88.224,37.731,0.405,20.483,0.163,PM10.3(t)
774,9.819,90.634,6.347,-0.915,23.265,0.281,SO2.3(t)
774,16.697,45.851,13.126,0.566,15.602,0.142,NO2.3(t)
774,328.561,24.526,249.276,0.593,10.9,0.113,CO.3(t)
774,247.687,254.311,94.217,0.154,28.818,0.231,O3.3(t)
774,1.773,4.918,1.419,0.718,2.531,0.136,TEMP.3(t)
774,1.509,0.106,1.062,0.879,0.053,0.097,PRES.3(t)
774,2.933,10.66,2.318,0.66,5.55,0.153,DEWP.3(t)
774,0.179,inf,0.051,-0.12,98.349,0.081,RAIN.3(t)
774,0.743,inf,0.579,0.275,25.444,0.169,WSPM.3(t)
774,26.406,52.231,21.302,0.723,17.23,0.137,PM2.5.4(t)
774,41.61,51.36,30.04,0.477,16.628,0.152,PM10.4(t)
774,7.15,137.946,5.512,-2.446,33.884,0.34,SO2.4(t)
774,16.668,22.054,12.031,0.501,11.983,0.17,NO2.4(t)
774,248.036,52.731,206.648,0.738,16.378,0.138,CO.4(t)
774,42.383,447.417,29.888,0.541,30.187,0.19,O3.4(t)
774,1.477,4.009,1.135,0.841,2.022,0.102,TEMP.4(t)
774,1.628,0.119,1.184,0.86,0.059,0.103,PRES.4(t)
774,2.253,7.823,1.686,0.697,3.996,0.127,DEWP.4(t)
774,0.118,inf,0.052,-0.105,97.994,0.107,RAIN.4(t)
774,0.62,inf,0.47,0.179,23.116,0.182,WSPM.4(t)
774,25.679,65.161,20.255,0.645,18.585,0.162,PM2.5.5(t)
774,49.485,125.603,38.788,0.336,22.68,0.159,PM10.5(t)
774,4.568,91.852,2.743,-0.148,28.239,0.091,SO2.5(t)
774,21.494,44.199,15.938,0.275,15.964,0.144,NO2.5(t)
774,287.761,26.8,201.976,0.171,10.448,0.206,CO.5(t)
774,36.826,231.129,27.726,0.59,25.266,0.16,O3.5(t)
774,1.589,4.035,1.174,0.802,2.079,0.117,TEMP.5(t)
774,1.786,0.13,1.293,0.827,0.065,0.114,PRES.5(t)
774,2.263,9.179,1.825,0.723,4.604,0.128,DEWP.5(t)
774,0.143,inf,0.049,0.023,97.926,0.075,RAIN.5(t)
774,0.453,inf,0.362,0.19,32.552,0.168,WSPM.5(t)
1548,48.051,58.517,31.009,0.603,33.786,0.167,PM2.5(t)
1548,46.266,85.736,32.695,0.682,23.118,0.143,PM10(t)
1548,22.881,59.856,14.236,0.029,27.301,0.186,SO2(t)
1548,27.096,33.258,22.141,0.193,20.16,0.169,NO2(t)
1548,685.269,33.561,380.004,0.287,18.281,0.125,CO(t)
1548,27.681,962.037,21.058,-0.001,57.747,0.165,O3(t)
1548,13.204,inf,9.976,-0.673,45.728,0.387,TEMP(t)
1548,10.934,0.793,8.134,-0.781,0.399,0.401,PRES(t)
1548,14.604,119.238,10.849,-0.648,53.691,0.426,DEWP(t)
1548,0.076,inf,0.06,-5.563,99.537,0.19,RAIN(t)
1548,0.711,inf,0.577,0.255,27.882,0.192,WSPM(t)
1548,48.623,48.807,31.868,0.621,34.587,0.168,PM2.5.1(t)
1548,42.404,57.507,30.582,0.661,24.242,0.146,PM10.1(t)
1548,30.336,77.163,18.87,-0.091,39.416,0.268,SO2.1(t)
1548,26.581,37.094,19.839,-0.083,19.681,0.181,NO2.1(t)
1548,1316.315,44.615,774.051,-0.341,32.884,0.196,CO.1(t)
1548,26.52,227.767,19.495,0.219,37.155,0.141,O3.1(t)
1548,12.401,568.466,9.126,-0.549,43.905,0.368,TEMP.1(t)
1548,10.096,0.743,7.601,-0.51,0.374,0.366,PRES.1(t)
1548,14.75,224.394,11.208,-0.563,62.078,0.42,DEWP.1(t)
1548,0.156,inf,0.122,0.0,100.0,inf,RAIN.1(t)
1548,1.025,inf,0.721,0.098,32.024,0.193,WSPM.1(t)
1548,45.66,126.538,31.882,0.637,72.365,0.162,PM2.5.2(t)
1548,48.363,91.989,30.803,0.494,30.69,0.164,PM10.2(t)
1548,22.532,67.997,13.072,-0.131,40.808,0.196,SO2.2(t)
1548,22.85,78.808,15.005,0.201,28.584,0.197,NO2.2(t)
1548,496.834,32.462,300.849,0.264,20.76,0.171,CO.2(t)
1548,25.987,381.32,19.139,0.079,25.947,0.192,O3.2(t)
1548,13.75,634.56,10.22,-0.904,44.728,0.408,TEMP.2(t)
1548,11.144,0.836,8.542,-0.84,0.421,0.404,PRES.2(t)
1548,14.801,207.843,11.229,-0.574,61.85,0.422,DEWP.2(t)
1548,0.113,inf,0.086,0.0,100.0,inf,RAIN.2(t)
1548,1.043,inf,0.726,0.066,31.951,0.197,WSPM.2(t)
1548,51.351,73.641,32.618,0.589,28.882,0.181,PM2.5.3(t)
1548,47.015,91.718,32.915,0.65,25.768,0.161,PM10.3(t)
1548,22.656,67.061,16.063,-0.173,47.766,0.257,SO2.3(t)
1548,27.51,32.725,21.33,0.17,19.073,0.177,NO2.3(t)
1548,508.371,33.227,351.186,0.539,14.895,0.154,CO.3(t)
1548,22.315,235.863,18.136,0.45,36.895,0.127,O3.3(t)
1548,13.49,533.722,10.288,-0.8,46.715,0.419,TEMP.3(t)
1548,10.624,0.774,7.952,-0.594,0.39,0.384,PRES.3(t)
1548,15.057,inf,11.079,-0.521,59.04,0.418,DEWP.3(t)
1548,0.106,inf,0.081,-109.524,99.661,1.06,RAIN.3(t)
1548,0.74,inf,0.567,0.311,20.396,0.137,WSPM.3(t)
1548,47.777,46.536,28.971,0.628,24.908,0.161,PM2.5.4(t)
1548,52.973,44.448,36.597,0.578,24.515,0.155,PM10.4(t)
1548,22.484,140.536,14.008,0.019,38.484,0.22,SO2.4(t)
1548,32.593,33.997,25.644,-0.375,21.231,0.222,NO2.4(t)
1548,658.06,62.656,419.003,0.381,23.262,0.14,CO.4(t)
1548,31.551,1228.846,23.834,-0.061,53.958,0.163,O3.4(t)
1548,13.513,inf,10.176,-0.753,45.77,0.396,TEMP.4(t)
1548,10.599,0.789,8.086,-0.674,0.397,0.388,PRES.4(t)
1548,14.738,121.812,11.04,-0.678,54.024,0.43,DEWP.4(t)
1548,0.095,inf,0.078,-9.386,99.276,0.238,RAIN.4(t)
1548,0.702,inf,0.571,0.273,27.904,0.19,WSPM.4(t)
1548,51.675,64.359,36.845,0.531,44.137,0.174,PM2.5.5(t)
1548,50.902,67.303,35.391,0.618,22.771,0.144,PM10.5(t)
1548,27.419,68.176,17.775,-0.182,36.098,0.28,SO2.5(t)
1548,22.4,28.718,17.287,0.557,13.66,0.125,NO2.5(t)
1548,1208.434,38.751,792.475,-0.109,24.595,0.295,CO.5(t)
1548,23.786,217.786,17.722,0.246,40.272,0.139,O3.5(t)
1548,14.322,689.116,10.852,-0.985,46.237,0.43,TEMP.5(t)
1548,11.327,0.844,8.634,-0.882,0.425,0.41,PRES.5(t)
1548,14.489,172.087,10.729,-0.627,55.458,0.429,DEWP.5(t)
1548,0.229,inf,0.177,-55.935,99.178,0.763,RAIN.5(t)
1548,0.511,inf,0.416,0.373,43.206,0.189,WSPM.5(t)
2322,20.569,70.132,14.934,0.874,19.74,0.085,PM2.5(t)
2322,36.677,54.846,23.478,0.77,25.572,0.085,PM10(t)
2322,12.135,64.22,8.705,0.85,18.871,0.073,SO2(t)
2322,14.17,27.015,10.788,0.789,13.599,0.112,NO2(t)
2322,360.561,29.438,247.826,0.788,13.052,0.116,CO(t)
2322,13.591,74.773,8.666,0.78,19.687,0.145,O3(t)
2322,2.029,inf,1.615,0.794,26.516,0.105,TEMP(t)
2322,1.007,0.07,0.714,0.955,0.035,0.046,PRES(t)
2322,1.868,21.016,1.417,0.899,8.352,0.092,DEWP(t)
2322,0.003,inf,0.002,0.0,100.0,inf,RAIN(t)
2322,0.787,inf,0.606,0.623,16.838,0.141,WSPM(t)
2322,21.311,90.405,15.745,0.863,23.999,0.082,PM2.5.1(t)
2322,37.385,88.025,23.501,0.749,21.159,0.084,PM10.1(t)
2322,13.331,76.605,11.095,0.719,22.74,0.132,SO2.1(t)
2322,21.467,44.587,17.503,0.355,20.971,0.193,NO2.1(t)
2322,558.252,48.181,399.981,0.565,24.772,0.102,CO.1(t)
2322,22.881,217.652,18.702,0.336,41.711,0.246,O3.1(t)
2322,1.899,inf,1.511,0.822,24.023,0.093,TEMP.1(t)
2322,1.084,0.081,0.821,0.949,0.041,0.05,PRES.1(t)
2322,2.513,16.096,1.893,0.855,7.661,0.114,DEWP.1(t)
2322,0.0,inf,0.0,0.0,100.0,,RAIN.1(t)
2322,1.06,49.492,0.785,0.415,18.774,0.145,WSPM.1(t)
2322,21.968,87.862,13.652,0.855,29.091,0.086,PM2.5.2(t)
2322,38.981,77.587,22.691,0.698,22.977,0.109,PM10.2(t)
2322,11.879,184.632,8.942,0.751,32.336,0.116,SO2.2(t)
2322,13.726,102.232,8.464,0.766,26.573,0.114,NO2.2(t)
2322,736.112,133.249,469.733,0.148,31.895,0.108,CO.2(t)
2322,11.345,35.236,9.033,0.801,10.811,0.121,O3.2(t)
2322,1.689,inf,1.341,0.859,22.582,0.082,TEMP.2(t)
2322,1.137,0.084,0.848,0.944,0.042,0.052,PRES.2(t)
2322,2.615,16.175,2.007,0.843,7.911,0.118,DEWP.2(t)
2322,0.0,inf,0.0,0.0,100.0,,RAIN.2(t)
2322,1.046,48.108,0.769,0.43,18.167,0.143,WSPM.2(t)
2322,20.815,59.557,15.753,0.88,20.637,0.086,PM2.5.3(t)
2322,41.342,84.963,23.796,0.698,26.251,0.104,PM10.3(t)
2322,13.084,62.353,8.692,0.848,19.862,0.07,SO2.3(t)
2322,12.001,24.404,9.095,0.813,11.21,0.096,NO2.3(t)
2322,422.545,29.577,286.041,0.791,13.687,0.111,CO.3(t)
2322,12.153,22.862,8.785,0.801,10.543,0.11,O3.3(t)
2322,2.009,69.476,1.65,0.802,27.874,0.103,TEMP.3(t)
2322,1.206,0.084,0.855,0.938,0.042,0.054,PRES.3(t)
2322,2.053,21.989,1.498,0.902,8.518,0.089,DEWP.3(t)
2322,0.002,inf,0.001,0.0,100.0,inf,RAIN.3(t)
2322,0.908,37.407,0.67,0.549,15.111,0.112,WSPM.3(t)
2322,20.817,54.637,15.018,0.877,19.643,0.088,PM2.5.4(t)
2322,50.792,77.352,31.387,0.692,22.112,0.077,PM10.4(t)
2322,13.485,61.262,9.826,0.833,20.187,0.085,SO2.4(t)
2322,13.84,24.916,9.768,0.815,10.093,0.095,NO2.4(t)
2322,384.596,30.245,267.631,0.824,14.866,0.101,CO.4(t)
2322,13.536,46.316,9.286,0.79,17.561,0.142,O3.4(t)
2322,1.98,inf,1.591,0.804,26.104,0.103,TEMP.4(t)
2322,1.192,0.086,0.869,0.937,0.043,0.054,PRES.4(t)
2322,1.836,20.944,1.391,0.902,8.195,0.09,DEWP.4(t)
2322,0.002,inf,0.002,0.0,100.0,inf,RAIN.4(t)
2322,0.787,inf,0.611,0.623,16.81,0.141,WSPM.4(t)
2322,24.917,124.038,18.557,0.828,26.681,0.107,PM2.5.5(t)
2322,60.659,180.635,34.476,0.574,28.913,0.089,PM10.5(t)
2322,13.898,87.387,10.387,0.774,22.294,0.121,SO2.5(t)
2322,19.582,60.892,15.028,0.771,18.394,0.119,NO2.5(t)
2322,1002.156,59.448,758.321,-0.076,24.934,0.239,CO.5(t)
2322,16.565,49.876,12.429,0.727,17.724,0.166,O3.5(t)
