window,rmse,mape,mae,r2,smape,nrmse,variable
0,55.854,2003.615,16.465,-1.063,37.907,0.273,CO(GT)(t)
0,116.797,7.228,87.905,0.67,3.607,0.146,PT08.S1(CO)(t)
0,115.501,29.684,59.457,0.751,14.562,0.132,NMHC(GT)(t)
0,3.314,41.554,2.378,0.61,16.104,0.162,C6H6(GT)(t)
0,124.829,10.961,94.818,0.685,5.383,0.144,PT08.S2(NMHC)(t)
0,80.537,67.366,47.976,0.193,20.934,0.173,NOx(GT)(t)
0,150.175,10.314,107.003,0.705,5.054,0.122,PT08.S3(NOx)(t)
0,73.457,45.442,32.328,-0.329,15.569,0.212,NO2(GT)(t)
0,133.261,5.764,94.108,0.543,2.875,0.151,PT08.S4(NO2)(t)
0,190.07,16.32,142.573,0.6,7.916,0.149,PT08.S5(O3)(t)
0,1.063,5.162,0.796,0.878,2.567,0.084,T(t)
0,4.823,7.49,3.684,0.832,3.742,0.086,RH(t)
0,0.042,3.402,0.03,0.864,1.696,0.086,AH(t)
311,37.299,485.596,23.958,0.857,39.295,0.182,CO(GT)(t)
311,112.343,7.13,89.325,0.609,3.51,0.137,PT08.S1(CO)(t)
311,132.102,37.459,86.061,0.796,21.498,0.134,NMHC(GT)(t)
311,3.694,39.977,2.708,0.603,14.903,0.143,C6H6(GT)(t)
311,125.239,10.904,98.841,0.674,5.286,0.128,PT08.S2(NMHC)(t)
311,87.145,32.781,52.502,0.754,18.324,0.185,NOx(GT)(t)
311,107.083,9.046,81.994,0.64,4.505,0.111,PT08.S3(NOx)(t)
311,73.244,30.926,43.877,0.77,17.713,0.199,NO2(GT)(t)
311,137.872,6.093,102.599,0.515,3.024,0.135,PT08.S4(NO2)(t)
311,164.792,14.779,135.143,0.709,6.933,0.127,PT08.S5(O3)(t)
311,1.543,6.954,1.272,0.868,3.438,0.105,T(t)
311,4.883,9.004,3.95,0.856,4.467,0.104,RH(t)
311,0.075,6.681,0.065,-0.18,3.212,0.24,AH(t)
622,31.607,525.358,19.447,0.903,53.491,0.152,CO(GT)(t)
622,131.672,7.683,95.324,0.691,3.863,0.134,PT08.S1(CO)(t)
622,150.627,33.554,93.406,0.828,19.144,0.108,NMHC(GT)(t)
622,3.83,30.045,2.673,0.711,13.768,0.12,C6H6(GT)(t)
622,127.189,9.783,94.578,0.736,4.899,0.12,PT08.S2(NMHC)(t)
622,74.552,24.609,44.741,0.879,15.69,0.135,NOx(GT)(t)
622,101.138,9.491,79.159,0.72,4.632,0.122,PT08.S3(NOx)(t)
622,58.301,26.663,34.196,0.867,16.725,0.163,NO2(GT)(t)
622,146.841,5.884,103.747,0.628,2.966,0.139,PT08.S4(NO2)(t)
622,165.063,13.092,126.758,0.805,6.39,0.1,PT08.S5(O3)(t)
622,0.992,4.905,0.76,0.823,2.41,0.1,T(t)
622,5.221,6.455,3.597,0.872,3.172,0.1,RH(t)
622,0.38,28.965,0.297,-6.955,11.809,0.757,AH(t)
933,55.758,1150.618,16.915,-1.04,31.93,0.269,CO(GT)(t)
933,136.444,7.589,98.428,0.665,3.774,0.149,PT08.S1(CO)(t)
933,181.629,43.197,118.905,0.628,19.231,0.137,NMHC(GT)(t)
933,5.017,27.017,3.404,0.597,12.601,0.148,C6H6(GT)(t)
933,148.091,9.836,106.963,0.679,4.875,0.137,PT08.S2(NMHC)(t)
933,86.523,54.802,55.474,0.309,19.347,0.152,NOx(GT)(t)
933,95.293,9.181,69.906,0.706,4.541,0.128,PT08.S3(NOx)(t)
933,74.157,37.367,31.79,-0.263,13.544,0.205,NO2(GT)(t)
933,184.235,6.652,125.525,0.548,3.311,0.155,PT08.S4(NO2)(t)
933,206.443,13.124,161.347,0.674,6.414,0.132,PT08.S5(O3)(t)
933,1.524,6.036,1.19,0.854,3.048,0.098,T(t)
933,5.9,10.127,4.831,0.865,4.884,0.107,RH(t)
933,0.058,3.709,0.042,0.867,1.858,0.084,AH(t)
1244,64.331,1367.201,22.543,-1.069,45.954,0.312,CO(GT)(t)
1244,127.711,8.073,98.429,0.659,4.012,0.133,PT08.S1(CO)(t)
1244,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
1244,5.201,32.906,3.843,0.601,14.966,0.143,C6H6(GT)(t)
1244,155.845,11.49,122.399,0.673,5.693,0.128,PT08.S2(NMHC)(t)
1244,112.252,58.742,65.065,0.033,21.028,0.193,NOx(GT)(t)
1244,110.788,11.202,86.872,0.725,5.493,0.101,PT08.S3(NOx)(t)
1244,91.92,45.291,41.586,-0.595,16.73,0.253,NO2(GT)(t)
1244,190.61,7.754,143.416,0.597,3.847,0.135,PT08.S4(NO2)(t)
1244,199.474,15.039,160.879,0.718,7.361,0.129,PT08.S5(O3)(t)
1244,1.311,5.142,0.993,0.839,2.6,0.096,T(t)
1244,4.864,8.345,3.72,0.815,4.05,0.102,RH(t)
1244,0.052,3.485,0.036,0.78,1.731,0.092,AH(t)
1555,51.179,3439.479,24.136,0.741,52.043,0.251,CO(GT)(t)
1555,259.526,25.483,130.808,0.716,11.141,0.154,PT08.S1(CO)(t)
1555,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
1555,37.911,174.252,17.882,0.783,57.705,0.158,C6H6(GT)(t)
1555,329.487,29.821,171.688,0.596,13.049,0.167,PT08.S2(NMHC)(t)
1555,81.692,40.288,41.988,0.752,16.464,0.167,NOx(GT)(t)
1555,205.642,23.684,135.858,0.843,12.381,0.117,PT08.S3(NOx)(t)
1555,74.309,34.895,36.981,0.749,16.693,0.209,NO2(GT)(t)
1555,340.791,31.592,185.147,0.731,13.777,0.134,PT08.S4(NO2)(t)
1555,328.929,32.561,189.11,0.61,14.552,0.165,PT08.S5(O3)(t)
1555,36.678,60.933,17.528,0.817,36.979,0.158,T(t)
1555,36.69,57.939,18.01,0.82,35.672,0.148,RH(t)
1555,32.688,1742.467,15.736,0.82,79.501,0.163,AH(t)
1866,32.29,600.544,6.172,-1.012,26.819,0.156,CO(GT)(t)
1866,97.705,6.424,66.164,0.707,3.255,0.127,PT08.S1(CO)(t)
1866,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
1866,5.387,32.903,3.364,0.567,15.181,0.152,C6H6(GT)(t)
1866,159.461,10.821,110.468,0.691,5.438,0.137,PT08.S2(NMHC)(t)
1866,101.308,75.985,62.52,0.29,24.034,0.158,NOx(GT)(t)
1866,115.188,9.342,81.635,0.771,4.506,0.119,PT08.S3(NOx)(t)
1866,89.771,49.65,40.909,-0.389,17.917,0.234,NO2(GT)(t)
1866,197.072,6.634,125.866,0.571,3.332,0.137,PT08.S4(NO2)(t)
1866,201.339,13.789,138.915,0.681,6.861,0.119,PT08.S5(O3)(t)
1866,1.958,6.224,1.587,0.884,3.143,0.093,T(t)
1866,4.929,11.202,4.079,0.866,5.418,0.082,RH(t)
1866,0.049,2.791,0.033,0.843,1.392,0.093,AH(t)
2177,32.211,293.087,5.632,-1.015,18.577,0.157,CO(GT)(t)
2177,198.172,24.905,114.002,0.887,11.994,0.129,PT08.S1(CO)(t)
2177,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
2177,34.255,346.139,18.459,0.893,50.068,0.149,C6H6(GT)(t)
2177,203.403,26.986,124.905,0.881,13.402,0.116,PT08.S2(NMHC)(t)
2177,76.058,71.945,42.452,0.259,20.991,0.13,NOx(GT)(t)
2177,228.151,21.373,106.895,0.841,10.507,0.144,PT08.S3(NOx)(t)
2177,69.335,46.673,30.915,-0.308,15.749,0.2,NO2(GT)(t)
2177,318.979,33.134,183.961,0.884,16.169,0.123,PT08.S4(NO2)(t)
2177,191.104,24.828,118.613,0.883,12.817,0.103,PT08.S5(O3)(t)
2177,37.478,64.001,19.808,0.889,41.005,0.159,T(t)
2177,39.658,40.492,20.129,0.89,27.487,0.154,RH(t)
2177,33.161,1102.514,17.41,0.891,52.449,0.165,AH(t)
2488,45.366,1244.641,11.513,-1.028,55.194,0.221,CO(GT)(t)
2488,89.48,5.939,62.65,0.576,2.999,0.123,PT08.S1(CO)(t)
2488,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
2488,3.701,25.476,2.307,0.476,12.526,0.139,C6H6(GT)(t)
2488,122.588,8.847,85.038,0.583,4.487,0.134,PT08.S2(NMHC)(t)
2488,82.648,64.511,47.458,0.137,21.547,0.16,NOx(GT)(t)
2488,90.844,8.598,67.877,0.634,4.153,0.128,PT08.S3(NOx)(t)
2488,78.874,46.77,36.645,-0.443,17.109,0.211,NO2(GT)(t)
2488,152.522,5.505,95.626,0.488,2.775,0.118,PT08.S4(NO2)(t)
2488,178.305,13.913,129.085,0.591,6.991,0.133,PT08.S5(O3)(t)
2488,2.15,6.051,1.705,0.876,3.039,0.11,T(t)
2488,5.684,16.438,4.59,0.819,7.493,0.121,RH(t)
2488,0.105,6.691,0.075,0.759,3.219,0.121,AH(t)
