window,rmse,mape,mae,r2,smape,nrmse,variable
0,5.586,130.952,1.925,0.979,15.666,0.027,CO(GT)(t)
0,138.221,9.368,111.146,0.538,4.539,0.173,PT08.S1(CO)(t)
0,108.327,13.75,38.531,0.781,8.111,0.124,NMHC(GT)(t)
0,3.452,46.025,2.657,0.577,17.171,0.169,C6H6(GT)(t)
0,127.623,11.446,98.9,0.67,5.58,0.147,PT08.S2(NMHC)(t)
0,66.269,39.041,42.412,0.454,23.631,0.142,NOx(GT)(t)
0,139.767,9.759,100.133,0.745,4.765,0.114,PT08.S3(NOx)(t)
0,57.073,37.232,34.114,0.198,27.68,0.165,NO2(GT)(t)
0,131.378,5.948,97.636,0.556,2.972,0.149,PT08.S4(NO2)(t)
0,209.693,21.418,175.523,0.514,9.514,0.164,PT08.S5(O3)(t)
0,1.377,7.175,1.108,0.795,3.654,0.109,T(t)
0,4.926,8.382,4.034,0.825,4.152,0.087,RH(t)
0,0.044,3.48,0.031,0.847,1.753,0.091,AH(t)
311,102.428,314.467,84.467,-0.08,58.847,0.498,CO(GT)(t)
311,142.083,8.499,112.019,0.375,4.503,0.173,PT08.S1(CO)(t)
311,328.727,131.508,275.314,-0.264,67.864,0.333,NMHC(GT)(t)
311,15.613,121.341,11.744,-6.098,65.921,0.605,C6H6(GT)(t)
311,187.24,14.057,145.891,0.271,7.717,0.191,PT08.S2(NMHC)(t)
311,182.972,81.081,155.435,-0.086,68.763,0.388,NOx(GT)(t)
311,121.101,10.767,90.679,0.539,5.049,0.125,PT08.S3(NOx)(t)
311,168.597,75.096,141.1,-0.22,68.963,0.458,NO2(GT)(t)
311,152.316,6.931,119.257,0.408,3.577,0.149,PT08.S4(NO2)(t)
311,164.005,13.216,129.004,0.712,6.546,0.127,PT08.S5(O3)(t)
311,14.412,43.022,9.65,-10.508,37.564,0.98,T(t)
311,12.857,25.014,8.86,0.003,17.905,0.275,RH(t)
311,13.006,844.794,7.981,-35242.005,48.78,41.686,AH(t)
622,25.467,128.558,10.193,0.937,21.037,0.123,CO(GT)(t)
622,147.226,9.247,114.914,0.614,4.62,0.15,PT08.S1(CO)(t)
622,141.184,27.993,79.369,0.849,12.257,0.102,NMHC(GT)(t)
622,4.552,36.507,3.104,0.592,19.314,0.143,C6H6(GT)(t)
622,138.134,10.615,100.94,0.689,5.157,0.131,PT08.S2(NMHC)(t)
622,68.679,24.265,49.16,0.897,14.601,0.124,NOx(GT)(t)
622,122.826,11.11,94.995,0.587,5.516,0.149,PT08.S3(NOx)(t)
622,47.852,16.139,24.428,0.91,10.313,0.134,NO2(GT)(t)
622,156.969,6.433,111.767,0.574,3.234,0.148,PT08.S4(NO2)(t)
622,194.856,14.679,145.872,0.728,7.01,0.118,PT08.S5(O3)(t)
622,4.295,14.541,2.094,-2.31,11.02,0.434,T(t)
622,7.093,9.652,5.861,0.765,4.942,0.136,RH(t)
622,0.914,33.135,0.362,-44.978,14.471,1.821,AH(t)
933,1.882,71.779,1.355,0.998,26.901,0.009,CO(GT)(t)
933,134.948,8.305,108.011,0.672,4.199,0.148,PT08.S1(CO)(t)
933,180.892,57.087,139.322,0.631,26.916,0.136,NMHC(GT)(t)
933,4.345,28.196,3.353,0.697,13.114,0.128,C6H6(GT)(t)
933,136.353,10.33,110.644,0.728,5.16,0.126,PT08.S2(NMHC)(t)
933,99.292,79.312,72.468,0.09,31.884,0.175,NOx(GT)(t)
933,96.892,10.059,73.982,0.696,4.771,0.13,PT08.S3(NOx)(t)
933,109.813,82.788,59.479,-1.769,27.354,0.303,NO2(GT)(t)
933,185.442,7.192,139.657,0.542,3.731,0.156,PT08.S4(NO2)(t)
933,182.995,11.774,140.04,0.744,5.892,0.117,PT08.S5(O3)(t)
933,1.455,5.783,1.145,0.867,2.933,0.094,T(t)
933,5.806,9.82,4.629,0.869,4.778,0.105,RH(t)
933,0.124,7.853,0.098,0.382,4.116,0.18,AH(t)
1244,29.804,296.221,9.597,0.556,46.271,0.144,CO(GT)(t)
1244,129.034,7.659,96.533,0.652,3.962,0.134,PT08.S1(CO)(t)
1244,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
1244,5.4,30.929,3.797,0.57,14.816,0.148,C6H6(GT)(t)
1244,163.248,11.168,124.812,0.642,5.762,0.134,PT08.S2(NMHC)(t)
1244,105.047,57.949,67.395,0.153,23.984,0.18,NOx(GT)(t)
1244,115.462,12.87,93.182,0.702,5.935,0.105,PT08.S3(NOx)(t)
1244,81.483,43.84,40.422,-0.253,19.29,0.224,NO2(GT)(t)
1244,184.65,7.278,136.729,0.622,3.736,0.13,PT08.S4(NO2)(t)
1244,235.084,15.218,186.448,0.608,8.168,0.153,PT08.S5(O3)(t)
1244,1.227,5.159,0.975,0.859,2.59,0.09,T(t)
1244,4.908,8.68,3.804,0.812,4.139,0.103,RH(t)
1244,0.059,3.927,0.041,0.712,1.959,0.104,AH(t)
1555,54.929,326.97,21.647,0.702,18.215,0.269,CO(GT)(t)
1555,492.927,107.465,264.021,-0.026,20.844,0.293,PT08.S1(CO)(t)
1555,0.0,0.0,0.0,1.0,0.0,,NMHC(GT)(t)
1555,87.816,46.48,40.244,-0.162,32.078,0.366,C6H6(GT)(t)
1555,428.332,89.726,274.633,0.318,23.683,0.217,PT08.S2(NMHC)(t)
1555,171.101,78.852,135.569,-0.089,61.589,0.35,NOx(GT)(t)
