window,rmse,mape,mae,r2,smape,nrmse,variable
0,32.831,566.297,11.12,0.287,67.489,0.161,CO(GT)(t)
0,167.067,11.167,136.489,0.325,5.494,0.209,PT08.S1(CO)(t)
0,119.285,45.282,78.829,0.734,27.657,0.137,NMHC(GT)(t)
0,3.181,39.61,2.33,0.641,17.162,0.156,C6H6(GT)(t)
0,121.221,10.268,89.695,0.703,5.005,0.14,PT08.S2(NMHC)(t)
0,66.646,36.545,40.141,0.447,19.572,0.143,NOx(GT)(t)
0,147.565,10.05,104.053,0.715,4.92,0.12,PT08.S3(NOx)(t)
0,55.186,22.243,23.718,0.25,11.702,0.159,NO2(GT)(t)
0,129.814,5.686,93.894,0.566,2.875,0.147,PT08.S4(NO2)(t)
0,219.624,23.74,184.689,0.466,10.136,0.172,PT08.S5(O3)(t)
0,1.359,6.368,1.03,0.8,3.242,0.108,T(t)
0,6.161,10.479,4.955,0.726,5.012,0.109,RH(t)
0,0.05,4.479,0.039,0.806,2.242,0.103,AH(t)
311,151.764,88.145,119.492,-1.371,65.266,0.739,CO(GT)(t)
311,193.606,11.262,151.708,-0.161,6.149,0.236,PT08.S1(CO)(t)
311,264.299,111.586,232.076,0.183,68.525,0.268,NMHC(GT)(t)
311,4.696,35.599,3.393,0.358,18.258,0.182,C6H6(GT)(t)
311,198.13,15.4,155.665,0.184,8.523,0.202,PT08.S2(NMHC)(t)
311,221.211,96.494,186.146,-0.587,67.356,0.47,NOx(GT)(t)
311,233.491,22.326,188.82,-0.713,9.527,0.242,PT08.S3(NOx)(t)
311,215.58,89.929,175.691,-0.995,65.213,0.586,NO2(GT)(t)
311,187.149,8.188,142.26,0.106,4.352,0.183,PT08.S4(NO2)(t)
311,188.796,15.382,146.287,0.619,7.467,0.146,PT08.S5(O3)(t)
311,8.105,35.928,7.127,-2.64,22.736,0.551,T(t)
311,21.092,42.99,17.006,-1.683,15.639,0.451,RH(t)
311,1.181,104.58,1.032,-289.782,37.026,3.785,AH(t)
622,26.251,133.49,11.778,0.933,30.707,0.127,CO(GT)(t)
622,144.374,8.274,105.882,0.629,4.216,0.147,PT08.S1(CO)(t)
622,144.557,32.334,88.384,0.841,14.959,0.104,NMHC(GT)(t)
622,4.519,45.995,3.4,0.598,17.659,0.142,C6H6(GT)(t)
622,132.686,10.892,99.85,0.713,5.213,0.125,PT08.S2(NMHC)(t)
622,69.825,21.639,44.509,0.894,12.649,0.126,NOx(GT)(t)
622,107.064,10.154,85.413,0.686,4.839,0.129,PT08.S3(NOx)(t)
622,49.785,15.453,25.041,0.903,9.316,0.139,NO2(GT)(t)
622,165.131,6.808,120.209,0.529,3.546,0.156,PT08.S4(NO2)(t)
622,253.897,24.43,207.244,0.538,10.591,0.154,PT08.S5(O3)(t)
622,3.991,21.822,3.388,-1.859,11.387,0.403,T(t)
622,17.689,21.602,14.624,-0.464,12.176,0.34,RH(t)
622,1.397,115.228,1.197,-106.454,57.322,2.784,AH(t)
933,33.514,1640.03,22.557,0.263,77.867,0.162,CO(GT)(t)
933,137.541,8.445,107.778,0.66,4.206,0.151,PT08.S1(CO)(t)
933,194.852,65.302,152.498,0.572,35.351,0.147,NMHC(GT)(t)
933,5.254,28.9,3.745,0.558,14.187,0.155,C6H6(GT)(t)
933,158.763,10.869,121.187,0.631,5.582,0.147,PT08.S2(NMHC)(t)
933,87.521,60.285,67.772,0.293,31.493,0.154,NOx(GT)(t)
933,99.43,10.753,77.866,0.68,5.066,0.134,PT08.S3(NOx)(t)
933,66.671,56.514,44.944,-0.021,31.384,0.184,NO2(GT)(t)
933,203.95,7.577,148.867,0.446,3.944,0.171,PT08.S4(NO2)(t)
933,188.568,12.527,142.064,0.728,6.0,0.12,PT08.S5(O3)(t)
933,3.133,13.708,2.643,0.381,7.578,0.202,T(t)
933,6.39,10.66,5.056,0.841,5.085,0.116,RH(t)
933,0.161,11.361,0.14,-0.04,6.091,0.234,AH(t)
1244,30.255,582.422,12.44,0.542,66.852,0.147,CO(GT)(t)
1244,141.557,7.926,101.848,0.582,4.164,0.147,PT08.S1(CO)(t)
1244,0.011,0.004,0.008,0.0,0.002,inf,NMHC(GT)(t)
1244,5.208,30.734,3.636,0.6,14.226,0.143,C6H6(GT)(t)
1244,151.954,10.594,114.583,0.689,5.371,0.125,PT08.S2(NMHC)(t)
1244,95.525,46.985,61.25,0.299,23.631,0.164,NOx(GT)(t)
1244,113.838,12.08,88.003,0.71,5.549,0.103,PT08.S3(NOx)(t)
1244,73.644,36.271,37.939,-0.024,20.831,0.203,NO2(GT)(t)
1244,188.35,7.321,136.983,0.606,3.74,0.133,PT08.S4(NO2)(t)
1244,237.908,15.896,189.226,0.598,8.549,0.154,PT08.S5(O3)(t)
1244,1.068,4.201,0.805,0.893,2.124,0.078,T(t)
1244,4.856,8.441,3.704,0.815,3.945,0.102,RH(t)
1244,0.063,4.695,0.046,0.673,2.274,0.111,AH(t)
1555,133.699,496.002,98.095,-0.764,72.633,0.655,CO(GT)(t)
1555,467.418,101.819,266.015,0.078,21.611,0.277,PT08.S1(CO)(t)
1555,0.031,0.013,0.026,0.0,0.006,inf,NMHC(GT)(t)
1555,88.904,54.894,41.675,-0.191,40.635,0.37,C6H6(GT)(t)
1555,537.99,114.894,355.846,-0.076,25.988,0.272,PT08.S2(NMHC)(t)
1555,219.575,90.283,165.576,-0.794,57.845,0.449,NOx(GT)(t)
1555,549.099,122.24,332.117,-0.121,23.281,0.312,PT08.S3(NOx)(t)
1555,203.385,81.223,151.495,-0.88,56.084,0.573,NO2(GT)(t)
1555,662.406,142.301,393.2,-0.015,22.183,0.261,PT08.S4(NO2)(t)
1555,618.098,134.618,428.29,-0.377,29.184,0.311,PT08.S5(O3)(t)
1555,91.169,27.057,40.391,-0.133,21.949,0.392,T(t)
1555,95.2,40.353,44.173,-0.209,26.407,0.383,RH(t)
1555,84.867,29.769,36.019,-0.215,23.501,0.422,AH(t)
1866,41.236,3441.986,30.174,-2.281,93.135,0.2,CO(GT)(t)
1866,104.351,8.837,86.073,0.666,4.266,0.136,PT08.S1(CO)(t)
1866,0.01,0.004,0.008,0.0,0.002,inf,NMHC(GT)(t)
1866,4.886,33.063,3.175,0.644,15.093,0.138,C6H6(GT)(t)
1866,151.655,10.953,109.71,0.721,5.523,0.13,PT08.S2(NMHC)(t)
1866,94.293,58.109,61.976,0.385,27.237,0.147,NOx(GT)(t)
1866,117.407,9.718,82.759,0.762,4.493,0.122,PT08.S3(NOx)(t)
1866,73.035,34.87,33.955,0.081,18.907,0.191,NO2(GT)(t)
1866,183.209,6.018,116.147,0.629,3.129,0.127,PT08.S4(NO2)(t)
1866,185.024,12.282,125.394,0.73,6.363,0.109,PT08.S5(O3)(t)
1866,2.741,7.287,2.027,0.773,3.845,0.131,T(t)
1866,5.663,12.73,4.273,0.823,5.798,0.094,RH(t)
1866,0.073,4.99,0.059,0.641,2.523,0.139,AH(t)
2177,23.315,240.868,4.66,-0.055,47.075,0.114,CO(GT)(t)
2177,779.279,275.082,581.592,-0.75,50.785,0.509,PT08.S1(CO)(t)
2177,0.066,0.024,0.048,0.0,0.012,inf,NMHC(GT)(t)
2177,145.619,72.353,103.05,-0.928,56.862,0.633,C6H6(GT)(t)
2177,763.186,269.675,581.516,-0.679,51.663,0.435,PT08.S2(NMHC)(t)
2177,94.174,114.944,67.814,-0.137,31.527,0.16,NOx(GT)(t)
2177,907.776,320.812,679.103,-1.515,51.383,0.573,PT08.S3(NOx)(t)
2177,62.48,43.271,33.294,-0.062,17.983,0.18,NO2(GT)(t)
2177,1137.706,398.387,843.693,-0.473,50.265,0.439,PT08.S4(NO2)(t)
2177,720.951,257.078,570.364,-0.669,53.143,0.388,PT08.S5(O3)(t)
2177,155.81,57.869,109.61,-0.923,50.467,0.66,T(t)
2177,152.528,60.314,108.929,-0.624,52.338,0.592,RH(t)
2177,139.916,51.775,97.692,-0.937,50.354,0.695,AH(t)
2488,31.337,102.1,5.837,0.032,45.266,0.153,CO(GT)(t)
2488,90.16,5.771,60.75,0.57,2.948,0.124,PT08.S1(CO)(t)
2488,0.009,0.003,0.007,0.0,0.002,inf,NMHC(GT)(t)
2488,3.522,26.598,2.217,0.526,12.039,0.132,C6H6(GT)(t)
2488,120.376,8.685,81.92,0.598,4.341,0.132,PT08.S2(NMHC)(t)
2488,64.639,33.389,35.503,0.472,16.958,0.125,NOx(GT)(t)
