window,rmse,mape,mae,r2,smape,nrmse,variable
0,83.896,33.242,41.136,0.493,13.844,0.175,Appliances
0,5.438,inf,2.8,0.417,70.494,0.181,lights
0,0.08,0.276,0.061,0.988,0.138,0.032,T1
0,0.542,0.664,0.263,0.917,0.331,0.039,RH_1
0,0.1,0.287,0.06,0.983,0.143,0.03,T2
0,0.377,0.438,0.163,0.919,0.218,0.057,RH_2
0,0.111,0.236,0.049,0.931,0.118,0.053,T3
0,0.468,0.511,0.208,0.926,0.254,0.055,RH_3
0,0.139,0.412,0.082,0.978,0.206,0.039,T4
0,0.242,0.295,0.125,0.96,0.148,0.065,RH_4
0,0.112,0.337,0.066,0.99,0.169,0.026,T5
0,2.726,1.551,0.911,0.861,0.806,0.07,RH_5
0,0.219,14.168,0.144,0.977,6.038,0.036,T6
0,1.369,0.881,0.754,0.973,0.443,0.048,RH_6
0,0.07,0.215,0.04,0.976,0.108,0.047,T7
0,0.443,0.609,0.244,0.967,0.306,0.062,RH_7
0,0.076,0.261,0.051,0.991,0.13,0.03,T8
0,0.371,0.51,0.238,0.978,0.255,0.052,RH_8
0,0.036,0.119,0.021,0.98,0.06,0.047,T9
0,0.366,0.522,0.234,0.979,0.262,0.051,RH_9
0,0.134,3.956,0.083,0.981,1.926,0.034,T_out
0,0.226,0.024,0.178,0.997,0.012,0.018,Press_mm_hg
0,0.815,0.625,0.541,0.989,0.314,0.033,RH_out
0,0.24,3.619,0.187,0.992,1.755,0.028,Windspeed
0,3.405,6.59,2.338,0.913,3.302,0.077,Visibility
0,0.132,inf,0.089,0.983,11.32,0.038,Tdewpoint
657,94.442,32.354,43.27,0.531,14.572,0.117,Appliances
657,5.706,inf,3.291,0.553,80.901,0.114,lights
657,0.06,0.231,0.043,0.994,0.116,0.025,T1
657,0.57,0.537,0.217,0.888,0.271,0.052,RH_1
657,0.077,0.321,0.056,0.991,0.161,0.03,T2
657,0.188,0.322,0.125,0.976,0.161,0.045,RH_2
657,0.096,0.299,0.057,0.977,0.15,0.034,T3
657,0.354,0.406,0.162,0.937,0.204,0.054,RH_3
657,0.121,0.379,0.069,0.984,0.19,0.028,T4
657,0.166,0.311,0.115,0.965,0.155,0.054,RH_4
657,0.206,0.451,0.08,0.903,0.227,0.065,T5
657,3.512,2.025,1.311,0.817,1.054,0.087,RH_5
657,0.202,14.086,0.157,0.995,5.447,0.024,T6
657,0.641,0.532,0.467,0.988,0.266,0.041,RH_6
657,0.054,0.236,0.041,0.995,0.118,0.018,T7
657,0.264,0.424,0.134,0.941,0.213,0.06,RH_7
657,0.066,0.268,0.053,0.986,0.134,0.035,T8
657,0.275,0.502,0.211,0.979,0.251,0.042,RH_8
657,0.041,0.17,0.027,0.989,0.085,0.027,T9
657,0.419,0.635,0.244,0.968,0.319,0.054,RH_9
657,0.129,inf,0.107,0.995,8.853,0.023,T_out
657,0.061,0.006,0.047,0.996,0.003,0.016,Press_mm_hg
657,0.56,0.488,0.418,0.984,0.245,0.025,RH_out
657,0.164,inf,0.116,0.95,4.844,0.041,Windspeed
657,1.526,1.537,0.731,0.974,0.8,0.035,Visibility
657,0.095,2.368,0.08,0.996,1.167,0.019,Tdewpoint
1314,86.265,33.35,43.677,0.741,14.27,0.104,Appliances
1314,7.064,inf,4.181,0.658,67.66,0.177,lights
1314,0.09,0.357,0.073,0.996,0.179,0.02,T1
1314,0.366,0.366,0.165,0.935,0.184,0.051,RH_1
1314,0.096,0.394,0.077,0.995,0.197,0.02,T2
1314,0.141,0.228,0.098,0.98,0.114,0.039,RH_2
1314,0.114,0.373,0.074,0.978,0.187,0.036,T3
1314,0.328,0.38,0.175,0.939,0.19,0.048,RH_3
1314,0.162,0.462,0.084,0.965,0.232,0.039,T4
1314,0.183,0.243,0.112,0.962,0.122,0.042,RH_4
1314,0.224,0.596,0.105,0.972,0.3,0.044,T5
1314,2.988,1.566,1.05,0.92,0.816,0.074,RH_5
1314,0.091,0.899,0.065,0.99,0.448,0.035,T6
1314,0.01,0.008,0.008,-1.2988572971498845e+23,0.004,inf,RH_6
1314,0.025,0.112,0.018,0.992,0.056,0.036,T7
1314,0.106,0.186,0.081,0.994,0.093,0.022,RH_7
1314,0.057,0.244,0.045,0.992,0.122,0.026,T8
1314,0.136,0.202,0.104,0.992,0.101,0.028,RH_8
1314,0.044,0.206,0.033,0.987,0.103,0.039,T9
1314,0.141,0.199,0.098,0.974,0.1,0.044,RH_9
1314,0.079,0.825,0.06,0.987,0.412,0.033,T_out
1314,0.099,0.01,0.078,0.993,0.005,0.023,Press_mm_hg
1314,0.332,0.224,0.212,0.966,0.112,0.033,RH_out
1314,0.163,3.427,0.128,0.984,1.69,0.033,Windspeed
1314,2.264,3.035,1.378,0.963,1.484,0.051,Visibility
1314,0.065,0.778,0.051,0.992,0.388,0.024,Tdewpoint
1971,12.213,23.686,8.939,0.64,10.69,0.122,Appliances
1971,3.135,inf,1.044,-0.707,98.75,0.314,lights
1971,0.101,0.367,0.068,0.981,0.183,0.04,T1
1971,0.105,0.175,0.077,0.985,0.087,0.031,RH_1
1971,0.126,0.467,0.083,0.98,0.233,0.043,T2
1971,0.095,0.143,0.064,0.976,0.072,0.027,RH_2
1971,0.049,0.181,0.035,0.976,0.09,0.038,T3
1971,0.11,0.178,0.076,0.977,0.089,0.048,RH_3
1971,0.037,0.161,0.028,0.989,0.08,0.032,T4
1971,0.12,0.192,0.085,0.982,0.096,0.042,RH_4
1971,0.019,0.085,0.014,0.985,0.042,0.038,T5
1971,0.051,0.075,0.038,0.992,0.038,0.029,RH_5
1971,0.294,9.046,0.224,0.992,4.104,0.035,T6
1971,0.618,0.541,0.492,0.989,0.27,0.036,RH_6
1971,0.039,0.174,0.03,0.992,0.087,0.024,T7
1971,0.155,0.265,0.105,0.984,0.132,0.043,RH_7
1971,0.058,0.237,0.042,0.983,0.118,0.031,T8
1971,0.29,0.407,0.19,0.977,0.203,0.046,RH_8
1971,0.03,0.136,0.022,0.987,0.068,0.03,T9
1971,0.15,0.235,0.104,0.981,0.118,0.036,RH_9
1971,0.232,3.741,0.174,0.991,1.821,0.035,T_out
1971,0.139,0.014,0.108,0.989,0.007,0.027,Press_mm_hg
1971,0.345,0.32,0.267,0.982,0.16,0.031,RH_out
1971,0.22,2.614,0.171,0.991,1.287,0.028,Windspeed
1971,0.411,0.525,0.195,0.988,0.265,0.032,Visibility
1971,0.224,10.272,0.176,0.99,4.702,0.04,Tdewpoint
2628,71.703,27.779,32.26,0.322,12.08,0.126,Appliances
2628,7.204,inf,4.427,0.68,57.293,0.18,lights
2628,0.065,0.229,0.049,0.979,0.115,0.041,T1
2628,0.756,0.782,0.376,0.899,0.394,0.058,RH_1
2628,0.08,0.299,0.063,0.977,0.15,0.04,T2
2628,0.279,0.411,0.183,0.974,0.206,0.042,RH_2
2628,0.048,0.16,0.035,0.969,0.08,0.056,T3
2628,0.134,0.193,0.088,0.966,0.096,0.039,RH_3
2628,0.116,0.321,0.068,0.966,0.161,0.047,T4
2628,0.219,0.354,0.162,0.982,0.177,0.031,RH_4
2628,0.184,0.349,0.072,0.909,0.176,0.048,T5
2628,2.292,1.433,0.948,0.943,0.732,0.051,RH_5
2628,0.227,2.951,0.163,0.987,1.477,0.037,T6
2628,0.763,0.44,0.383,0.98,0.218,0.023,RH_6
