window,rmse,mape,mae,r2,smape,nrmse,variable
0,82.036,51.684,50.795,0.515,19.165,0.171,Appliances
0,5.019,inf,3.351,0.503,70.079,0.167,lights
0,0.116,0.43,0.095,0.976,0.215,0.046,T1
0,0.652,1.063,0.419,0.879,0.532,0.047,RH_1
0,0.141,0.441,0.093,0.967,0.22,0.042,T2
0,0.477,0.765,0.286,0.87,0.381,0.072,RH_2
0,0.123,0.384,0.08,0.914,0.192,0.059,T3
0,0.544,0.638,0.257,0.901,0.316,0.064,RH_3
0,0.26,0.86,0.171,0.922,0.432,0.072,T4
0,0.269,0.448,0.189,0.95,0.224,0.073,RH_4
0,0.278,1.065,0.204,0.94,0.534,0.065,T5
0,2.804,3.114,1.677,0.853,1.578,0.072,RH_5
0,0.309,24.242,0.239,0.954,10.911,0.05,T6
0,1.754,1.468,1.3,0.956,0.736,0.062,RH_6
0,0.083,0.321,0.059,0.967,0.161,0.055,T7
0,0.525,0.839,0.332,0.953,0.419,0.073,RH_7
0,0.147,0.566,0.11,0.965,0.283,0.058,T8
0,0.507,0.909,0.423,0.959,0.454,0.071,RH_8
0,0.053,0.243,0.042,0.956,0.121,0.069,T9
0,0.555,0.874,0.387,0.952,0.437,0.077,RH_9
0,0.265,10.353,0.194,0.927,4.77,0.066,T_out
0,0.614,0.062,0.472,0.975,0.031,0.05,Press_mm_hg
0,1.752,1.488,1.296,0.948,0.747,0.07,RH_out
0,0.587,9.295,0.46,0.951,4.339,0.068,Windspeed
0,3.771,8.792,3.05,0.894,4.336,0.086,Visibility
0,0.265,inf,0.204,0.929,18.022,0.076,Tdewpoint
657,89.131,50.451,49.427,0.583,20.231,0.11,Appliances
657,5.37,inf,3.511,0.604,79.379,0.107,lights
657,0.122,0.514,0.096,0.974,0.257,0.051,T1
657,0.68,0.964,0.381,0.84,0.486,0.062,RH_1
657,0.168,0.77,0.135,0.956,0.385,0.064,T2
657,0.274,0.533,0.206,0.949,0.267,0.066,RH_2
657,0.131,0.506,0.096,0.957,0.253,0.047,T3
657,0.456,0.874,0.344,0.896,0.438,0.07,RH_3
657,0.216,0.964,0.17,0.95,0.481,0.05,T4
657,0.232,0.448,0.166,0.932,0.224,0.076,RH_4
657,0.22,0.796,0.137,0.889,0.399,0.069,T5
657,3.75,3.441,2.009,0.791,1.768,0.093,RH_5
657,0.432,22.241,0.347,0.978,9.777,0.052,T6
657,1.211,1.019,0.89,0.956,0.51,0.078,RH_6
657,0.175,0.648,0.112,0.95,0.325,0.057,T7
657,0.354,0.72,0.228,0.893,0.362,0.08,RH_7
657,0.153,0.649,0.128,0.927,0.324,0.081,T8
657,0.515,1.005,0.426,0.927,0.504,0.078,RH_8
657,0.07,0.271,0.044,0.967,0.136,0.047,T9
657,0.74,1.364,0.519,0.9,0.684,0.095,RH_9
657,0.289,inf,0.211,0.976,12.101,0.052,T_out
657,0.205,0.019,0.145,0.959,0.01,0.055,Press_mm_hg
657,1.612,1.205,1.038,0.871,0.598,0.073,RH_out
657,0.265,inf,0.211,0.869,7.676,0.066,Windspeed
657,3.593,5.031,2.214,0.857,2.367,0.082,Visibility
657,0.257,5.951,0.206,0.97,2.904,0.051,Tdewpoint
1314,84.853,62.144,53.653,0.75,23.677,0.102,Appliances
1314,7.08,inf,4.75,0.657,66.18,0.177,lights
1314,0.295,0.672,0.13,0.953,0.33,0.064,T1
1314,0.53,0.69,0.306,0.863,0.347,0.073,RH_1
1314,0.289,0.771,0.145,0.955,0.38,0.061,T2
1314,0.284,0.498,0.215,0.919,0.25,0.079,RH_2
1314,0.198,0.626,0.125,0.935,0.312,0.063,T3
1314,0.416,0.599,0.274,0.901,0.3,0.061,RH_3
1314,0.233,0.906,0.162,0.926,0.454,0.056,T4
1314,0.273,0.399,0.185,0.915,0.199,0.063,RH_4
1314,0.408,1.447,0.25,0.909,0.718,0.08,T5
1314,3.562,3.798,2.273,0.887,1.915,0.089,RH_5
1314,0.216,1.977,0.141,0.943,0.969,0.083,T6
1314,0.0,0.0,0.0,1.0,0.0,,RH_6
1314,0.062,0.178,0.028,0.948,0.089,0.09,T7
1314,0.315,0.359,0.152,0.948,0.178,0.064,RH_7
1314,0.095,0.401,0.074,0.976,0.2,0.043,T8
1314,0.388,0.422,0.219,0.932,0.212,0.08,RH_8
1314,0.082,0.312,0.05,0.955,0.156,0.072,T9
1314,0.212,0.33,0.163,0.942,0.165,0.066,RH_9
1314,0.187,1.536,0.11,0.929,0.754,0.078,T_out
1314,0.252,0.026,0.201,0.958,0.013,0.06,Press_mm_hg
1314,0.546,0.456,0.435,0.908,0.228,0.055,RH_out
1314,0.499,11.54,0.39,0.852,5.637,0.1,Windspeed
1314,3.534,5.88,2.743,0.909,2.788,0.08,Visibility
1314,0.183,1.717,0.105,0.938,0.836,0.068,Tdewpoint
1971,12.214,23.483,9.35,0.64,11.887,0.122,Appliances
1971,2.927,inf,1.356,-0.487,98.407,0.293,lights
1971,0.087,0.364,0.068,0.986,0.182,0.035,T1
1971,0.208,0.386,0.17,0.941,0.193,0.062,RH_1
1971,0.101,0.44,0.079,0.987,0.22,0.035,T2
1971,0.186,0.331,0.147,0.91,0.165,0.054,RH_2
1971,0.07,0.299,0.058,0.95,0.15,0.055,T3
1971,0.151,0.274,0.118,0.957,0.137,0.066,RH_3
1971,0.039,0.184,0.031,0.987,0.092,0.034,T4
1971,0.093,0.165,0.073,0.989,0.082,0.033,RH_4
1971,0.021,0.097,0.016,0.982,0.049,0.042,T5
1971,0.067,0.103,0.052,0.986,0.051,0.039,RH_5
1971,0.434,13.928,0.363,0.982,6.25,0.052,T6
1971,1.493,1.281,1.141,0.938,0.641,0.086,RH_6
1971,0.056,0.262,0.045,0.983,0.131,0.035,T7
1971,0.123,0.254,0.101,0.99,0.127,0.034,RH_7
1971,0.058,0.262,0.046,0.983,0.131,0.031,T8
1971,0.336,0.568,0.266,0.97,0.284,0.053,RH_8
1971,0.036,0.169,0.028,0.981,0.085,0.036,T9
1971,0.144,0.26,0.116,0.982,0.13,0.034,RH_9
1971,0.256,4.028,0.211,0.989,1.995,0.038,T_out
1971,0.174,0.018,0.141,0.983,0.009,0.034,Press_mm_hg
1971,0.773,0.737,0.613,0.909,0.37,0.07,RH_out
1971,0.373,4.27,0.298,0.973,2.155,0.047,Windspeed
1971,1.896,4.333,1.65,0.737,2.219,0.146,Visibility
1971,0.285,9.85,0.229,0.983,4.876,0.051,Tdewpoint
2628,68.307,32.561,33.689,0.385,14.217,0.12,Appliances
2628,7.238,inf,5.023,0.677,57.163,0.181,lights
2628,0.066,0.237,0.051,0.978,0.119,0.041,T1
2628,0.919,1.336,0.628,0.85,0.67,0.07,RH_1
2628,0.108,0.4,0.085,0.958,0.2,0.054,T2
2628,0.299,0.546,0.239,0.97,0.273,0.045,RH_2
2628,0.077,0.283,0.062,0.92,0.141,0.089,T3
2628,0.208,0.337,0.154,0.917,0.168,0.061,RH_3
2628,0.165,0.569,0.121,0.931,0.285,0.067,T4
2628,0.301,0.556,0.254,0.966,0.278,0.042,RH_4
2628,0.202,0.599,0.121,0.891,0.3,0.052,T5
2628,2.492,2.67,1.63,0.933,1.336,0.056,RH_5
2628,0.248,3.785,0.203,0.985,1.877,0.04,T6
2628,1.346,1.092,0.998,0.937,0.541,0.041,RH_6
2628,0.031,0.12,0.022,0.945,0.06,0.046,T7
2628,0.291,0.578,0.234,0.986,0.288,0.028,RH_7
2628,0.113,0.425,0.088,0.952,0.213,0.059,T8
2628,0.446,0.715,0.354,0.964,0.357,0.041,RH_8
2628,0.037,0.15,0.027,0.924,0.075,0.062,T9
2628,0.353,0.569,0.276,0.961,0.284,0.05,RH_9
2628,0.184,2.495,0.152,0.987,1.245,0.036,T_out
2628,0.184,0.019,0.147,0.967,0.01,0.046,Press_mm_hg
2628,1.387,1.224,1.045,0.954,0.607,0.045,RH_out
2628,0.363,6.314,0.3,0.889,3.171,0.073,Windspeed
2628,3.245,7.511,2.612,0.899,3.801,0.081,Visibility
2628,0.304,11.483,0.24,0.982,4.261,0.036,Tdewpoint
3285,49.622,32.203,25.052,0.465,15.006,0.121,Appliances
3285,4.755,inf,3.575,0.684,76.735,0.158,lights
3285,0.094,0.346,0.075,0.969,0.173,0.047,T1
3285,0.435,0.675,0.299,0.893,0.338,0.065,RH_1
3285,0.102,0.385,0.081,0.962,0.193,0.048,T2
3285,0.311,0.556,0.236,0.917,0.278,0.09,RH_2
3285,0.081,0.29,0.063,0.91,0.145,0.09,T3
