window,rmse,mape,mae,r2,smape,nrmse,variable
0,108.074,96.559,80.677,0.154,32.668,0.225,Appliances(t)
0,8.33,inf,7.038,-0.373,64.865,0.278,lights(t)
0,1.135,3.9,0.879,-1.341,2.014,0.454,T1(t)
0,3.505,8.077,3.112,-2.497,3.84,0.255,RH_1(t)
0,1.123,4.115,0.894,-1.106,2.121,0.335,T2(t)
0,2.808,6.369,2.395,-3.529,3.046,0.421,RH_2(t)
0,0.42,1.451,0.304,-0.001,0.732,0.2,T3(t)
0,2.733,5.697,2.287,-1.516,2.734,0.324,RH_3(t)
0,1.144,4.979,1.009,-0.514,2.565,0.318,T4(t)
0,1.752,3.637,1.505,-1.127,1.774,0.474,RH_4(t)
0,1.587,5.903,1.19,-0.97,3.112,0.369,T5(t)
0,9.117,15.629,7.699,-0.565,7.118,0.233,RH_5(t)
0,1.928,256.59,1.575,-0.797,29.326,0.314,T6(t)
0,10.606,10.209,9.332,-0.616,5.396,0.373,RH_6(t)
0,0.447,1.872,0.348,0.028,0.948,0.298,T7(t)
0,2.012,4.22,1.597,0.312,2.047,0.282,RH_7(t)
0,0.867,3.246,0.649,-0.213,1.666,0.344,T8(t)
0,2.3,4.156,1.854,0.163,2.018,0.323,RH_8(t)
0,0.543,2.653,0.468,-3.581,1.351,0.711,T9(t)
0,2.153,4.242,1.858,0.28,2.092,0.299,RH_9(t)
0,1.599,100.436,1.288,-1.628,22.724,0.4,T_out(t)
0,9.68,1.134,8.606,-5.299,0.571,0.789,Press_mm_hg(t)
0,6.728,6.602,6.017,0.232,3.393,0.269,RH_out(t)
0,2.21,47.824,1.804,0.314,16.504,0.255,Windspeed(t)
0,10.581,25.138,8.542,0.158,11.715,0.24,Visibility(t)
0,0.985,inf,0.728,0.024,40.277,0.281,Tdewpoint(t)
657,116.059,82.12,78.77,0.29,29.561,0.143,Appliances(t)
657,8.684,inf,5.578,0.056,82.892,0.174,lights(t)
657,1.744,7.296,1.314,-4.29,3.425,0.727,T1(t)
657,1.938,3.989,1.504,-0.289,1.943,0.177,RH_1(t)
657,1.653,7.425,1.255,-3.245,3.487,0.633,T2(t)
657,1.164,2.345,0.883,0.078,1.149,0.282,RH_2(t)
657,1.393,6.171,1.133,-3.746,2.947,0.496,T3(t)
657,1.937,4.215,1.614,-0.763,2.053,0.293,RH_3(t)
657,2.18,10.564,1.778,-4.098,4.887,0.502,T4(t)
657,1.272,2.739,0.997,-1.055,1.34,0.416,RH_4(t)
657,1.029,4.775,0.792,-1.431,2.302,0.325,T5(t)
657,7.204,10.506,5.838,0.225,5.119,0.179,RH_5(t)
657,1.548,100.697,1.242,0.72,38.498,0.187,T6(t)
657,2.811,2.642,2.403,0.766,1.328,0.181,RH_6(t)
657,1.862,9.132,1.512,-4.646,4.268,0.606,T7(t)
657,2.93,8.491,2.631,-6.393,4.031,0.661,RH_7(t)
657,0.539,2.213,0.43,0.085,1.092,0.284,T8(t)
657,1.421,2.866,1.186,0.445,1.408,0.216,RH_8(t)
657,1.14,6.126,0.973,-7.684,2.938,0.76,T9(t)
657,2.395,5.176,1.898,-0.05,2.489,0.308,RH_9(t)
657,0.925,inf,0.752,0.757,31.866,0.165,T_out(t)
657,0.658,0.069,0.525,0.587,0.035,0.172,Press_mm_hg(t)
657,6.407,6.289,5.551,-1.055,3.281,0.291,RH_out(t)
657,0.532,inf,0.413,0.471,12.49,0.133,Windspeed(t)
657,13.5,19.171,11.147,-1.032,11.083,0.307,Visibility(t)
657,0.806,27.838,0.584,0.706,9.779,0.161,Tdewpoint(t)
1314,157.412,115.543,106.141,0.136,36.879,0.19,Appliances(t)
1314,12.69,inf,9.26,-0.106,78.996,0.317,lights(t)
1314,1.982,8.112,1.714,-1.113,4.281,0.431,T1(t)
1314,3.062,6.142,2.72,-3.592,3.193,0.423,RH_1(t)
1314,1.959,8.213,1.674,-1.061,4.342,0.41,T2(t)
1314,4.078,8.89,3.845,-15.641,4.678,1.134,RH_2(t)
1314,1.678,7.489,1.532,-3.736,3.919,0.537,T3(t)
1314,4.395,8.947,4.066,-10.071,4.715,0.639,RH_3(t)
1314,1.242,5.777,1.062,-1.1,3.004,0.301,T4(t)
1314,6.254,12.712,5.931,-43.893,6.839,1.439,RH_4(t)
1314,1.451,7.027,1.274,-0.161,3.642,0.285,T5(t)
1314,14.629,14.723,9.974,-0.913,8.502,0.365,RH_5(t)
1314,5.115,62.708,4.823,-30.799,47.813,1.967,T6(t)
1314,4.189,4.051,4.047,-8.689790529477885e+28,2.071,inf,RH_6(t)
1314,0.388,1.904,0.302,-0.985,0.937,0.562,T7(t)
1314,9.478,20.711,9.048,-46.152,11.676,1.926,RH_7(t)
1314,0.686,3.313,0.607,-0.22,1.631,0.312,T8(t)
1314,7.116,13.229,6.771,-22.036,7.133,1.459,RH_8(t)
1314,0.476,2.183,0.357,-0.496,1.113,0.419,T9(t)
1314,8.11,15.849,7.838,-83.72,8.659,2.516,RH_9(t)
1314,4.915,61.646,4.671,-48.1,46.463,2.048,T_out(t)
1314,2.013,0.227,1.742,-1.606,0.114,0.468,Press_mm_hg(t)
1314,10.809,11.013,10.551,-32.795,5.843,1.081,RH_out(t)
1314,1.083,21.011,0.865,0.3,11.849,0.217,Windspeed(t)
1314,12.543,23.238,11.703,-0.13,11.561,0.285,Visibility(t)
1314,6.383,88.958,6.125,-74.96,84.566,2.364,Tdewpoint(t)
1971,44.72,124.66,39.457,-3.853,32.327,0.447,Appliances(t)
1971,6.972,inf,6.59,-7.489,94.775,0.697,lights(t)
1971,1.582,7.545,1.377,-3.562,3.593,0.633,T1(t)
1971,1.676,3.407,1.486,-2.884,1.667,0.497,RH_1(t)
1971,1.707,8.577,1.495,-2.565,4.062,0.589,T2(t)
1971,0.865,1.764,0.777,-0.908,0.873,0.25,RH_2(t)
1971,0.877,4.081,0.782,-6.519,1.989,0.687,T3(t)
1971,1.756,3.651,1.55,-4.743,1.783,0.763,RH_3(t)
1971,1.935,10.801,1.829,-29.702,5.092,1.673,T4(t)
1971,1.399,2.696,1.183,-1.379,1.323,0.49,RH_4(t)
1971,0.931,5.183,0.866,-34.032,2.516,1.862,T5(t)
1971,3.937,7.272,3.688,-47.848,3.491,2.268,RH_5(t)
1971,2.851,114.115,2.152,0.237,25.26,0.339,T6(t)
1971,6.135,6.071,5.267,-0.056,2.934,0.353,RH_6(t)
1971,0.822,4.379,0.747,-2.606,2.133,0.514,T7(t)
1971,2.832,6.471,2.55,-4.291,3.111,0.781,RH_7(t)
1971,0.815,4.1,0.71,-2.129,1.997,0.423,T8(t)
1971,2.23,4.448,2.055,-0.297,2.179,0.353,RH_8(t)
1971,0.619,3.494,0.57,-4.701,1.712,0.619,T9(t)
1971,3.415,7.201,3.156,-8.502,3.454,0.813,RH_9(t)
1971,2.693,50.939,2.085,-0.259,17.578,0.402,T_out(t)
1971,1.85,0.215,1.646,-0.864,0.108,0.349,Press_mm_hg(t)
1971,1.704,1.686,1.389,0.557,0.834,0.155,RH_out(t)
1971,2.55,23.405,2.048,-0.262,13.692,0.319,Windspeed(t)
1971,5.051,12.133,4.756,-0.874,6.51,0.389,Visibility(t)
1971,2.688,162.227,2.049,-0.458,31.09,0.48,Tdewpoint(t)
2628,75.443,75.848,59.818,0.245,25.791,0.132,Appliances(t)
2628,8.791,inf,7.399,0.523,54.999,0.22,lights(t)
2628,0.223,0.832,0.18,0.752,0.416,0.139,T1(t)
2628,1.136,1.829,0.842,0.77,0.911,0.086,RH_1(t)
2628,0.33,1.122,0.241,0.604,0.567,0.165,T2(t)
2628,0.795,1.473,0.641,0.79,0.734,0.119,RH_2(t)
2628,0.131,0.487,0.107,0.766,0.244,0.152,T3(t)
2628,0.425,0.663,0.299,0.654,0.331,0.124,RH_3(t)
2628,0.948,3.153,0.679,-1.264,1.625,0.384,T4(t)
2628,1.043,1.613,0.718,0.61,0.794,0.138,RH_4(t)
2628,0.904,3.446,0.695,-1.18,1.773,0.234,T5(t)
2628,6.733,5.91,4.127,0.505,3.124,0.15,RH_5(t)
2628,1.48,28.492,1.277,0.458,11.784,0.24,T6(t)
2628,4.638,2.733,2.315,0.36,1.295,0.141,RH_6(t)
2628,0.486,2.335,0.433,-11.575,1.185,0.617,T7(t)
2628,2.236,3.533,1.361,0.198,1.681,0.213,RH_7(t)
2628,0.45,1.82,0.379,0.236,0.917,0.236,T8(t)
2628,2.165,2.932,1.383,0.202,1.412,0.195,RH_8(t)
2628,0.896,4.405,0.803,-42.008,2.265,1.493,T9(t)
2628,0.973,1.641,0.783,0.707,0.812,0.139,RH_9(t)
2628,1.242,21.604,1.119,0.397,9.409,0.244,T_out(t)
2628,1.981,0.222,1.68,-2.733,0.111,0.495,Press_mm_hg(t)
2628,4.461,3.121,2.442,0.551,1.479,0.142,RH_out(t)
2628,0.522,8.731,0.41,0.778,4.179,0.104,Windspeed(t)
2628,5.359,12.967,4.261,0.722,6.049,0.134,Visibility(t)
2628,1.657,170.797,1.242,0.483,18.532,0.197,Tdewpoint(t)
3285,58.824,84.161,47.913,0.244,27.906,0.143,Appliances(t)
3285,6.825,inf,5.13,0.347,79.389,0.228,lights(t)
3285,0.367,1.231,0.263,0.522,0.608,0.184,T1(t)
3285,1.507,2.658,1.146,-0.276,1.3,0.226,RH_1(t)
3285,0.289,1.156,0.241,0.692,0.574,0.137,T2(t)
