window,rmse,mape,mae,r2,smape,nrmse,variable
0,0.571,43.809,0.33,0.333,14.573,0.126,use [kW](t)
0,0.046,inf,0.026,0.643,55.996,0.086,gen [kW](t)
0,0.158,inf,0.053,0.504,93.131,0.116,Dishwasher [kW](t)
0,0.171,269.893,0.111,0.318,34.927,0.112,Furnace 1 [kW](t)
0,0.212,112.131,0.13,0.182,36.303,0.318,Furnace 2 [kW](t)
0,0.066,61.322,0.035,0.557,18.28,0.076,Home office [kW](t)
0,0.05,288.969,0.029,0.598,36.974,0.081,Fridge [kW](t)
0,0.023,171.236,0.014,0.573,29.95,0.193,Wine cellar [kW](t)
0,0.006,11.086,0.002,0.038,6.009,0.041,Garage door [kW](t)
0,0.001,53.26,0.0,-0.247,16.694,0.035,Kitchen 12 [kW](t)
0,0.077,inf,0.03,0.389,93.016,0.048,Kitchen 14 [kW](t)
0,0.0,inf,0.0,-0.028,64.53,0.0,Kitchen 38 [kW](t)
0,0.172,324.191,0.102,-4.063,38.83,0.165,Barn [kW](t)
0,0.151,3892.153,0.055,0.06,82.965,0.094,Well [kW](t)
0,0.079,374.512,0.02,0.045,52.309,0.043,Microwave [kW](t)
0,0.091,1953.579,0.048,0.545,62.562,0.262,Living room [kW](t)
0,0.046,inf,0.025,0.647,50.529,0.086,Solar [kW](t)
0,9.558,10.821,4.84,0.195,6.618,0.242,temperature(t)
0,0.179,12.09,0.102,0.198,7.288,0.314,humidity(t)
0,2.33,27.726,1.145,-0.093,8.102,0.288,visibility(t)
0,11.158,14.059,5.51,0.22,8.808,0.25,apparentTemperature(t)
0,12.99,0.792,7.919,-1.295,0.392,0.45,pressure(t)
0,2.365,75.948,1.391,0.707,10.412,0.147,windSpeed(t)
0,51.65,27.737,29.887,0.576,8.945,0.2,windBearing(t)
0,0.024,inf,0.009,-0.114,89.047,0.185,precipIntensity(t)
0,13.831,19.085,6.769,0.204,13.259,0.281,dewPoint(t)
0,0.283,inf,0.132,-0.21,90.865,0.349,precipProbability(t)
16796,0.292,107.895,0.168,0.799,10.171,0.037,use [kW](t)
16796,0.014,inf,0.008,0.988,39.73,0.031,gen [kW](t)
16796,0.073,inf,0.019,0.905,90.0,0.053,Dishwasher [kW](t)
16796,0.084,62.873,0.052,0.837,18.328,0.137,Furnace 1 [kW](t)
16796,0.13,53.288,0.078,0.758,19.463,0.193,Furnace 2 [kW](t)
16796,0.018,16.266,0.009,0.979,7.996,0.029,Home office [kW](t)
16796,0.02,86.909,0.009,0.909,25.673,0.033,Fridge [kW](t)
16796,0.006,25.543,0.003,0.969,11.954,0.051,Wine cellar [kW](t)
16796,0.008,6.109,0.001,0.402,2.97,0.032,Garage door [kW](t)
16796,0.034,333.021,0.004,0.49,53.313,0.037,Kitchen 12 [kW](t)
16796,0.056,inf,0.008,0.547,91.916,0.034,Kitchen 14 [kW](t)
16796,0.0,inf,0.0,0.053,63.02,0.0,Kitchen 38 [kW](t)
16796,0.109,20.29,0.021,0.576,10.486,0.016,Barn [kW](t)
16796,0.119,912.728,0.021,0.219,75.215,0.074,Well [kW](t)
16796,0.094,50.239,0.008,0.105,25.502,0.051,Microwave [kW](t)
16796,0.018,561.881,0.01,0.952,64.918,0.052,Living room [kW](t)
16796,0.013,inf,0.007,0.989,31.692,0.029,Solar [kW](t)
16796,0.995,3.231,0.721,0.953,1.588,0.048,temperature(t)
16796,0.019,2.991,0.015,0.943,1.461,0.056,humidity(t)
16796,0.143,1.1,0.094,0.976,0.544,0.042,visibility(t)
16796,1.543,10.843,1.24,0.927,5.089,0.066,apparentTemperature(t)
16796,1.176,0.082,0.837,0.956,0.041,0.066,pressure(t)
16796,1.059,7.078,0.757,0.915,3.653,0.077,windSpeed(t)
16796,34.946,inf,26.613,0.948,29.764,0.097,windBearing(t)
16796,0.0,inf,0.0,0.719,94.584,0.0,precipIntensity(t)
16796,1.311,16.719,1.014,0.745,7.389,0.12,dewPoint(t)
16796,0.015,inf,0.008,0.827,94.408,0.052,precipProbability(t)
33592,0.406,144.838,0.265,0.209,17.707,0.103,use [kW](t)
33592,0.095,inf,0.049,0.26,58.002,0.204,gen [kW](t)
33592,0.126,inf,0.057,0.006,95.674,0.093,Dishwasher [kW](t)
33592,0.196,336.892,0.121,-0.296,43.0,0.248,Furnace 1 [kW](t)
33592,0.17,127.207,0.109,0.279,28.951,0.248,Furnace 2 [kW](t)
