window,rmse,mape,mae,r2,smape,nrmse,variable
0,2.714,189.569,1.256,-14.048,22.94,0.599,use [kW](t)
0,0.033,inf,0.015,0.81,39.483,0.062,gen [kW](t)
0,0.092,inf,0.035,0.83,87.846,0.067,Dishwasher [kW](t)
0,0.315,356.277,0.161,-1.305,31.511,0.206,Furnace 1 [kW](t)
0,0.322,159.383,0.169,-0.899,34.164,0.483,Furnace 2 [kW](t)
0,0.025,15.041,0.009,0.939,10.804,0.029,Home office [kW](t)
0,0.044,228.457,0.022,0.685,26.407,0.071,Fridge [kW](t)
0,0.005,8.311,0.001,0.983,3.541,0.042,Wine cellar [kW](t)
0,0.01,30.083,0.004,-1.729,18.558,0.068,Garage door [kW](t)
0,0.001,28.769,0.0,-0.082,10.973,0.035,Kitchen 12 [kW](t)
0,0.079,inf,0.03,0.363,91.365,0.049,Kitchen 14 [kW](t)
0,0.0,inf,0.0,-8.816,64.265,0.0,Kitchen 38 [kW](t)
0,2.444,3333.687,1.052,-1019.796,48.508,2.342,Barn [kW](t)
0,0.466,19678.247,0.214,-7.942,84.72,0.289,Well [kW](t)
0,0.071,316.008,0.017,0.221,53.145,0.039,Microwave [kW](t)
0,0.021,381.329,0.008,0.975,27.7,0.06,Living room [kW](t)
0,0.033,inf,0.015,0.81,39.483,0.062,Solar [kW](t)
0,0.323,0.333,0.136,0.999,0.167,0.008,temperature(t)
0,0.01,0.463,0.004,0.998,0.23,0.018,humidity(t)
0,0.312,2.763,0.127,0.98,1.535,0.039,visibility(t)
0,0.505,0.657,0.222,0.998,0.328,0.011,apparentTemperature(t)
0,0.213,0.007,0.073,0.999,0.004,0.007,pressure(t)
0,0.347,3.201,0.113,0.994,1.326,0.022,windSpeed(t)
0,11.99,5.045,5.576,0.977,2.197,0.046,windBearing(t)
0,0.007,inf,0.002,0.909,70.617,0.054,precipIntensity(t)
0,0.269,0.278,0.05,1.0,0.138,0.005,dewPoint(t)
0,0.12,inf,0.044,0.781,69.923,0.148,precipProbability(t)
16796,0.284,124.622,0.149,0.81,9.224,0.036,use [kW](t)
16796,0.005,inf,0.003,0.998,23.713,0.011,gen [kW](t)
16796,0.069,inf,0.01,0.916,88.09,0.05,Dishwasher [kW](t)
16796,0.077,56.947,0.039,0.865,14.474,0.125,Furnace 1 [kW](t)
16796,0.126,49.771,0.071,0.773,16.933,0.187,Furnace 2 [kW](t)
16796,0.012,1.772,0.002,0.99,0.813,0.019,Home office [kW](t)
16796,0.019,49.198,0.006,0.92,14.366,0.031,Fridge [kW](t)
16796,0.004,3.23,0.0,0.988,1.394,0.034,Wine cellar [kW](t)
16796,0.008,5.021,0.001,0.401,2.511,0.032,Garage door [kW](t)
16796,0.035,347.546,0.004,0.472,53.35,0.038,Kitchen 12 [kW](t)
16796,0.055,inf,0.005,0.563,82.709,0.034,Kitchen 14 [kW](t)
16796,0.0,inf,0.0,0.06,60.881,0.0,Kitchen 38 [kW](t)
16796,0.109,27.884,0.023,0.574,12.6,0.016,Barn [kW](t)
16796,0.117,1184.46,0.022,0.246,78.313,0.073,Well [kW](t)
16796,0.072,86.12,0.008,0.478,37.15,0.039,Microwave [kW](t)
16796,0.013,52.924,0.002,0.976,14.747,0.038,Living room [kW](t)
16796,0.005,inf,0.003,0.998,23.713,0.011,Solar [kW](t)
16796,0.184,0.118,0.027,0.998,0.06,0.009,temperature(t)
16796,0.004,0.145,0.001,0.998,0.072,0.012,humidity(t)
16796,0.037,0.075,0.007,0.998,0.038,0.011,visibility(t)
16796,0.215,0.288,0.036,0.999,0.146,0.009,apparentTemperature(t)
16796,0.092,0.002,0.019,1.0,0.001,0.005,pressure(t)
16796,0.234,0.379,0.032,0.996,0.185,0.017,windSpeed(t)
16796,13.29,inf,1.126,0.993,3.199,0.037,windBearing(t)
16796,0.0,inf,0.0,0.986,93.209,0.0,precipIntensity(t)
16796,0.095,0.301,0.019,0.999,0.151,0.009,dewPoint(t)
16796,0.005,inf,0.001,0.981,93.261,0.017,precipProbability(t)
