variable,rmse,mae,mape,r2,smape,nrmse
use [kW](t),0.335,0.144,81.614,0.764,9.335,0.05
gen [kW](t),0.022,0.008,inf,0.954,9.505,0.046
Dishwasher [kW](t),0.054,0.007,inf,-1.353,66.563,0.039
Furnace 1 [kW](t),0.053,0.018,26.657,0.806,7.246,0.064
Furnace 2 [kW](t),0.047,0.019,14.241,0.761,4.921,0.084
Home office [kW](t),0.016,0.005,4.884,0.898,2.308,0.037
Fridge [kW](t),0.022,0.007,44.821,0.913,12.602,0.039
Wine cellar [kW](t),0.012,0.003,11.116,0.936,4.186,0.052
Garage door [kW](t),0.012,0.001,7.277,0.111,2.15,0.033
Kitchen 12 [kW](t),0.008,0.002,inf,-48.469,7.576,0.263
Kitchen 14 [kW](t),0.052,0.007,inf,-144.544,83.184,0.166
Kitchen 38 [kW](t),0.0,0.0,inf,0.021,64.396,0.0
Barn [kW](t),0.119,0.021,inf,0.295,6.159,0.04
Well [kW](t),0.101,0.017,inf,-70.02,65.821,0.165
Microwave [kW](t),0.069,0.009,inf,-5.699,13.597,0.071
Living room [kW](t),0.016,0.003,inf,0.929,9.451,0.045
Solar [kW](t),0.022,0.008,inf,0.954,9.49,0.046
temperature(t),1.576,0.988,3.031,0.937,1.276,0.049
humidity(t),0.014,0.009,1.903,0.991,0.915,0.026
visibility(t),0.283,0.116,4.122,0.89,1.208,0.053
apparentTemperature(t),1.79,1.116,6.06,0.917,2.23,0.052
pressure(t),1.177,0.773,0.077,0.883,0.038,0.068
windSpeed(t),0.377,0.215,inf,0.985,2.425,0.028
windBearing(t),13.192,6.119,inf,0.976,4.446,0.039
precipIntensity(t),0.004,0.001,inf,0.715,85.003,
dewPoint(t),1.83,1.197,7.764,0.864,3.147,0.074
precipProbability(t),0.042,0.017,inf,0.54,85.278,
