variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
use [kW](t),0.335,0.144,81.463,0.765,9.345,0.05,0.186,0.081,86.372,0.132,2.849,0.014
gen [kW](t),0.022,0.008,inf,0.954,9.524,0.045,0.009,0.004,,0.036,3.002,0.017
Dishwasher [kW](t),0.054,0.007,inf,-1.503,66.661,0.039,0.015,0.003,,13.212,15.974,0.011
Furnace 1 [kW](t),0.053,0.018,26.653,0.806,7.255,0.064,0.024,0.014,23.269,0.152,5.293,0.035
Furnace 2 [kW](t),0.047,0.019,14.125,0.734,4.889,0.085,0.034,0.018,11.92,0.785,3.662,0.044
Home office [kW](t),0.016,0.005,4.875,0.9,2.305,0.037,0.007,0.003,1.634,0.225,0.764,0.035
Fridge [kW](t),0.022,0.007,44.72,0.913,12.574,0.039,0.003,0.001,7.168,0.013,1.733,0.014
Wine cellar [kW](t),0.012,0.003,11.385,0.934,4.227,0.052,0.018,0.003,11.008,0.127,2.85,0.023
Garage door [kW](t),0.012,0.001,7.265,0.13,2.183,0.033,0.013,0.001,12.912,0.817,0.761,0.011
Kitchen 12 [kW](t),0.008,0.002,inf,-46.999,7.544,0.248,0.015,0.005,,109.59,7.322,0.376
Kitchen 14 [kW](t),0.052,0.007,inf,-183.153,83.219,0.211,0.015,0.003,,1005.61,9.174,0.967
Kitchen 38 [kW](t),0.0,0.0,inf,0.021,64.371,0.0,0.0,0.0,,0.023,4.634,0.0
Barn [kW](t),0.119,0.021,inf,0.293,6.191,0.04,0.106,0.021,,0.293,3.751,0.02
Well [kW](t),0.101,0.017,inf,-61.105,65.676,0.139,0.028,0.006,,336.802,10.696,0.41
Microwave [kW](t),0.069,0.009,inf,-8.015,13.9,0.104,0.022,0.004,,45.595,7.55,0.352
Living room [kW](t),0.016,0.003,inf,0.928,9.699,0.045,0.006,0.002,,0.19,4.833,0.017
Solar [kW](t),0.022,0.008,inf,0.954,9.496,0.045,0.009,0.004,,0.036,3.006,0.017
temperature(t),1.57,0.984,3.038,0.937,1.272,0.049,1.61,0.908,5.43,0.127,1.64,0.042
humidity(t),0.014,0.009,1.912,0.991,0.92,0.026,0.007,0.005,1.968,0.011,0.861,0.013
visibility(t),0.282,0.115,4.082,0.891,1.206,0.053,0.443,0.199,9.21,0.228,1.956,0.051
apparentTemperature(t),1.791,1.117,6.076,0.916,2.236,0.052,1.897,1.098,16.084,0.207,4.808,0.049
pressure(t),1.177,0.774,0.077,0.882,0.038,0.068,1.511,0.922,0.092,0.215,0.046,0.064
windSpeed(t),0.378,0.215,inf,0.984,2.435,0.028,0.185,0.09,,0.011,1.229,0.01
windBearing(t),13.221,6.098,inf,0.976,4.397,0.039,7.482,4.251,,0.023,4.285,0.02
precipIntensity(t),0.004,0.001,inf,0.713,85.005,,0.007,0.002,,0.375,13.757,
dewPoint(t),1.843,1.206,7.836,0.862,3.157,0.075,2.328,1.411,19.639,0.299,6.81,0.077
precipProbability(t),0.042,0.017,inf,0.438,85.331,,0.073,0.038,,1.936,13.908,
