variable,rmse,mae,mape,r2,smape,nrmse
use [kW](t),0.391,0.188,90.327,0.609,11.74,0.06
gen [kW](t),0.035,0.018,inf,0.87,35.987,0.073
Dishwasher [kW](t),0.064,0.02,inf,-77135.581,94.003,8.047
Furnace 1 [kW](t),0.067,0.031,61.693,0.68,19.444,0.084
Furnace 2 [kW](t),0.067,0.035,30.027,0.04,10.494,0.125
Home office [kW](t),0.023,0.011,16.5,-2.092,8.042,0.105
Fridge [kW](t),0.027,0.012,113.027,0.851,24.47,0.05
Wine cellar [kW](t),0.014,0.006,35.083,0.907,14.629,0.073
Garage door [kW](t),0.012,0.002,7.772,0.086,3.373,0.034
Kitchen 12 [kW](t),0.007,0.002,inf,-302.371,38.536,0.515
Kitchen 14 [kW](t),0.055,0.011,inf,-197.024,93.025,0.213
Kitchen 38 [kW](t),0.0,0.0,inf,-0.002,65.999,0.0
Barn [kW](t),0.121,0.024,inf,0.136,15.863,0.044
Well [kW](t),0.111,0.021,inf,-72.584,73.542,0.171
Microwave [kW](t),0.071,0.012,inf,-1.901,45.831,0.072
Living room [kW](t),0.021,0.01,inf,-200.257,58.633,0.369
Solar [kW](t),0.035,0.018,inf,0.873,36.207,0.072
temperature(t),1.999,1.176,2.844,0.902,1.471,0.063
humidity(t),0.031,0.019,3.123,0.94,1.579,0.059
visibility(t),0.411,0.214,5.551,-6.949,1.749,0.167
apparentTemperature(t),1.978,1.227,4.068,0.92,1.985,0.06
pressure(t),1.565,0.995,0.098,0.834,0.049,0.09
windSpeed(t),0.841,0.5,inf,0.88,5.252,0.06
windBearing(t),21.905,12.151,inf,0.917,7.867,0.067
precipIntensity(t),0.004,0.002,inf,-36.373,85.437,inf
dewPoint(t),2.061,1.228,5.079,0.866,2.609,0.085
precipProbability(t),0.042,0.022,inf,-8.896,84.903,inf
