variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
use [kW](t),0.385,0.186,80.224,0.663,11.832,0.058,0.214,0.11,74.006,0.295,3.502,0.023
gen [kW](t),0.033,0.017,inf,0.893,35.351,0.068,0.017,0.009,,0.138,7.989,0.034
Dishwasher [kW](t),0.065,0.019,inf,-47939.63,93.772,6.047,0.025,0.011,,262580.79,2.195,32.854
Furnace 1 [kW](t),0.067,0.031,66.404,0.695,18.023,0.083,0.042,0.029,72.598,0.264,9.203,0.054
Furnace 2 [kW](t),0.067,0.035,29.272,-0.139,10.677,0.126,0.054,0.034,29.771,4.83,8.286,0.089
Home office [kW](t),0.024,0.011,17.194,0.148,7.538,0.071,0.013,0.007,12.16,3.402,3.711,0.148
Fridge [kW](t),0.027,0.012,104.834,0.851,25.02,0.05,0.008,0.005,55.092,0.145,6.136,0.034
Wine cellar [kW](t),0.014,0.006,38.338,0.904,14.296,0.074,0.012,0.003,33.823,0.13,7.371,0.047
Garage door [kW](t),0.012,0.002,7.937,0.053,3.558,0.034,0.014,0.001,6.414,1.027,2.198,0.012
Kitchen 12 [kW](t),0.007,0.002,inf,-228.861,38.114,0.5,0.011,0.003,,1035.611,22.772,1.05
Kitchen 14 [kW](t),0.055,0.01,inf,-125.988,93.264,0.168,0.017,0.005,,692.291,1.749,0.724
Kitchen 38 [kW](t),0.0,0.0,inf,0.001,65.986,0.0,0.0,0.0,,0.024,4.489,0.0
Barn [kW](t),0.124,0.026,inf,-0.288,17.163,0.049,0.108,0.022,,2.298,11.534,0.035
Well [kW](t),0.111,0.021,inf,-146.054,74.099,0.197,0.031,0.01,,801.376,5.746,0.689
Microwave [kW](t),0.071,0.012,inf,-1.455,46.324,0.072,0.024,0.005,,9.694,15.01,0.172
Living room [kW](t),0.022,0.01,inf,-275.119,56.736,0.449,0.017,0.009,,1511.872,7.938,2.095
Solar [kW](t),0.033,0.017,inf,0.894,35.358,0.068,0.017,0.008,,0.135,8.039,0.034
temperature(t),1.932,1.179,2.981,0.905,1.529,0.062,2.136,1.126,3.395,0.193,1.83,0.051
humidity(t),0.034,0.021,3.282,0.911,1.694,0.065,0.037,0.022,2.487,0.239,1.502,0.074
visibility(t),0.414,0.215,5.416,-7.332,1.703,0.163,0.615,0.299,11.761,39.078,2.469,0.318
apparentTemperature(t),2.324,1.414,4.63,0.876,2.329,0.07,2.928,1.554,5.912,0.258,3.132,0.065
pressure(t),1.634,1.031,0.102,0.8,0.051,0.093,2.36,1.419,0.142,0.452,0.07,0.084
windSpeed(t),0.829,0.469,inf,0.906,5.011,0.06,0.683,0.324,,0.146,2.71,0.037
windBearing(t),23.175,12.854,inf,0.909,7.852,0.071,14.61,8.753,,0.146,6.089,0.045
precipIntensity(t),0.004,0.002,inf,-27.42,85.574,inf,0.007,0.002,,97.946,13.254,
dewPoint(t),2.192,1.297,5.268,0.834,2.766,0.092,3.324,1.752,7.238,0.268,3.97,0.071
precipProbability(t),0.042,0.021,inf,-6.644,84.863,inf,0.07,0.036,,27.053,13.955,
