variable,rmse,mae,mape,r2,smape,nrmse
use [kW](t),0.5,0.303,215.501,0.422,18.471,0.078
gen [kW](t),0.061,0.041,inf,0.666,53.159,0.128
Dishwasher [kW](t),0.101,0.047,inf,-515149.597,95.647,20.74
Furnace 1 [kW](t),0.08,0.045,112.561,0.398,29.118,0.103
Furnace 2 [kW](t),0.077,0.049,45.391,-5.463,16.847,0.174
Home office [kW](t),0.043,0.024,35.555,-7.542,14.28,0.178
Fridge [kW](t),0.038,0.022,232.108,0.731,37.07,0.068
Wine cellar [kW](t),0.023,0.013,89.49,0.781,25.82,0.121
Garage door [kW](t),0.013,0.003,21.082,-4.623,8.205,0.1
Kitchen 12 [kW](t),0.011,0.005,inf,-1832.854,56.492,1.485
Kitchen 14 [kW](t),0.064,0.023,inf,-2725.695,96.412,0.663
Kitchen 38 [kW](t),0.0,0.0,inf,-0.565,70.074,0.0
Barn [kW](t),0.14,0.05,inf,-1.453,30.39,0.069
Well [kW](t),0.12,0.04,inf,-3514.81,87.877,0.74
Microwave [kW](t),0.081,0.026,inf,-83.811,63.987,0.209
Living room [kW](t),0.039,0.025,inf,-3676.434,73.575,1.572
Solar [kW](t),0.061,0.041,inf,0.666,53.159,0.128
temperature(t),4.25,2.835,8.175,0.619,3.608,0.139
humidity(t),0.075,0.053,9.864,0.743,4.526,0.142
visibility(t),0.779,0.463,11.093,-93.849,3.435,0.456
apparentTemperature(t),4.843,3.207,12.369,0.534,5.142,0.149
pressure(t),3.255,2.31,0.228,0.389,0.114,0.197
windSpeed(t),1.482,1.011,inf,0.762,9.771,0.109
windBearing(t),40.658,28.476,inf,0.787,13.389,0.123
precipIntensity(t),0.006,0.003,inf,-214.092,87.563,inf
dewPoint(t),4.247,2.946,14.843,0.211,6.428,0.203
precipProbability(t),0.087,0.048,inf,-59.049,87.604,inf
