variable,rmse,mae,mape,r2,smape,nrmse
use [kW](t),0.5,0.303,215.501,0.422,0.303,0.422
gen [kW](t),0.061,0.041,inf,0.666,0.041,0.666
Dishwasher [kW](t),0.101,0.047,inf,-515149.597,0.047,-515149.597
Furnace 1 [kW](t),0.08,0.045,112.561,0.398,0.045,0.398
Furnace 2 [kW](t),0.077,0.049,45.391,-5.463,0.049,-5.463
Home office [kW](t),0.043,0.024,35.555,-7.542,0.024,-7.542
Fridge [kW](t),0.038,0.022,232.108,0.731,0.022,0.731
Wine cellar [kW](t),0.023,0.013,89.49,0.781,0.013,0.781
Garage door [kW](t),0.013,0.003,21.082,-4.623,0.003,-4.623
Kitchen 12 [kW](t),0.011,0.005,inf,-1832.854,0.005,-1832.854
Kitchen 14 [kW](t),0.064,0.023,inf,-2725.695,0.023,-2725.695
Kitchen 38 [kW](t),0.0,0.0,inf,-0.565,0.0,-0.565
Barn [kW](t),0.14,0.05,inf,-1.453,0.05,-1.453
Well [kW](t),0.12,0.04,inf,-3514.81,0.04,-3514.81
Microwave [kW](t),0.081,0.026,inf,-83.811,0.026,-83.811
Living room [kW](t),0.039,0.025,inf,-3676.434,0.025,-3676.434
Solar [kW](t),0.061,0.041,inf,0.666,0.041,0.666
temperature(t),4.25,2.835,8.175,0.619,2.835,0.619
humidity(t),0.075,0.053,9.864,0.743,0.053,0.743
visibility(t),0.779,0.463,11.093,-93.849,0.463,-93.849
apparentTemperature(t),4.843,3.207,12.369,0.534,3.207,0.534
pressure(t),3.255,2.31,0.228,0.389,2.31,0.389
windSpeed(t),1.482,1.011,inf,0.762,1.011,0.762
windBearing(t),40.658,28.476,inf,0.787,28.476,0.787
precipIntensity(t),0.006,0.003,inf,-214.092,0.003,-214.092
dewPoint(t),4.247,2.946,14.843,0.211,2.946,0.211
precipProbability(t),0.087,0.048,inf,-59.049,0.048,-59.049
