variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
use [kW](t),0.5,0.303,215.501,0.422,18.471,0.078,0.262,0.177,272.04,0.47,5.658,0.036
gen [kW](t),0.061,0.041,inf,0.666,53.159,0.128,0.022,0.018,,0.24,7.778,0.042
Dishwasher [kW](t),0.101,0.047,inf,-515149.597,95.647,20.74,0.029,0.02,,2821594.008,1.729,113.182
Furnace 1 [kW](t),0.08,0.045,112.561,0.398,29.118,0.103,0.034,0.029,77.049,0.754,11.548,0.051
Furnace 2 [kW](t),0.077,0.049,45.391,-5.463,16.847,0.174,0.051,0.036,30.835,32.309,9.354,0.192
Home office [kW](t),0.043,0.024,35.555,-7.542,14.28,0.178,0.018,0.01,14.6,40.788,4.166,0.528
Fridge [kW](t),0.038,0.022,232.108,0.731,37.07,0.068,0.009,0.006,91.186,0.121,5.252,0.03
Wine cellar [kW](t),0.023,0.013,89.49,0.781,25.82,0.121,0.018,0.005,50.671,0.171,8.187,0.047
Garage door [kW](t),0.013,0.003,21.082,-4.623,8.205,0.1,0.014,0.002,14.678,24.597,4.163,0.325
Kitchen 12 [kW](t),0.011,0.005,inf,-1832.854,56.492,1.485,0.013,0.006,,7634.141,24.774,3.055
Kitchen 14 [kW](t),0.064,0.023,inf,-2725.695,96.412,0.663,0.018,0.011,,14929.583,1.035,3.401
Kitchen 38 [kW](t),0.0,0.0,inf,-0.565,70.074,0.0,0.0,0.0,,0.259,5.643,0.0
Barn [kW](t),0.14,0.05,inf,-1.453,30.39,0.069,0.105,0.034,,4.402,13.635,0.053
Well [kW](t),0.12,0.04,inf,-3514.81,87.877,0.74,0.031,0.014,,19252.169,3.129,3.638
Microwave [kW](t),0.081,0.026,inf,-83.811,63.987,0.209,0.028,0.013,,459.817,11.577,0.89
Living room [kW](t),0.039,0.025,inf,-3676.434,73.575,1.572,0.014,0.01,,20140.666,5.353,7.984
Solar [kW](t),0.061,0.041,inf,0.666,53.159,0.128,0.022,0.018,,0.24,7.778,0.042
temperature(t),4.25,2.835,8.175,0.619,3.608,0.139,2.644,1.728,11.526,0.483,3.81,0.065
humidity(t),0.075,0.053,9.864,0.743,4.526,0.142,0.033,0.025,7.79,0.239,2.723,0.063
visibility(t),0.779,0.463,11.093,-93.849,3.435,0.456,0.649,0.338,15.568,440.903,3.096,1.091
apparentTemperature(t),4.843,3.207,12.369,0.534,5.142,0.149,3.13,2.051,20.881,0.703,6.522,0.077
pressure(t),3.255,2.31,0.228,0.389,0.114,0.197,2.477,1.788,0.179,0.569,0.089,0.084
windSpeed(t),1.482,1.011,inf,0.762,9.771,0.109,0.581,0.37,,0.143,3.586,0.027
windBearing(t),40.658,28.476,inf,0.787,13.389,0.123,15.537,12.853,,0.113,9.323,0.041
precipIntensity(t),0.006,0.003,inf,-214.092,87.563,inf,0.007,0.002,,994.895,12.391,
dewPoint(t),4.247,2.946,14.843,0.211,6.428,0.203,3.841,2.522,24.763,1.282,8.666,0.131
precipProbability(t),0.087,0.048,inf,-59.049,87.604,inf,0.078,0.037,,233.247,12.238,
