variable,rmse,mae,mape,r2,smape,nrmse
use [kW](t),0.477,0.208,94.238,-0.3,0.208,-0.3
gen [kW](t),0.022,0.008,inf,0.951,0.008,0.951
Dishwasher [kW](t),0.065,0.014,inf,-669.438,0.014,-669.438
Furnace 1 [kW](t),0.083,0.036,78.778,0.329,0.036,0.329
Furnace 2 [kW](t),0.07,0.033,27.29,-0.559,0.033,-0.559
Home office [kW](t),0.014,0.003,4.19,0.911,0.003,0.911
Fridge [kW](t),0.025,0.009,72.731,0.847,0.009,0.847
Wine cellar [kW](t),0.01,0.003,17.822,0.918,0.003,0.918
Garage door [kW](t),0.011,0.002,10.444,-0.04,0.002,-0.04
Kitchen 12 [kW](t),0.006,0.001,inf,-290.232,0.001,-290.232
Kitchen 14 [kW](t),0.054,0.01,inf,-33.319,0.01,-33.319
Kitchen 38 [kW](t),0.0,0.0,inf,-1.48,0.0,-1.48
Barn [kW](t),0.27,0.093,inf,-43.974,0.093,-43.974
Well [kW](t),0.132,0.034,inf,-129.697,0.034,-129.697
Microwave [kW](t),0.066,0.01,inf,-10.648,0.01,-10.648
Living room [kW](t),0.014,0.003,inf,-0.923,0.003,-0.923
Solar [kW](t),0.022,0.008,inf,0.951,0.008,0.951
temperature(t),0.267,0.05,0.116,0.999,0.05,0.999
humidity(t),0.007,0.001,0.215,0.998,0.001,0.998
visibility(t),0.096,0.022,0.526,0.977,0.022,0.977
apparentTemperature(t),0.329,0.064,0.207,0.998,0.064,0.998
pressure(t),0.099,0.024,0.002,0.999,0.024,0.999
windSpeed(t),0.241,0.047,inf,0.993,0.047,0.993
windBearing(t),10.301,1.823,inf,0.986,1.823,0.986
precipIntensity(t),0.001,0.0,inf,0.768,0.0,0.768
dewPoint(t),0.166,0.033,0.146,0.999,0.033,0.999
precipProbability(t),0.014,0.003,inf,0.884,0.003,0.884
