variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
use [kW](t),0.477,0.208,94.238,-0.3,11.643,0.083,0.54,0.241,120.393,4.014,5.84,0.126
gen [kW](t),0.022,0.008,inf,0.951,16.592,0.046,0.01,0.005,,0.046,9.027,0.018
Dishwasher [kW](t),0.065,0.014,inf,-669.438,90.087,0.714,0.066,0.029,,3669.77,3.935,3.643
Furnace 1 [kW](t),0.083,0.036,78.778,0.329,14.044,0.099,0.111,0.064,167.224,2.149,10.012,0.133
Furnace 2 [kW](t),0.07,0.033,27.29,-0.559,9.034,0.13,0.07,0.038,35.882,7.1,8.356,0.12
Home office [kW](t),0.014,0.003,4.19,0.911,2.285,0.026,0.006,0.003,5.876,0.223,3.925,0.012
Fridge [kW](t),0.025,0.009,72.731,0.847,15.658,0.048,0.011,0.006,79.328,0.302,4.658,0.049
Wine cellar [kW](t),0.01,0.003,17.822,0.918,4.497,0.057,0.009,0.003,44.071,0.268,4.834,0.064
Garage door [kW](t),0.011,0.002,10.444,-0.04,4.33,0.036,0.009,0.001,10.18,1.149,3.75,0.016
Kitchen 12 [kW](t),0.006,0.001,inf,-290.232,35.26,0.449,0.008,0.002,,1368.301,23.989,1.197
Kitchen 14 [kW](t),0.054,0.01,inf,-33.319,90.246,0.123,0.018,0.007,,184.801,2.419,0.481
Kitchen 38 [kW](t),0.0,0.0,inf,-1.48,65.119,0.0,0.0,0.0,,6.514,5.529,0.0
Barn [kW](t),0.27,0.093,inf,-43.974,27.462,0.166,0.53,0.221,,191.174,17.347,0.451
Well [kW](t),0.132,0.034,inf,-129.697,73.95,0.21,0.096,0.049,,707.79,6.859,0.689
Microwave [kW](t),0.066,0.01,inf,-10.648,37.7,0.102,0.021,0.005,,60.464,12.379,0.352
Living room [kW](t),0.014,0.003,inf,-0.923,18.887,0.041,0.004,0.002,,10.365,6.478,0.013
Solar [kW](t),0.022,0.008,inf,0.951,16.592,0.046,0.01,0.005,,0.046,9.027,0.018
temperature(t),0.267,0.05,0.116,0.999,0.058,0.009,0.084,0.027,0.082,0.001,0.04,0.002
humidity(t),0.007,0.001,0.215,0.998,0.107,0.012,0.003,0.002,0.198,0.003,0.098,0.006
visibility(t),0.096,0.022,0.526,0.977,0.318,0.023,0.093,0.049,1.586,0.058,1.071,0.014
apparentTemperature(t),0.329,0.064,0.207,0.998,0.101,0.011,0.091,0.041,0.24,0.002,0.112,0.003
pressure(t),0.099,0.024,0.002,0.999,0.001,0.006,0.094,0.041,0.004,0.002,0.002,0.005
windSpeed(t),0.241,0.047,inf,0.993,0.665,0.018,0.101,0.046,,0.008,0.687,0.006
windBearing(t),10.301,1.823,inf,0.986,1.746,0.03,5.041,1.357,,0.009,1.556,0.013
precipIntensity(t),0.001,0.0,inf,0.768,81.891,,0.001,0.0,,0.681,16.272,
dewPoint(t),0.166,0.033,0.146,0.999,0.07,0.009,0.089,0.045,0.205,0.001,0.095,0.003
precipProbability(t),0.014,0.003,inf,0.884,81.877,inf,0.021,0.008,,0.261,16.274,
