window,rmse,mape,mae,r2,smape,nrmse,variable
0,16.599,30.467,10.328,0.894,11.641,0.066,PM2.5(t)
0,33.201,24.563,20.765,0.749,11.593,0.11,PM10(t)
0,10.193,39.704,5.191,0.546,15.68,0.102,SO2(t)
0,12.795,20.783,8.138,0.782,9.62,0.108,NO2(t)
0,192.21,17.923,127.807,0.635,8.287,0.128,CO(t)
0,9895.48,355.505,1422.315,-0.02,21.132,0.127,O3(t)
0,1.888,15.605,1.295,0.818,7.268,0.087,TEMP(t)
0,1.373,0.08,0.807,0.953,0.04,0.05,PRES(t)
0,2.076,inf,1.504,0.877,28.269,0.094,DEWP(t)
0,0.041,inf,0.007,-5.485,99.735,0.205,RAIN(t)
0,1.073,inf,0.818,0.443,17.896,0.153,WSPM(t)
0,20.548,45.339,12.393,0.866,14.759,0.083,PM2.5.1(t)
0,36.502,29.679,17.341,0.668,11.67,0.092,PM10.1(t)
0,7.941,46.542,4.411,0.666,17.581,0.11,SO2.1(t)
0,12.6,48.681,8.018,0.531,12.978,0.159,NO2.1(t)
0,211.67,33.661,155.205,0.637,13.202,0.125,CO.1(t)
0,10891.061,33.364,2028.372,-0.036,13.712,0.132,O3.1(t)
0,1.803,13.054,1.179,0.821,6.418,0.084,TEMP.1(t)
0,1.437,0.086,0.87,0.948,0.043,0.053,PRES.1(t)
0,2.404,95.999,1.633,0.855,25.195,0.092,DEWP.1(t)
0,0.086,inf,0.01,-3.047,99.997,0.143,RAIN.1(t)
0,1.156,inf,0.905,0.525,22.028,0.141,WSPM.1(t)
0,20.098,42.192,10.859,0.889,14.223,0.08,PM2.5.2(t)
0,32.396,49.392,18.247,0.753,14.788,0.12,PM10.2(t)
0,7.57,47.37,3.82,0.71,17.396,0.093,SO2.2(t)
0,11.183,69.798,6.991,0.671,20.029,0.12,NO2.2(t)
0,217.153,25.103,122.319,0.701,10.767,0.114,CO.2(t)
0,14107.929,20.113,2820.722,-0.041,10.947,0.163,O3.2(t)
0,1.813,13.037,1.18,0.819,6.383,0.085,TEMP.2(t)
0,1.421,0.085,0.856,0.95,0.043,0.052,PRES.2(t)
0,2.489,100.559,1.714,0.845,25.57,0.095,DEWP.2(t)
0,0.085,inf,0.011,-2.942,99.98,0.142,RAIN.2(t)
0,1.158,inf,0.907,0.524,22.209,0.141,WSPM.2(t)
0,16.373,28.541,10.14,0.898,11.382,0.07,PM2.5.3(t)
0,39.912,53.173,23.045,0.635,15.128,0.104,PM10.3(t)
0,9.114,44.745,4.65,0.564,16.492,0.096,SO2.3(t)
0,11.555,29.426,7.53,0.778,11.773,0.112,NO2.3(t)
0,204.722,23.389,146.956,0.731,10.407,0.108,CO.3(t)
0,2446.517,49.913,263.815,-0.009,14.101,0.074,O3.3(t)
0,1.842,13.429,1.252,0.783,6.451,0.085,TEMP.3(t)
0,1.384,0.077,0.782,0.951,0.039,0.051,PRES.3(t)
0,1.993,82.487,1.43,0.906,23.222,0.077,DEWP.3(t)
0,0.031,inf,0.008,0.0,100.0,inf,RAIN.3(t)
0,1.133,inf,0.872,0.551,19.281,0.133,WSPM.3(t)
