window,rmse,mape,mae,r2,smape,nrmse,variable
0,26.933,49.76,18.099,0.79,14.675,0.104,PM2.5(t)
0,38.81,31.648,26.045,0.68,12.848,0.132,PM10(t)
0,12.815,47.753,7.323,0.398,16.843,0.128,SO2(t)
0,15.937,26.203,10.493,0.585,10.646,0.134,NO2(t)
0,269.612,29.524,202.591,0.4,12.174,0.18,CO(t)
0,8099.951,181.283,962.06,-0.013,25.767,0.104,O3(t)
0,2.458,20.333,1.735,0.686,8.833,0.113,TEMP(t)
0,1.816,0.107,1.082,0.92,0.054,0.073,PRES(t)
0,2.843,inf,2.034,0.746,36.148,0.122,DEWP(t)
0,0.04,inf,0.01,0.0,100.0,inf,RAIN(t)
0,0.984,inf,0.773,0.331,18.988,0.154,WSPM(t)
0,27.153,48.059,18.513,0.824,15.877,0.096,PM2.5.1(t)
0,41.871,37.871,22.429,0.606,12.813,0.105,PM10.1(t)
0,10.323,81.179,7.538,0.486,24.441,0.143,SO2.1(t)
0,14.828,45.55,10.711,0.386,14.615,0.188,NO2.1(t)
0,365.846,51.663,304.065,-0.099,19.177,0.215,CO.1(t)
0,7853.378,52.381,1045.16,-0.018,16.531,0.106,O3.1(t)
0,2.297,18.118,1.633,0.697,8.734,0.107,TEMP.1(t)
0,1.828,0.117,1.18,0.917,0.059,0.074,PRES.1(t)
0,3.116,146.404,2.274,0.744,35.641,0.123,DEWP.1(t)
0,0.079,inf,0.013,-1.457,99.977,0.132,RAIN.1(t)
0,1.185,inf,0.926,0.358,25.193,0.191,WSPM.1(t)
0,31.765,96.432,20.66,0.777,18.729,0.125,PM2.5.2(t)
0,36.948,67.776,23.735,0.727,17.565,0.137,PM10.2(t)
0,8.022,54.954,4.709,0.686,19.283,0.099,SO2.2(t)
0,12.804,63.714,9.472,0.594,19.451,0.138,NO2.2(t)
0,274.135,36.322,186.362,0.51,14.033,0.144,CO.2(t)
0,8894.118,28.255,1051.7,-0.014,12.238,0.103,O3.2(t)
0,2.253,18.004,1.608,0.709,8.606,0.105,TEMP.2(t)
0,1.871,0.122,1.222,0.913,0.061,0.076,PRES.2(t)
0,2.979,140.1,2.128,0.766,32.908,0.118,DEWP.2(t)
0,0.079,inf,0.014,-1.489,99.966,0.132,RAIN.2(t)
0,1.182,inf,0.915,0.361,25.075,0.191,WSPM.2(t)
0,27.382,60.551,19.056,0.805,15.446,0.1,PM2.5.3(t)
0,46.529,63.767,28.175,0.575,16.449,0.123,PM10.3(t)
0,12.284,69.84,7.75,0.35,22.086,0.129,SO2.3(t)
0,17.656,50.062,13.331,0.535,16.837,0.173,NO2.3(t)
0,278.55,28.665,205.257,0.67,11.708,0.093,CO.3(t)
0,261.975,78.715,36.596,0.027,17.803,0.082,O3.3(t)
0,2.283,17.894,1.678,0.681,8.228,0.106,TEMP.3(t)
0,1.833,0.109,1.106,0.918,0.055,0.075,PRES.3(t)
0,2.891,85.963,1.908,0.778,29.169,0.112,DEWP.3(t)
0,0.019,inf,0.007,-4.258,100.0,0.19,RAIN.3(t)
0,1.228,inf,0.955,0.204,23.752,0.198,WSPM.3(t)
0,23.715,48.584,16.621,0.837,14.805,0.098,PM2.5.4(t)
0,28.57,31.206,20.559,0.764,12.24,0.113,PM10.4(t)
0,13.637,101.457,9.465,0.432,25.99,0.124,SO2.4(t)
0,5786.419,35.718,675.525,-0.014,12.86,0.097,NO2.4(t)
0,285.744,34.069,217.087,0.663,13.604,0.102,CO.4(t)
0,9291.51,229.244,1264.273,-0.018,23.077,0.106,O3.4(t)
0,2.453,20.669,1.753,0.687,8.977,0.113,TEMP.4(t)
0,1.784,0.104,1.05,0.923,0.052,0.072,PRES.4(t)
0,2.924,inf,2.1,0.731,37.899,0.125,DEWP.4(t)
0,0.043,inf,0.01,0.0,100.0,inf,RAIN.4(t)
0,1.003,inf,0.801,0.305,19.69,0.157,WSPM.4(t)
0,28.61,129.615,21.825,0.778,20.576,0.129,PM2.5.5(t)
0,39.964,74.332,31.109,0.723,18.304,0.137,PM10.5(t)
0,9.269,54.578,5.631,0.612,19.052,0.131,SO2.5(t)
0,16.593,39.351,12.377,0.676,14.101,0.152,NO2.5(t)
0,289.65,25.411,186.604,0.6,10.572,0.152,CO.5(t)
0,14033.619,122.02,2351.126,-0.028,24.409,0.141,O3.5(t)
0,2.336,16.612,1.653,0.697,8.197,0.11,TEMP.5(t)
0,1.815,0.108,1.091,0.92,0.054,0.074,PRES.5(t)
0,3.174,inf,2.276,0.743,40.444,0.13,DEWP.5(t)
0,0.033,inf,0.008,0.0,100.0,inf,RAIN.5(t)
0,0.985,inf,0.65,0.201,19.749,0.143,WSPM.5(t)
0,26.415,133.211,17.528,0.787,18.533,0.107,PM2.5.6(t)
0,44.991,59.619,27.777,0.591,16.487,0.145,PM10.6(t)
0,13.477,66.435,7.686,0.474,21.929,0.142,SO2.6(t)
0,13.28,58.888,9.417,0.618,17.323,0.148,NO2.6(t)
0,248.327,41.176,198.855,0.479,14.668,0.155,CO.6(t)
0,8709.61,109.001,746.097,-0.006,18.527,0.084,O3.6(t)
0,2.57,32.215,1.876,0.64,11.47,0.122,TEMP.6(t)
0,1.777,0.108,1.085,0.917,0.054,0.073,PRES.6(t)
0,2.983,134.465,2.142,0.766,33.591,0.103,DEWP.6(t)
0,0.095,inf,0.013,-1.038,100.0,0.119,RAIN.6(t)
0,1.547,79.339,1.086,0.174,23.153,0.132,WSPM.6(t)
0,24.711,50.764,16.988,0.728,15.198,0.11,PM2.5.7(t)
0,34.949,46.087,23.719,0.678,14.335,0.128,PM10.7(t)
0,14.036,103.027,9.932,0.281,26.918,0.142,SO2.7(t)
0,16.454,27.695,11.712,0.608,11.497,0.148,NO2.7(t)
0,294.187,33.043,215.488,0.463,13.187,0.163,CO.7(t)
0,5565.628,120.221,481.991,-0.006,20.174,0.084,O3.7(t)
0,2.278,17.842,1.679,0.682,8.24,0.105,TEMP.7(t)
0,1.816,0.108,1.087,0.92,0.054,0.074,PRES.7(t)
0,2.871,82.983,1.894,0.781,29.006,0.111,DEWP.7(t)
0,0.021,inf,0.008,-5.268,100.0,0.21,RAIN.7(t)
0,1.231,inf,0.961,0.2,23.891,0.199,WSPM.7(t)
0,19.586,49.689,14.274,0.865,14.634,0.085,PM2.5.8(t)
0,32.576,42.274,19.729,0.678,13.306,0.125,PM10.8(t)
0,10.01,55.589,5.719,0.495,19.544,0.159,SO2.8(t)
0,14.212,34.644,10.317,0.572,13.698,0.139,NO2.8(t)
0,243.803,25.866,189.98,0.479,11.048,0.174,CO.8(t)
0,7427.265,131.484,1068.175,-0.02,21.992,0.122,O3.8(t)
0,2.229,17.025,1.615,0.695,8.125,0.104,TEMP.8(t)
0,1.784,0.106,1.074,0.92,0.053,0.072,PRES.8(t)
0,2.718,inf,2.029,0.788,35.087,0.112,DEWP.8(t)
0,0.055,inf,0.006,0.0,100.0,inf,RAIN.8(t)
0,1.232,inf,0.962,0.235,21.531,0.179,WSPM.8(t)
0,23.152,48.955,16.531,0.839,15.008,0.089,PM2.5.9(t)
0,32.473,35.618,21.708,0.664,13.547,0.117,PM10.9(t)
0,13.626,89.147,8.708,0.283,26.278,0.136,SO2.9(t)
0,15.525,45.592,11.465,0.351,15.369,0.183,NO2.9(t)
0,292.826,30.651,213.896,0.593,12.366,0.092,CO.9(t)
0,8294.461,152.906,992.964,-0.014,22.669,0.101,O3.9(t)
0,2.267,17.714,1.649,0.685,8.148,0.105,TEMP.9(t)
0,1.812,0.107,1.076,0.92,0.053,0.074,PRES.9(t)
0,2.84,85.607,1.92,0.786,28.872,0.11,DEWP.9(t)
0,0.022,inf,0.008,-6.032,100.0,0.22,RAIN.9(t)
0,1.224,inf,0.953,0.209,23.731,0.197,WSPM.9(t)
0,25.66,67.019,19.348,0.853,17.663,0.094,PM2.5.10(t)
0,38.144,53.066,28.105,0.707,16.17,0.135,PM10.10(t)
0,13.377,47.255,8.483,0.51,16.93,0.131,SO2.10(t)
0,16.017,22.317,11.667,0.722,9.512,0.12,NO2.10(t)
0,359.945,52.481,293.043,0.356,18.471,0.18,CO.10(t)
0,6647.007,167.932,586.859,-0.007,25.547,0.084,O3.10(t)
0,2.438,20.506,1.743,0.691,8.901,0.112,TEMP.10(t)
0,1.821,0.107,1.082,0.919,0.054,0.073,PRES.10(t)
0,2.893,inf,2.054,0.737,35.865,0.124,DEWP.10(t)
