window,rmse,mape,mae,r2,smape,nrmse,variable
0,44.065,121.765,26.397,0.25,23.097,0.174,PM2.5(t)
0,56.857,70.478,36.935,0.264,17.853,0.189,PM10(t)
0,22.76,140.905,15.018,-1.265,31.129,0.228,SO2(t)
0,21.097,46.632,14.157,0.407,15.964,0.177,NO2(t)
0,508.792,56.139,346.014,-1.558,18.574,0.339,CO(t)
0,9891.471,671.373,1428.17,-0.019,22.073,0.127,O3(t)
0,2.551,22.922,1.855,0.668,10.596,0.118,TEMP(t)
0,2.466,0.149,1.509,0.848,0.075,0.09,PRES(t)
0,2.801,inf,1.921,0.776,32.321,0.126,DEWP(t)
0,0.022,inf,0.01,-0.912,99.692,0.11,RAIN(t)
0,1.195,inf,0.881,0.31,19.331,0.171,WSPM(t)
0,42.879,132.61,26.386,0.417,25.294,0.172,PM2.5.1(t)
0,56.126,88.254,35.628,0.216,21.246,0.141,PM10.1(t)
0,17.622,128.057,10.548,-0.647,31.516,0.245,SO2.1(t)
0,17.235,64.556,12.181,0.123,18.272,0.218,NO2.1(t)
0,479.247,70.518,351.232,-0.863,21.535,0.282,CO.1(t)
0,10881.64,55.155,2034.584,-0.034,17.691,0.132,O3.1(t)
0,2.588,22.933,1.954,0.631,10.935,0.121,TEMP.1(t)
0,2.455,0.158,1.595,0.85,0.079,0.09,PRES.1(t)
0,2.894,81.998,1.947,0.79,26.435,0.111,DEWP.1(t)
0,0.046,inf,0.011,-0.128,100.0,0.077,RAIN.1(t)
0,1.351,inf,1.066,0.351,25.351,0.165,WSPM.1(t)
0,43.103,145.093,26.444,0.489,25.719,0.171,PM2.5.2(t)
0,55.245,150.557,37.288,0.281,25.939,0.205,PM10.2(t)
0,12.27,138.551,7.599,0.238,28.477,0.151,SO2.2(t)
0,16.936,132.94,11.512,0.246,25.659,0.182,NO2.2(t)
0,427.694,70.438,271.137,-0.159,19.725,0.225,CO.2(t)
0,14100.205,27.965,2823.98,-0.04,13.152,0.163,O3.2(t)
0,2.693,23.407,2.056,0.6,11.387,0.126,TEMP.2(t)
0,2.436,0.154,1.554,0.852,0.077,0.09,PRES.2(t)
0,2.894,87.49,1.979,0.79,27.325,0.111,DEWP.2(t)
0,0.046,inf,0.012,-0.134,100.0,0.077,RAIN.2(t)
0,1.337,inf,1.055,0.364,25.197,0.163,WSPM.2(t)
0,44.068,119.811,28.651,0.26,23.529,0.188,PM2.5.3(t)
0,61.691,124.402,40.105,0.127,21.868,0.161,PM10.3(t)
0,22.113,186.82,14.644,-1.566,33.931,0.233,SO2.3(t)
0,25.062,80.646,15.558,-0.044,20.752,0.243,NO2.3(t)
0,557.317,64.301,333.295,-0.996,17.228,0.293,CO.3(t)
0,2441.419,81.186,268.207,-0.005,17.145,0.074,O3.3(t)
0,2.298,18.238,1.693,0.662,9.058,0.106,TEMP.3(t)
0,2.383,0.144,1.459,0.856,0.072,0.089,PRES.3(t)
0,2.991,117.804,2.136,0.788,27.513,0.115,DEWP.3(t)
0,0.019,inf,0.013,0.0,100.0,inf,RAIN.3(t)
0,1.482,inf,1.152,0.232,23.897,0.174,WSPM.3(t)
0,40.032,116.372,25.85,0.325,23.25,0.178,PM2.5.4(t)
0,47.915,61.327,33.111,0.229,19.22,0.169,PM10.4(t)
0,27.726,285.177,17.585,-1.763,39.393,0.252,SO2.4(t)
0,9532.748,50.811,1197.75,-0.015,16.487,0.086,NO2.4(t)
0,583.85,82.537,381.098,-1.138,23.415,0.344,CO.4(t)
0,7944.766,828.043,949.096,-0.012,20.982,0.09,O3.4(t)
0,2.632,23.07,1.929,0.647,11.16,0.121,TEMP.4(t)
0,2.395,0.149,1.502,0.857,0.074,0.087,PRES.4(t)
0,2.778,inf,1.902,0.78,32.496,0.125,DEWP.4(t)
0,0.022,inf,0.011,-0.874,99.639,0.11,RAIN.4(t)
0,1.166,inf,0.867,0.342,19.146,0.167,WSPM.4(t)
0,48.851,242.248,32.487,0.112,29.332,0.225,PM2.5.5(t)
0,59.212,149.977,41.515,0.239,24.023,0.208,PM10.5(t)
0,18.023,160.198,11.563,-0.828,34.233,0.254,SO2.5(t)
0,28.214,92.112,20.222,-0.019,23.017,0.252,NO2.5(t)
0,624.565,66.856,379.387,-1.49,18.966,0.368,CO.5(t)
0,14145.332,145.038,2455.112,-0.029,20.327,0.142,O3.5(t)
0,2.422,18.214,1.78,0.661,9.545,0.114,TEMP.5(t)
0,2.446,0.153,1.539,0.851,0.076,0.088,PRES.5(t)
0,3.443,inf,2.406,0.726,35.018,0.142,DEWP.5(t)
0,0.039,inf,0.012,-0.206,99.988,0.078,RAIN.5(t)
0,1.114,inf,0.764,0.239,19.901,0.151,WSPM.5(t)
774,34.321,71.139,28.75,0.559,22.415,0.169,PM2.5(t)
774,46.403,77.86,36.756,0.397,20.062,0.176,PM10(t)
774,6.576,75.331,5.289,-0.984,38.606,0.235,SO2(t)
774,19.841,25.354,15.069,0.516,11.774,0.126,NO2(t)
774,359.256,25.754,240.546,0.357,12.821,0.12,CO(t)
774,48.994,670.293,32.076,0.327,38.633,0.227,O3(t)
774,2.049,5.385,1.572,0.695,2.798,0.141,TEMP(t)
774,1.443,0.115,1.153,0.89,0.058,0.091,PRES(t)
774,3.168,10.973,2.482,0.402,5.77,0.178,DEWP(t)
774,0.111,inf,0.041,0.031,98.801,0.101,RAIN(t)
774,0.64,inf,0.486,0.126,23.627,0.188,WSPM(t)
774,23.309,49.87,18.462,0.773,17.139,0.097,PM2.5.1(t)
774,31.893,55.493,24.685,0.539,17.107,0.144,PM10.1(t)
774,12.683,318.248,8.725,-4.219,45.538,0.409,SO2.1(t)
774,13.483,38.479,9.613,0.252,16.045,0.162,NO2.1(t)
