window,rmse,mape,mae,r2,smape,nrmse,variable
0,41.363,88.783,27.918,0.504,20.224,0.16,PM2.5(t)
0,55.049,60.764,38.726,0.357,17.785,0.187,PM10(t)
0,19.445,102.433,13.461,-0.385,26.584,0.194,SO2(t)
0,23.195,50.598,17.513,0.12,16.452,0.195,NO2(t)
0,446.394,53.491,351.709,-0.645,18.551,0.298,CO(t)
0,8098.245,259.172,963.911,-0.013,25.73,0.104,O3(t)
0,2.813,23.125,2.09,0.589,10.945,0.13,TEMP(t)
0,2.19,0.163,1.641,0.883,0.081,0.088,PRES(t)
0,3.019,inf,2.207,0.713,43.236,0.13,DEWP(t)
0,0.021,inf,0.016,0.0,100.0,inf,RAIN(t)
0,1.062,inf,0.799,0.22,19.347,0.166,WSPM(t)
0,47.3,121.867,33.548,0.465,25.197,0.167,PM2.5.1(t)
0,63.876,84.805,46.376,0.082,22.76,0.16,PM10.1(t)
0,17.262,151.4,12.323,-0.437,31.19,0.24,SO2.1(t)
0,20.041,62.535,14.978,-0.121,18.573,0.254,NO2.1(t)
0,562.314,76.266,455.352,-1.597,23.709,0.331,CO.1(t)
0,7850.11,49.129,1047.938,-0.017,18.063,0.106,O3.1(t)
0,2.774,22.023,2.103,0.558,10.907,0.13,TEMP.1(t)
0,2.143,0.152,1.525,0.886,0.076,0.087,PRES.1(t)
0,3.453,134.372,2.595,0.685,39.258,0.136,DEWP.1(t)
0,0.051,inf,0.016,-0.033,99.958,0.085,RAIN.1(t)
0,1.333,inf,1.025,0.188,27.062,0.215,WSPM.1(t)
0,51.931,214.881,36.536,0.404,29.39,0.204,PM2.5.2(t)
0,63.377,160.83,47.237,0.197,28.29,0.236,PM10.2(t)
0,13.987,173.934,10.448,0.046,35.171,0.173,SO2.2(t)
0,18.829,143.577,14.179,0.122,26.181,0.202,NO2.2(t)
0,475.284,88.712,374.958,-0.474,24.321,0.25,CO.2(t)
0,8887.558,36.857,1054.308,-0.012,14.271,0.102,O3.2(t)
0,2.878,22.821,2.238,0.524,11.597,0.134,TEMP.2(t)
0,2.369,0.177,1.786,0.861,0.089,0.096,PRES.2(t)
0,3.483,130.012,2.602,0.68,39.247,0.138,DEWP.2(t)
0,0.051,inf,0.019,-0.051,99.93,0.085,RAIN.2(t)
0,1.363,inf,1.037,0.151,27.225,0.22,WSPM.2(t)
0,43.278,103.884,29.272,0.514,21.95,0.158,PM2.5.3(t)
0,60.039,90.353,40.366,0.293,21.473,0.158,PM10.3(t)
0,18.943,133.207,12.833,-0.546,29.043,0.199,SO2.3(t)
0,25.098,82.327,17.887,0.06,19.878,0.246,NO2.3(t)
0,475.092,54.566,353.095,0.041,17.568,0.158,CO.3(t)
0,261.144,81.524,39.413,0.034,17.552,0.081,O3.3(t)
0,2.794,20.273,2.105,0.522,10.468,0.129,TEMP.3(t)
