window,rmse,mape,mae,r2,smape,nrmse,variable
0,13952.546,23021.642,3444.74,-56476.007,30.028,54.08,PM2.5(t)
0,16448.154,12835.573,4105.564,-57815.527,25.08,55.946,PM10(t)
0,4036.114,13397.207,1068.518,-59572.913,37.737,40.361,SO2(t)
0,6388.615,10217.564,1663.128,-67006.58,21.658,53.686,NO2(t)
0,122893.647,5602.746,30696.479,-124605.409,27.994,81.929,CO(t)
0,13318.924,18624.977,3096.893,-1.721,35.194,0.17,O3(t)
0,920.013,2637.492,224.062,-44457.174,20.615,42.397,TEMP(t)
0,517.29,14.12,142.983,-6456.21,5.74,20.858,PRES(t)
0,707.653,inf,157.842,-15733.628,47.955,30.371,DEWP(t)
0,22.892,inf,4.877,0.0,100.0,inf,RAIN(t)
0,293.007,inf,82.432,-60018.222,31.126,45.782,WSPM(t)
0,6606.632,9804.991,1833.93,-10433.97,37.108,23.345,PM2.5.1(t)
0,8950.365,6397.552,2323.869,-18024.186,33.872,22.488,PM10.1(t)
0,1919.882,7797.56,511.847,-17771.912,40.684,26.665,SO2.1(t)
0,5627.711,8275.188,1552.227,-88641.227,31.791,71.237,NO2.1(t)
0,112705.533,6396.548,28044.394,-104821.464,34.644,66.336,CO.1(t)
0,9673.514,5674.42,2404.759,-0.533,26.245,0.131,O3.1(t)
0,906.417,2439.156,221.386,-47775.071,20.293,42.356,TEMP.1(t)
0,566.024,15.442,155.867,-7902.254,5.833,22.916,PRES.1(t)
0,738.769,2214.513,170.478,-14399.229,49.401,29.2,DEWP.1(t)
0,8.806,inf,2.448,-30585.61,99.996,14.677,RAIN.1(t)
0,257.565,inf,65.737,-31355.314,34.065,41.543,WSPM.1(t)
0,10054.344,17140.785,2455.793,-22334.46,39.199,39.584,PM2.5.2(t)
0,13246.512,19149.405,3728.483,-35115.382,35.213,49.244,PM10.2(t)
0,2891.049,19528.442,751.17,-40673.002,41.612,35.692,SO2.2(t)
0,4175.806,21845.9,969.077,-43446.586,32.317,44.901,NO2.2(t)
0,65458.011,5789.792,17048.762,-28065.904,31.378,34.452,CO.2(t)
0,9636.16,1841.906,2194.81,-0.182,21.643,0.111,O3.2(t)
0,906.417,2439.156,221.386,-47775.071,20.293,42.356,TEMP.2(t)
0,566.024,15.442,155.867,-7902.254,5.833,22.916,PRES.2(t)
0,738.769,2214.513,170.478,-14399.229,49.401,29.2,DEWP.2(t)
0,8.806,inf,2.448,-30585.61,99.996,14.677,RAIN.2(t)
0,257.565,inf,65.737,-31355.314,34.065,41.543,WSPM.2(t)
0,13038.356,19976.522,3394.991,-44144.765,29.98,47.585,PM2.5.3(t)
0,16167.899,16400.107,4628.48,-51476.943,30.835,42.659,PM10.3(t)
0,2882.547,13274.383,806.084,-35735.475,42.142,30.343,SO2.3(t)
0,4981.652,11439.687,1322.455,-36958.176,26.581,48.84,NO2.3(t)
0,103534.495,6053.232,27727.801,-45640.389,25.674,34.511,CO.3(t)
0,7688.061,4736.773,2015.941,-830.726,27.74,2.394,O3.3(t)
0,756.898,2076.56,205.425,-35564.636,19.655,35.042,TEMP.3(t)
0,536.049,14.917,151.304,-6965.593,5.979,21.791,PRES.3(t)
0,614.099,4366.485,126.358,-9972.811,41.833,23.71,DEWP.3(t)
0,19.245,inf,4.284,-5259751.871,100.0,192.45,RAIN.3(t)
0,351.43,inf,92.368,-66471.969,35.259,56.682,WSPM.3(t)
0,9957.839,15963.59,2513.77,-28749.261,33.091,41.319,PM2.5.4(t)
0,11460.192,6893.561,3331.795,-37915.11,31.146,45.477,PM10.4(t)
0,5410.791,32354.345,1408.023,-89098.714,44.245,49.189,SO2.4(t)
0,7290.455,3645.405,1849.994,-0.598,25.398,0.122,NO2.4(t)
0,76751.579,5075.575,19843.488,-24321.478,30.385,27.411,CO.4(t)
0,9483.761,13137.506,2302.057,-0.053,27.116,0.108,O3.4(t)
0,920.013,2637.492,224.062,-44457.174,20.615,42.397,TEMP.4(t)
0,517.29,14.12,142.983,-6456.21,5.74,20.858,PRES.4(t)
0,707.653,inf,157.842,-15733.628,47.955,30.371,DEWP.4(t)
0,22.892,inf,4.877,0.0,100.0,inf,RAIN.4(t)
0,293.007,inf,82.432,-60018.222,31.126,45.782,WSPM.4(t)
0,10254.281,18990.993,2836.998,-28572.447,34.729,46.19,PM2.5.5(t)
0,11934.406,9362.727,3062.701,-24880.839,34.259,41.012,PM10.5(t)
0,2374.594,13874.494,717.877,-25436.283,41.316,33.445,SO2.5(t)
0,4065.186,4640.173,1053.753,-19643.94,28.424,37.992,NO2.5(t)
0,90369.131,5453.632,23579.023,-38931.922,30.463,47.563,CO.5(t)
0,17878.064,4857.46,4904.825,-0.657,31.266,0.179,O3.5(t)
0,780.67,1957.35,194.048,-34183.124,19.598,36.651,TEMP.5(t)
0,525.03,14.365,145.148,-6609.905,5.752,21.343,PRES.5(t)
0,656.052,inf,164.826,-10971.085,52.525,26.887,DEWP.5(t)
0,26.202,inf,5.401,0.0,100.0,inf,RAIN.5(t)
0,208.621,inf,48.137,-35789.596,33.735,30.235,WSPM.5(t)
0,17589.515,41138.381,4478.986,-94852.795,33.959,71.213,PM2.5.6(t)
0,24709.908,30143.435,6397.22,-124094.117,35.656,79.709,PM10.6(t)
0,8627.876,48299.258,2306.585,-215250.867,40.084,90.82,SO2.6(t)
0,8726.91,21877.507,2312.017,-165774.101,31.718,96.966,NO2.6(t)
0,215698.165,19213.23,53659.636,-394936.24,33.17,134.811,CO.6(t)
0,12591.311,4604.482,2437.723,-1.089,27.326,0.121,O3.6(t)
0,923.472,3493.022,232.577,-47136.09,23.364,43.766,TEMP.6(t)
0,513.469,14.336,144.688,-6890.322,5.727,21.218,PRES.6(t)
0,647.907,10739.167,160.392,-11051.697,43.218,22.265,DEWP.6(t)
0,11.044,inf,2.74,-27061.251,99.964,13.805,RAIN.6(t)
0,347.001,3217.998,92.247,-41415.419,35.227,29.658,WSPM.6(t)
0,10401.574,18969.392,2878.707,-48277.967,27.62,46.229,PM2.5.7(t)
0,14299.365,11801.162,3938.342,-54127.769,31.299,52.379,PM10.7(t)
0,5560.035,29001.516,1519.263,-112713.299,41.241,56.162,SO2.7(t)
0,4269.87,4196.941,1095.547,-26397.721,22.276,38.467,NO2.7(t)
0,108911.316,6494.513,29269.88,-73755.967,27.396,60.506,CO.7(t)
0,8867.185,19389.83,2226.483,-1.537,27.18,0.134,O3.7(t)
0,756.898,2076.56,205.425,-35564.636,19.655,35.042,TEMP.7(t)
0,536.049,14.917,151.304,-6965.593,5.979,21.791,PRES.7(t)
0,614.099,4366.485,126.358,-9972.811,41.833,23.71,DEWP.7(t)
0,19.245,inf,4.284,-5259751.871,100.0,192.45,RAIN.7(t)
0,351.43,inf,92.368,-66471.969,35.259,56.682,WSPM.7(t)
0,13030.976,24657.796,3611.97,-60031.611,32.196,56.411,PM2.5.8(t)
0,17532.216,42815.368,4993.395,-93255.119,29.919,67.432,PM10.8(t)
0,3404.536,25026.16,928.428,-58354.503,40.386,54.04,SO2.8(t)
0,3750.081,4459.888,987.936,-29901.743,29.503,36.766,NO2.8(t)
0,128743.533,4054.571,33728.808,-146931.192,27.669,91.96,CO.8(t)
0,7743.141,5467.084,1948.4,-0.101,30.901,0.127,O3.8(t)
0,893.867,2241.941,216.463,-49594.866,21.046,41.575,TEMP.8(t)
0,515.176,14.158,143.711,-6591.439,5.745,20.773,PRES.8(t)
0,722.961,inf,159.935,-14956.591,48.361,29.751,DEWP.8(t)
0,15.949,inf,3.748,0.0,100.0,inf,RAIN.8(t)
0,385.296,inf,100.004,-78765.642,35.255,55.84,WSPM.8(t)
0,15436.057,28229.864,3812.961,-71731.899,30.802,59.369,PM2.5.9(t)
0,14249.308,7886.357,3865.776,-64636.515,28.796,51.442,PM10.9(t)
0,5551.595,35427.967,1517.051,-118458.931,43.513,55.516,SO2.9(t)
0,2686.797,2817.79,727.587,-19287.346,28.593,31.609,NO2.9(t)
0,94744.014,4609.538,24475.764,-42550.111,28.542,29.617,CO.9(t)
0,11085.634,21222.199,2816.765,-0.798,29.59,0.134,O3.9(t)
0,756.898,2076.56,205.425,-35564.636,19.655,35.042,TEMP.9(t)
0,536.049,14.917,151.304,-6965.593,5.979,21.791,PRES.9(t)
0,614.099,4366.485,126.358,-9972.811,41.833,23.71,DEWP.9(t)
0,19.245,inf,4.284,-5259751.871,100.0,192.45,RAIN.9(t)
0,351.43,inf,92.368,-66471.969,35.259,56.682,WSPM.9(t)
0,8794.737,14896.476,2476.656,-17295.581,32.997,32.334,PM2.5.10(t)
