variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),24.812,15.349,40.272,0.761,15.349,0.761
PM10(t),32.242,20.927,36.906,0.711,20.927,0.711
SO2(t),7.256,4.536,39.303,0.602,4.536,0.602
NO2(t),14.033,9.997,29.522,0.722,9.997,0.722
CO(t),446.642,279.719,29.644,0.677,279.719,0.677
O3(t),287.588,44.28,104.192,0.669,44.28,0.669
TEMP(t),196.386,123.897,inf,-202.65,123.897,-202.65
PRES(t),2829.934,238.505,0.137,0.816,238.505,0.816
DEWP(t),2.296,1.663,inf,0.762,1.663,0.762
RAIN(t),0.346,0.132,,-2.888,0.132,-2.888
WSPM(t),0.779,0.582,inf,0.449,0.582,0.449
PM2.5.1(t),21.956,14.123,40.934,0.788,14.123,0.788
PM10.1(t),28.265,18.873,39.062,0.697,18.873,0.697
SO2.1(t),6.785,4.355,56.772,0.423,4.355,0.423
NO2.1(t),13.893,9.949,36.191,0.571,9.949,0.571
CO.1(t),429.887,269.742,35.428,0.613,269.742,0.613
O3.1(t),278.846,47.238,82.441,0.664,47.238,0.664
TEMP.1(t),150.997,85.806,inf,-13.829,85.806,-13.829
PRES.1(t),1.668,1.201,0.118,0.811,1.201,0.811
DEWP.1(t),2.142,1.554,inf,0.785,1.554,0.785
RAIN.1(t),0.416,0.135,,-0.391,0.135,-0.391
WSPM.1(t),0.859,0.628,inf,0.397,0.628,0.397
PM2.5.2(t),20.706,13.209,50.916,0.811,13.209,0.811
PM10.2(t),25.753,17.507,53.887,0.718,17.507,0.718
SO2.2(t),5.208,3.215,39.915,0.564,3.215,0.564
NO2.2(t),9.201,6.171,49.495,0.589,6.171,0.589
CO.2(t),315.917,192.379,28.954,0.715,192.379,0.715
O3.2(t),315.002,47.055,50.977,0.665,47.055,0.665
TEMP.2(t),149.506,86.239,inf,-10.504,86.239,-10.504
PRES.2(t),3983.271,473.738,0.166,0.777,473.738,0.777
DEWP.2(t),2.14,1.551,inf,0.786,1.551,0.786
RAIN.2(t),0.419,0.134,,-0.586,0.134,-0.586
WSPM.2(t),0.862,0.63,inf,0.393,0.63,0.393
PM2.5.3(t),25.249,15.649,45.878,0.782,15.649,0.782
PM10.3(t),33.321,21.585,41.772,0.734,21.585,0.734
