variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),22.181,12.878,29.631,0.862,10.972,0.077,12.173,5.349,14.425,0.092,3.351,0.015
PM10(t),36.751,22.238,36.959,0.75,13.257,0.096,15.859,7.321,14.034,0.142,2.836,0.02
SO2(t),36.701,17.907,277.399,-106.477,12.327,0.469,171.427,80.385,1372.82,587.515,7.577,2.113
NO2(t),13.341,8.994,23.326,0.794,9.1,0.094,3.888,2.173,10.112,0.077,2.049,0.014
CO(t),378.787,234.026,24.42,0.779,9.803,0.094,212.212,127.148,13.364,0.136,2.539,0.02
O3(t),953.86,264.048,426.027,-53.669,20.966,0.486,3491.053,1042.574,1848.658,295.226,9.026,1.964
TEMP(t),185.931,131.311,inf,-29184.39,18.493,6.674,756.737,626.502,,159001.263,25.108,32.192
PRES(t),1.055,0.726,0.071,0.928,0.036,0.054,0.633,0.441,0.043,0.083,0.022,0.025
DEWP(t),1.789,1.196,inf,0.855,10.426,0.081,0.858,0.611,,0.105,7.337,0.024
RAIN(t),0.506,0.113,,-0.16,,,0.603,0.125,,1.21,,
WSPM(t),0.759,0.564,inf,0.483,20.416,0.137,0.169,0.124,,0.11,7.335,0.016
