variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),26.024,15.22,32.938,0.839,15.22,0.839
PM10(t),42.357,26.147,40.955,0.719,26.147,0.719
SO2(t),6.057,3.636,32.704,0.698,3.636,0.698
NO2(t),14.753,10.261,24.165,0.761,10.261,0.761
CO(t),367.856,233.34,24.735,0.753,233.34,0.753
O3(t),347.72,59.73,112.444,0.745,59.73,0.745
TEMP(t),506.86,274.455,inf,-27597.072,274.455,-27597.072
PRES(t),881.229,186.98,18.374,-299984.173,186.98,-299984.173
DEWP(t),2.415,1.664,inf,0.762,1.664,0.762
RAIN(t),0.517,0.178,,-81.851,0.178,-81.851
WSPM(t),0.736,0.553,inf,0.442,0.553,0.442
PM2.5.1(t),23.92,14.621,39.456,0.822,14.621,0.822
PM10.1(t),36.824,22.488,39.629,0.736,22.488,0.736
SO2.1(t),5.941,3.697,47.743,0.529,3.697,0.529
NO2.1(t),13.735,9.742,33.579,0.583,9.742,0.583
CO.1(t),407.179,256.607,30.932,0.652,256.607,0.652
O3.1(t),379.475,79.173,72.959,0.753,79.173,0.753
TEMP.1(t),373.665,179.778,inf,-11673.211,179.778,-11673.211
PRES.1(t),1.734,1.193,0.118,0.759,1.193,0.759
DEWP.1(t),2.392,1.641,inf,0.781,1.641,0.781
RAIN.1(t),0.495,0.16,,-16.435,0.16,-16.435
WSPM.1(t),0.824,0.601,inf,0.419,0.601,0.419
PM2.5.2(t),23.361,13.839,45.584,0.845,13.839,0.845
PM10.2(t),34.604,20.61,50.292,0.742,20.61,0.742
SO2.2(t),4.627,2.715,37.816,0.65,2.715,0.65
NO2.2(t),9.534,6.171,45.576,0.693,6.171,0.693
CO.2(t),294.682,186.18,29.987,0.749,186.18,0.749
O3.2(t),486.184,105.101,44.094,0.788,105.101,0.788
TEMP.2(t),357.369,165.534,inf,-8384.638,165.534,-8384.638
PRES.2(t),1828.338,1040.272,103.542,-1277433.418,1040.272,-1277433.418
DEWP.2(t),2.397,1.65,inf,0.78,1.65,0.78
RAIN.2(t),0.49,0.162,,-12.815,0.162,-12.815
WSPM.2(t),0.825,0.603,inf,0.418,0.603,0.418
PM2.5.3(t),27.363,16.325,42.052,0.838,16.325,0.838
PM10.3(t),41.768,25.216,42.577,0.745,25.216,0.745
SO2.3(t),6.34,3.689,32.132,0.71,3.689,0.71
NO2.3(t),13.059,9.047,23.459,0.782,9.047,0.782
CO.3(t),373.45,239.619,23.856,0.757,239.619,0.757
O3.3(t),105.584,22.695,70.797,0.713,22.695,0.713
TEMP.3(t),499.444,268.457,inf,-25518.737,268.457,-25518.737
PRES.3(t),841.865,169.656,16.675,-273744.637,169.656,-273744.637
DEWP.3(t),2.355,1.617,inf,0.784,1.617,0.784
RAIN.3(t),0.53,0.166,inf,-444.01,0.166,-444.01
WSPM.3(t),0.784,0.576,inf,0.432,0.576,0.432
PM2.5.4(t),25.721,15.173,31.635,0.835,15.173,0.835
PM10.4(t),37.828,23.015,33.268,0.752,23.015,0.752
SO2.4(t),7.065,3.956,41.579,0.648,3.956,0.648
NO2.4(t),330.849,48.924,23.137,0.754,48.924,0.754
CO.4(t),329.039,211.761,22.912,0.793,211.761,0.793
O3.4(t),282.613,43.404,105.656,0.753,43.404,0.753
TEMP.4(t),495.693,264.515,inf,-22616.782,264.515,-22616.782
PRES.4(t),974.898,194.88,19.149,-367272.073,194.88,-367272.073
DEWP.4(t),2.413,1.664,inf,0.762,1.664,0.762
RAIN.4(t),0.521,0.181,,-82.324,0.181,-82.324
WSPM.4(t),0.74,0.554,inf,0.439,0.554,0.439
PM2.5.5(t),28.635,16.633,36.344,0.804,16.633,0.804
PM10.5(t),44.31,29.214,47.73,0.689,29.214,0.689
SO2.5(t),6.56,3.71,35.066,0.148,3.71,0.148
NO2.5(t),15.372,10.613,31.935,0.723,10.613,0.723
CO.5(t),380.836,256.056,26.102,0.712,256.056,0.712
O3.5(t),490.586,94.81,81.159,0.719,94.81,0.719
TEMP.5(t),475.05,238.059,inf,-25883.309,238.059,-25883.309
PRES.5(t),1.729,1.183,0.117,0.779,1.183,0.779
DEWP.5(t),2.33,1.609,inf,0.78,1.609,0.78
RAIN.5(t),0.409,0.113,,-56.223,0.113,-56.223
WSPM.5(t),0.684,0.509,inf,0.453,0.509,0.453
