variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),26.152,15.36,32.77,0.838,11.702,0.092
PM10(t),42.522,26.148,40.728,0.718,14.152,0.11
SO2(t),6.054,3.629,33.058,0.694,12.663,0.104
NO2(t),14.744,10.222,24.323,0.761,9.889,0.106
CO(t),368.969,234.396,25.072,0.751,9.975,0.103
O3(t),347.689,59.691,111.872,0.746,20.605,0.12
TEMP(t),501.498,268.998,inf,-25474.94,23.048,8.383
PRES(t),730.904,145.728,14.329,-206212.718,0.207,21.163
DEWP(t),2.416,1.67,inf,0.759,14.021,0.112
RAIN(t),0.522,0.183,,-77.648,,
WSPM(t),0.74,0.554,inf,0.438,21.104,0.139
PM2.5.1(t),23.732,14.508,39.199,0.824,13.306,0.093
PM10.1(t),36.831,22.522,39.821,0.738,14.0,0.105
SO2.1(t),5.967,3.693,47.875,0.522,16.171,0.126
NO2.1(t),13.759,9.754,33.816,0.579,12.661,0.127
CO.1(t),399.555,251.341,29.817,0.673,11.139,0.112
O3.1(t),379.529,79.231,73.025,0.753,18.1,0.113
TEMP.1(t),367.504,177.727,inf,-11424.544,22.607,5.808
PRES.1(t),1.718,1.183,0.117,0.765,0.058,0.092
DEWP.1(t),2.397,1.65,inf,0.781,14.489,0.11
RAIN.1(t),0.488,0.16,,-14.41,,
WSPM.1(t),0.826,0.603,inf,0.414,17.838,0.14
PM2.5.2(t),23.445,13.972,45.834,0.844,14.039,0.094
PM10.2(t),34.443,20.555,50.416,0.743,15.321,0.107
SO2.2(t),4.613,2.714,38.046,0.649,13.802,0.106
NO2.2(t),9.578,6.191,45.84,0.691,15.139,0.111
CO.2(t),293.219,185.626,29.961,0.746,11.01,0.105
O3.2(t),486.39,105.309,45.861,0.783,13.315,0.103
TEMP.2(t),359.336,169.073,inf,-9177.247,22.372,5.309
PRES.2(t),2350.34,1315.903,130.986,-2111840.727,1.899,68.168
DEWP.2(t),2.382,1.639,inf,0.784,14.326,0.109
RAIN.2(t),0.49,0.158,,-20.755,,
WSPM.2(t),0.822,0.6,inf,0.421,17.772,0.14
PM2.5.3(t),26.954,16.058,41.654,0.842,12.804,0.095
PM10.3(t),41.604,25.103,42.748,0.746,13.863,0.104
SO2.3(t),6.316,3.67,32.28,0.712,12.188,0.106
NO2.3(t),13.2,9.153,23.572,0.776,9.769,0.102
CO.3(t),374.604,240.209,23.809,0.757,9.66,0.106
O3.3(t),105.427,22.596,68.918,0.722,17.761,0.12
TEMP.3(t),498.272,267.247,inf,-23400.663,23.499,8.161
PRES.3(t),843.926,171.807,16.885,-275079.852,0.217,24.431
DEWP.3(t),2.36,1.622,inf,0.782,14.297,0.108
RAIN.3(t),0.535,0.176,inf,-380.422,98.021,
WSPM.3(t),0.783,0.576,inf,0.435,18.301,0.128
PM2.5.4(t),25.922,15.295,31.577,0.833,11.394,0.094
PM10.4(t),37.664,22.93,33.43,0.753,12.519,0.104
SO2.4(t),7.135,3.965,42.083,0.63,14.24,0.109
NO2.4(t),330.874,48.938,23.453,0.755,9.492,0.1
CO.4(t),330.156,212.314,22.97,0.792,9.452,0.101
O3.4(t),282.709,43.52,109.492,0.751,20.29,0.117
TEMP.4(t),489.248,258.741,inf,-19725.819,22.966,7.605
PRES.4(t),1038.928,205.689,20.216,-417186.646,0.221,30.066
DEWP.4(t),2.412,1.657,inf,0.762,13.805,0.112
RAIN.4(t),0.516,0.171,,-84.417,,
WSPM.4(t),0.739,0.553,inf,0.437,21.045,0.139
PM2.5.5(t),28.552,16.66,36.41,0.804,12.438,0.098
PM10.5(t),44.39,29.244,46.926,0.691,14.973,0.114
SO2.5(t),6.561,3.719,35.255,0.109,13.381,0.125
NO2.5(t),15.321,10.577,31.563,0.725,11.688,0.11
CO.5(t),381.168,257.44,26.281,0.713,10.56,0.119
O3.5(t),490.456,94.695,78.168,0.723,18.873,0.116
TEMP.5(t),491.143,247.979,inf,-32737.895,22.539,9.032
PRES.5(t),1.717,1.173,0.116,0.781,0.058,0.091
DEWP.5(t),2.317,1.61,inf,0.782,14.334,0.107
RAIN.5(t),0.418,0.117,,-68.448,,
WSPM.5(t),0.687,0.51,inf,0.449,24.623,0.148
