variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),26.219,15.34,32.526,0.838,11.667,0.092,16.558,7.789,15.498,0.108,3.078,0.027
PM10(t),42.328,26.075,40.457,0.72,14.089,0.11,26.877,14.89,23.742,0.197,4.359,0.035
SO2(t),6.043,3.633,32.883,0.698,12.674,0.104,4.821,2.566,17.083,0.159,4.303,0.023
NO2(t),14.711,10.235,24.537,0.762,9.914,0.106,5.658,3.52,11.716,0.104,2.431,0.024
CO(t),369.661,234.666,24.989,0.751,9.942,0.103,180.696,112.989,14.959,0.116,2.898,0.024
O3(t),347.689,59.745,112.52,0.746,20.65,0.12,1803.304,257.405,100.248,0.194,8.192,0.035
TEMP(t),495.506,264.772,inf,-22457.219,23.168,8.014,1700.751,790.109,,115767.049,29.287,34.684
PRES(t),817.061,166.86,16.399,-257806.193,0.221,23.654,4466.061,907.684,89.205,1412067.068,0.904,129.07
DEWP(t),2.413,1.664,inf,0.761,13.801,0.112,2.478,1.81,,0.297,12.64,0.065
RAIN(t),0.518,0.176,,-78.691,,,0.832,0.32,,377.929,,
WSPM(t),0.738,0.554,inf,0.44,21.102,0.138,0.151,0.113,,0.142,8.119,0.022
PM2.5.1(t),23.664,14.481,39.358,0.827,13.303,0.093,13.591,7.514,16.865,0.121,3.498,0.025
PM10.1(t),36.834,22.52,39.692,0.737,13.977,0.105,24.882,11.187,15.497,0.17,2.781,0.025
SO2.1(t),5.981,3.706,47.157,0.527,16.136,0.125,3.628,2.471,24.68,0.302,5.21,0.032
NO2.1(t),13.753,9.775,33.792,0.582,12.678,0.127,3.481,2.361,16.899,0.209,3.881,0.025
CO.1(t),395.577,249.806,29.733,0.676,11.132,0.112,246.701,148.022,19.024,0.224,3.331,0.026
O3.1(t),379.397,79.106,73.48,0.755,18.085,0.112,1985.347,368.187,42.717,0.178,6.672,0.027
TEMP.1(t),370.398,177.02,inf,-11508.756,22.413,5.874,1167.696,484.585,,55879.956,29.034,23.898
PRES.1(t),1.734,1.197,0.118,0.763,0.059,0.093,1.574,1.124,0.11,0.405,0.055,0.067
DEWP.1(t),2.386,1.643,inf,0.783,14.234,0.109,2.545,1.9,,0.285,13.823,0.065
RAIN.1(t),0.492,0.158,,-20.323,,,0.765,0.236,,100.364,,
WSPM.1(t),0.824,0.604,inf,0.419,17.847,0.14,0.218,0.156,,0.153,3.508,0.02
PM2.5.2(t),23.568,14.003,46.006,0.844,14.021,0.094,13.759,7.797,21.639,0.091,3.91,0.027
PM10.2(t),34.243,20.499,50.44,0.747,15.309,0.106,22.875,10.065,24.703,0.162,4.468,0.025
SO2.2(t),4.637,2.728,37.748,0.651,13.805,0.106,2.853,1.659,25.212,0.2,5.349,0.027
NO2.2(t),9.594,6.246,45.902,0.688,15.205,0.111,4.736,2.741,25.67,0.183,4.039,0.023
CO.2(t),293.344,186.619,29.932,0.749,11.101,0.105,162.255,105.875,20.906,0.159,4.673,0.031
O3.2(t),486.238,105.184,45.683,0.788,13.318,0.102,2572.733,512.901,33.802,0.179,5.612,0.026
TEMP.2(t),367.231,174.813,inf,-10624.255,22.426,5.666,1163.165,478.21,,51386.693,28.788,22.966
PRES.2(t),2007.53,1215.768,120.894,-1540340.325,2.083,58.232,10986.35,6652.563,661.522,8436795.553,11.086,318.437
DEWP.2(t),2.391,1.645,inf,0.782,14.252,0.11,2.544,1.895,,0.284,13.771,0.065
RAIN.2(t),0.517,0.167,,-18.505,,,0.86,0.267,,90.805,,
WSPM.2(t),0.824,0.602,inf,0.419,17.803,0.14,0.218,0.155,,0.156,3.57,0.02
PM2.5.3(t),27.088,16.11,41.767,0.841,12.84,0.095,15.858,7.252,26.808,0.104,4.002,0.03
PM10.3(t),41.803,25.164,42.501,0.743,13.886,0.104,23.957,12.061,24.211,0.174,4.315,0.032
SO2.3(t),6.331,3.688,32.166,0.712,12.197,0.106,4.181,2.177,15.32,0.173,3.53,0.029
NO2.3(t),13.114,9.079,23.342,0.779,9.719,0.102,5.941,3.732,9.699,0.121,2.432,0.025
CO.3(t),376.552,241.279,23.898,0.753,9.687,0.106,176.69,104.958,14.293,0.109,3.107,0.028
O3.3(t),105.46,22.635,69.856,0.727,17.812,0.12,444.095,48.033,45.332,0.247,6.417,0.052
