variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),25.358,15.627,40.874,0.75,13.783,0.109
PM10(t),31.921,20.726,36.554,0.721,13.579,0.113
SO2(t),7.196,4.515,39.586,0.606,14.899,0.124
NO2(t),14.059,9.985,29.562,0.721,10.798,0.118
CO(t),450.311,281.651,29.419,0.675,11.437,0.123
O3(t),287.854,44.422,106.933,0.636,20.721,0.137
TEMP(t),192.547,123.079,inf,-105.127,22.226,0.788
PRES(t),2829.94,238.507,0.137,0.814,0.08,0.083
DEWP(t),2.299,1.663,inf,0.757,13.405,0.114
RAIN(t),0.35,0.135,,-2.657,,
WSPM(t),0.784,0.585,inf,0.441,20.149,0.151
PM2.5.1(t),21.744,14.026,40.533,0.793,14.162,0.109
PM10.1(t),28.055,18.734,38.94,0.699,14.076,0.113
SO2.1(t),6.77,4.347,55.709,0.469,18.343,0.133
NO2.1(t),13.748,9.842,36.269,0.582,13.462,0.137
CO.1(t),429.402,269.17,35.284,0.612,12.288,0.13
O3.1(t),278.717,47.172,83.221,0.662,18.76,0.132
TEMP.1(t),150.445,84.335,inf,-13.241,21.073,0.287
PRES.1(t),1.672,1.2,0.118,0.811,0.059,0.089
DEWP.1(t),2.161,1.567,inf,0.783,12.611,0.109
RAIN.1(t),0.412,0.134,,-0.446,,
WSPM.1(t),0.857,0.628,inf,0.4,17.922,0.154
PM2.5.2(t),20.572,13.213,51.485,0.812,15.645,0.111
PM10.2(t),25.814,17.507,53.404,0.717,16.466,0.117
SO2.2(t),5.204,3.225,40.849,0.561,15.141,0.127
NO2.2(t),9.196,6.161,49.902,0.564,16.313,0.131
CO.2(t),314.637,191.542,28.854,0.719,11.052,0.117
O3.2(t),315.013,47.101,52.8,0.662,14.413,0.12
TEMP.2(t),146.713,82.884,inf,-1.967,20.805,0.191
PRES.2(t),3983.259,473.725,0.165,0.781,0.106,0.09
DEWP.2(t),2.127,1.542,inf,0.789,12.473,0.107
RAIN.2(t),0.415,0.135,,-0.485,,
WSPM.2(t),0.861,0.629,inf,0.396,17.978,0.154
PM2.5.3(t),25.056,15.541,45.379,0.792,13.468,0.103
PM10.3(t),33.029,21.481,41.239,0.741,13.608,0.108
SO2.3(t),6.257,3.895,38.741,0.721,14.261,0.106
NO2.3(t),12.339,8.709,24.826,0.733,10.15,0.113
CO.3(t),465.977,286.743,30.721,0.689,11.222,0.118
O3.3(t),25.839,13.132,96.237,0.589,18.787,0.143
TEMP.3(t),202.417,129.258,inf,-278.049,21.703,1.127
PRES.3(t),2829.886,238.46,0.132,0.815,0.078,0.081
DEWP.3(t),2.254,1.642,inf,0.784,13.569,0.109
RAIN.3(t),0.35,0.126,,-3.309,,
WSPM.3(t),0.83,0.613,inf,0.438,17.744,0.147
PM2.5.4(t),23.308,14.544,38.336,0.796,12.857,0.104
PM10.4(t),29.224,19.384,35.624,0.756,12.923,0.109
SO2.4(t),7.638,4.745,46.576,0.472,15.97,0.14
NO2.4(t),204.764,31.032,23.488,0.722,9.64,0.111
CO.4(t),429.009,263.893,31.499,0.693,11.12,0.119
O3.4(t),328.005,55.096,142.912,0.635,22.94,0.137
TEMP.4(t),198.253,129.216,inf,-97.727,22.2,0.749
PRES.4(t),2829.932,238.498,0.136,0.816,0.08,0.083
DEWP.4(t),2.298,1.665,inf,0.759,13.42,0.114
RAIN.4(t),0.349,0.13,,-1.782,,
WSPM.4(t),0.779,0.581,inf,0.448,20.053,0.15
PM2.5.5(t),24.061,15.765,41.27,0.812,13.605,0.104
PM10.5(t),37.17,26.666,51.654,0.687,16.404,0.123
SO2.5(t),7.583,4.424,34.875,0.068,13.999,0.143
NO2.5(t),14.747,10.43,35.288,0.675,12.607,0.128
CO.5(t),425.364,269.702,29.783,0.657,11.249,0.125
O3.5(t),485.692,90.969,85.194,0.662,19.446,0.136
TEMP.5(t),135.233,85.193,inf,-3.39,22.093,0.248
PRES.5(t),1.583,1.125,0.111,0.842,0.056,0.082
