variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),24.852,15.329,40.41,0.763,13.652,0.107,13.439,8.479,17.078,0.243,3.978,0.037
PM10(t),32.202,20.877,36.621,0.715,13.588,0.114,12.188,7.239,14.966,0.172,3.995,0.027
SO2(t),7.252,4.56,39.651,0.61,14.953,0.123,8.779,5.303,18.44,0.315,4.964,0.041
NO2(t),14.117,10.051,29.747,0.721,10.869,0.118,3.623,2.593,13.207,0.164,2.432,0.025
CO(t),448.626,281.417,29.728,0.677,11.495,0.123,382.446,207.282,18.455,0.193,3.353,0.039
O3(t),287.634,44.294,103.871,0.663,20.774,0.134,1475.53,173.422,90.699,0.373,9.309,0.061
TEMP(t),200.291,126.23,inf,-213.392,22.179,1.054,697.294,450.806,,921.403,25.468,3.76
PRES(t),2829.942,238.509,0.137,0.814,0.08,0.083,15491.243,1299.903,0.166,0.255,0.136,0.054
DEWP(t),2.288,1.659,inf,0.764,13.257,0.113,2.289,1.915,,0.235,15.831,0.058
RAIN(t),0.343,0.133,,-3.397,,,0.645,0.293,,17.709,,
WSPM(t),0.781,0.584,inf,0.444,20.127,0.15,0.171,0.123,,0.16,6.182,0.021
PM2.5.1(t),22.057,14.215,41.176,0.786,14.313,0.111,12.16,8.31,14.909,0.123,3.576,0.031
PM10.1(t),28.34,18.896,38.999,0.697,14.082,0.113,8.814,5.255,13.415,0.177,3.175,0.03
SO2.1(t),6.735,4.315,56.251,0.471,18.353,0.133,6.95,4.4,32.111,0.438,6.062,0.032
NO2.1(t),13.805,9.886,36.267,0.576,13.489,0.137,3.39,2.454,18.816,0.212,4.382,0.026
CO.1(t),429.859,270.65,35.267,0.611,12.283,0.13,295.909,168.538,26.293,0.224,3.885,0.037
O3.1(t),278.799,47.245,82.999,0.66,18.75,0.132,1430.637,188.585,56.453,0.228,7.378,0.039
TEMP.1(t),152.453,85.865,inf,-19.152,20.931,0.306,562.779,317.994,,108.397,23.919,1.0
PRES.1(t),1.672,1.204,0.119,0.811,0.059,0.089,1.512,1.238,0.121,0.286,0.061,0.06
DEWP.1(t),2.14,1.549,inf,0.787,12.538,0.107,2.007,1.651,,0.211,14.98,0.051
RAIN.1(t),0.421,0.137,,-0.407,,,1.038,0.323,,2.295,,
WSPM.1(t),0.858,0.627,inf,0.402,17.881,0.154,0.22,0.152,,0.19,3.713,0.025
PM2.5.2(t),20.593,13.19,50.785,0.812,15.55,0.111,13.017,9.066,20.047,0.118,3.831,0.033
PM10.2(t),25.88,17.52,53.145,0.717,16.41,0.118,9.756,6.454,26.538,0.192,5.173,0.03
SO2.2(t),5.202,3.223,39.919,0.565,14.965,0.126,4.899,3.02,22.046,0.366,5.335,0.034
NO2.2(t),9.233,6.203,49.96,0.579,16.34,0.131,3.855,2.732,18.767,0.66,3.89,0.06
CO.2(t),314.71,190.992,28.843,0.717,11.032,0.117,220.535,126.507,17.436,0.193,3.296,0.034
O3.2(t),314.945,47.006,53.068,0.661,14.392,0.12,1620.39,189.857,62.582,0.265,9.276,0.041
TEMP.2(t),151.393,82.37,inf,-7.452,21.421,0.265,562.458,305.075,,41.736,24.287,0.63
