variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),25.079,16.073,50.293,0.769,14.67,0.09,16.684,8.349,70.241,0.428,7.564,0.047
PM10(t),39.697,25.331,51.012,0.694,15.176,0.104,19.956,10.884,40.835,0.337,4.642,0.043
SO2(t),25.131,13.915,171.437,-41.87,15.593,0.326,107.805,57.198,758.239,233.649,13.869,1.327
NO2(t),13.63,9.459,25.615,0.786,9.984,0.097,4.097,2.392,13.097,0.077,2.945,0.019
CO(t),385.7,254.974,28.346,0.779,11.172,0.094,229.774,148.447,17.56,0.155,3.55,0.018
O3(t),925.941,260.751,148.85,0.73,25.635,0.111,3494.99,1047.797,188.173,0.345,12.265,0.056
TEMP(t),94.201,59.739,inf,-3746.916,20.068,2.676,317.876,228.883,,19992.344,27.673,11.54
PRES(t),25.457,16.928,1.657,-319.103,0.996,0.912,132.011,87.703,8.582,1752.577,5.209,4.612
DEWP(t),1.884,1.302,inf,0.832,11.418,0.085,1.124,0.719,,0.207,8.724,0.033
RAIN(t),0.467,0.093,inf,-0.595,98.213,,0.592,0.102,,3.763,2.005,
WSPM(t),0.756,0.564,inf,0.49,20.618,0.136,0.186,0.13,,0.116,7.457,0.018
