variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),32.824,21.667,45.854,0.708,17.539,0.12,18.093,11.045,25.049,0.239,6.944,0.047
PM10(t),47.622,31.661,47.972,0.638,17.852,0.126,25.645,14.607,24.013,0.232,5.295,0.038
SO2(t),7.801,5.311,59.264,0.36,20.787,0.143,6.232,3.784,28.676,0.583,7.061,0.05
NO2(t),18.23,13.463,33.244,0.614,13.094,0.134,6.518,4.529,19.76,0.231,4.152,0.04
CO(t),473.993,324.567,33.26,0.558,13.91,0.133,250.167,169.612,15.392,0.393,3.631,0.048
O3(t),352.339,63.996,204.517,0.614,27.866,0.147,1802.113,257.836,245.395,0.334,12.187,0.059
TEMP(t),392.109,171.926,inf,-564.179,24.295,1.465,1638.224,644.266,,2734.081,28.886,5.5
PRES(t),110.134,80.823,7.944,-4515.104,1.876,3.236,590.702,433.519,42.606,24733.872,9.824,17.063
DEWP(t),2.84,2.158,inf,0.624,17.886,0.137,2.473,1.867,,0.392,16.645,0.072
RAIN(t),0.425,0.096,inf,-1.294,98.32,,0.775,0.125,,4.952,2.817,
WSPM(t),0.776,0.591,inf,0.352,22.831,0.147,0.147,0.113,,0.285,9.647,0.033
PM2.5.1(t),29.572,19.92,49.327,0.72,18.992,0.118,15.685,10.057,22.394,0.205,6.333,0.036
PM10.1(t),42.351,27.693,49.483,0.64,17.586,0.123,24.788,12.571,16.562,0.21,3.816,0.028
SO2.1(t),7.229,4.71,60.347,0.394,21.023,0.144,5.74,3.883,38.864,0.376,7.085,0.044
NO2.1(t),16.509,12.358,43.047,0.422,15.97,0.152,4.831,3.766,26.028,0.302,5.029,0.037
CO.1(t),477.045,324.275,36.574,0.486,15.43,0.139,291.623,184.619,16.967,0.437,5.877,0.044
O3.1(t),383.734,83.463,98.587,0.614,23.909,0.144,1982.91,368.51,62.482,0.217,9.907,0.046
TEMP.1(t),287.533,106.349,inf,-799.065,23.628,1.437,1107.355,350.346,,4301.585,28.476,6.254
PRES.1(t),2.28,1.686,0.167,0.647,0.084,0.121,1.873,1.401,0.137,0.508,0.069,0.077
DEWP.1(t),3.002,2.275,inf,0.632,19.307,0.142,2.536,1.969,,0.332,18.193,0.067
RAIN.1(t),0.347,0.095,inf,-1.143,98.472,,0.522,0.113,,5.188,3.205,
WSPM.1(t),0.863,0.632,inf,0.367,18.769,0.145,0.246,0.173,,0.191,4.184,0.019
PM2.5.2(t),29.769,20.179,65.873,0.707,22.802,0.124,14.126,9.189,27.966,0.218,10.767,0.036
PM10.2(t),40.528,26.431,61.577,0.623,19.932,0.129,24.417,12.021,28.856,0.246,5.057,0.033
SO2.2(t),6.161,4.159,66.287,0.426,23.495,0.138,4.303,2.807,36.872,0.31,9.993,0.036
NO2.2(t),12.701,9.11,78.044,0.47,21.9,0.148,5.537,3.81,46.03,0.286,6.092,0.032
CO.2(t),394.566,273.036,45.71,0.516,17.036,0.142,222.893,150.526,28.409,0.37,5.772,0.041
O3.2(t),492.388,110.943,88.591,0.603,19.948,0.141,2570.174,512.371,100.96,0.259,10.122,0.038
TEMP.2(t),288.295,109.357,inf,-802.292,23.744,1.498,1106.294,353.161,,4245.069,29.081,6.265
PRES.2(t),217.055,154.626,15.32,-17670.379,2.159,6.346,1176.345,837.698,83.001,96788.147,11.368,34.087
DEWP.2(t),3.079,2.357,inf,0.612,19.772,0.146,2.575,2.002,,0.351,18.41,0.069
RAIN.2(t),0.346,0.095,inf,-1.11,98.379,,0.518,0.113,,5.131,3.273,
WSPM.2(t),0.854,0.624,inf,0.387,18.495,0.144,0.25,0.177,,0.16,4.279,0.021
PM2.5.3(t),34.741,23.29,59.629,0.703,18.856,0.127,16.323,9.358,35.608,0.227,5.872,0.044
PM10.3(t),48.393,32.19,54.564,0.642,17.859,0.125,22.478,13.402,32.155,0.226,5.857,0.038
SO2.3(t),8.312,5.471,58.091,0.408,20.559,0.142,6.095,3.725,36.557,0.614,7.622,0.056
NO2.3(t),16.281,11.991,32.052,0.637,12.596,0.129,6.501,4.421,17.123,0.284,3.789,0.048
CO.3(t),483.246,337.521,34.876,0.537,13.65,0.14,229.845,161.788,27.611,0.406,5.048,0.05
O3.3(t),108.595,26.046,116.416,0.629,24.547,0.139,442.2,48.657,112.649,0.343,10.738,0.061
