variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),31.377,21.337,54.62,0.68,19.977,0.128
PM10(t),38.86,26.648,44.95,0.62,17.753,0.133
SO2(t),8.992,6.29,64.591,0.398,22.36,0.155
NO2(t),17.765,13.475,37.336,0.541,14.283,0.15
CO(t),533.639,360.335,34.844,0.54,14.715,0.148
O3(t),290.952,47.937,151.808,0.582,26.753,0.151
TEMP(t),187.516,107.534,inf,-10.633,25.71,0.346
PRES(t),2830.591,239.175,0.203,0.684,0.113,0.118
DEWP(t),2.859,2.232,inf,0.644,16.273,0.14
RAIN(t),0.271,0.093,inf,-2.065,98.523,
WSPM(t),0.806,0.604,inf,0.407,21.114,0.155
PM2.5.1(t),30.858,22.347,61.627,0.579,22.789,0.156
PM10.1(t),36.673,26.454,54.733,0.496,19.667,0.146
SO2.1(t),8.611,5.869,72.49,0.305,24.246,0.164
NO2.1(t),17.117,13.152,49.15,0.375,17.514,0.169
CO.1(t),533.413,368.83,46.352,0.356,17.263,0.166
O3.1(t),282.741,51.313,122.654,0.479,24.66,0.163
TEMP.1(t),151.528,94.577,inf,-5.514,26.238,0.279
PRES.1(t),2.289,1.811,0.179,0.683,0.089,0.124
DEWP.1(t),2.996,2.369,inf,0.577,16.314,0.154
RAIN.1(t),0.365,0.103,inf,-0.211,98.614,
WSPM.1(t),0.923,0.669,inf,0.334,18.808,0.164
PM2.5.2(t),28.411,20.491,84.933,0.601,25.935,0.161
PM10.2(t),34.223,24.84,72.262,0.492,23.005,0.158
SO2.2(t),7.343,5.161,67.116,0.121,25.073,0.176
NO2.2(t),13.488,10.144,87.899,0.213,25.843,0.187
CO.2(t),432.676,305.817,49.693,0.444,18.778,0.165
O3.2(t),321.573,53.845,106.948,0.296,20.948,0.172
TEMP.2(t),155.883,102.222,inf,-11.799,26.818,0.355
PRES.2(t),3983.812,474.306,0.222,0.666,0.135,0.121
DEWP.2(t),3.042,2.412,inf,0.551,17.098,0.159
RAIN.2(t),0.369,0.107,inf,-0.39,98.549,
WSPM.2(t),0.922,0.67,inf,0.33,18.997,0.164
PM2.5.3(t),31.673,21.8,61.692,0.695,20.308,0.128
PM10.3(t),41.184,28.333,50.462,0.62,18.102,0.13
SO2.3(t),8.797,6.23,67.636,0.477,23.087,0.143
NO2.3(t),16.164,12.056,32.974,0.435,13.327,0.15
CO.3(t),555.792,359.974,36.463,0.531,14.443,0.144
O3.3(t),28.671,16.446,121.425,0.581,24.719,0.153
TEMP.3(t),185.588,97.986,inf,-10.56,25.53,0.349
PRES.3(t),2830.493,239.054,0.191,0.704,0.107,0.114
DEWP.3(t),2.976,2.349,inf,0.64,16.159,0.143
RAIN.3(t),0.264,0.089,inf,-1.639,98.504,inf
WSPM.3(t),0.846,0.62,inf,0.413,17.958,0.149
PM2.5.4(t),29.967,20.903,55.684,0.681,19.875,0.133
PM10.4(t),36.09,25.486,44.48,0.646,17.538,0.131
SO2.4(t),9.427,6.483,75.869,-0.531,24.991,0.209
NO2.4(t),208.642,34.475,31.986,0.431,12.916,0.149
CO.4(t),511.672,339.74,38.897,0.545,15.039,0.145
O3.4(t),331.248,58.713,192.842,0.529,29.293,0.16
TEMP.4(t),186.214,99.667,inf,-8.713,25.763,0.334
PRES.4(t),2830.613,239.185,0.204,0.68,0.114,0.119
DEWP.4(t),2.848,2.228,inf,0.646,16.086,0.14
RAIN.4(t),0.266,0.09,inf,-1.192,98.552,
WSPM.4(t),0.805,0.605,inf,0.415,20.994,0.154
PM2.5.5(t),32.946,23.327,60.675,0.659,21.305,0.14
PM10.5(t),44.961,32.481,59.388,0.569,20.063,0.145
SO2.5(t),9.266,5.904,56.762,-1.186,22.369,0.193
NO2.5(t),18.57,14.142,48.495,0.51,16.746,0.161
CO.5(t),515.359,357.868,38.608,0.456,15.312,0.154
O3.5(t),489.026,94.938,118.693,0.547,25.589,0.159
TEMP.5(t),133.67,68.641,inf,-12.359,26.276,0.378
PRES.5(t),2.246,1.78,0.176,0.71,0.088,0.118
DEWP.5(t),2.975,2.365,inf,0.551,16.302,0.152
RAIN.5(t),0.244,0.101,inf,-0.834,98.636,inf
WSPM.5(t),0.774,0.566,inf,0.345,25.421,0.163
