variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),26.906,17.542,55.113,0.736,17.542,0.736
PM10(t),41.371,26.873,53.793,0.659,26.873,0.659
SO2(t),9.769,6.788,79.048,-1.242,6.788,-1.242
NO2(t),14.495,10.221,27.971,0.758,10.221,0.758
CO(t),414.068,279.761,31.227,0.741,279.761,0.741
O3(t),926.94,261.413,155.905,0.711,261.413,0.711
TEMP(t),95.569,59.335,inf,-4023.368,59.335,-4023.368
PRES(t),19.808,14.263,1.396,-186.485,14.263,-186.485
DEWP(t),2.084,1.458,inf,0.794,1.458,0.794
RAIN(t),0.472,0.098,inf,-0.837,0.098,-0.837
WSPM(t),0.776,0.578,inf,0.461,0.578,0.461
