variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),34.84,23.534,47.282,0.692,23.534,0.692
PM10(t),49.275,32.985,49.018,0.612,32.985,0.612
SO2(t),8.325,5.851,62.929,0.357,5.851,0.357
NO2(t),19.15,14.311,33.813,0.585,14.311,0.585
CO(t),513.821,351.339,34.539,0.484,351.339,0.484
O3(t),353.379,65.119,210.233,0.6,65.119,0.6
TEMP(t),399.185,175.238,inf,-947.896,175.238,-947.896
PRES(t),80.383,56.385,5.539,-2350.469,56.385,-2350.469
DEWP(t),3.194,2.473,inf,0.532,2.473,0.532
RAIN(t),0.428,0.093,inf,-0.589,0.093,-0.589
WSPM(t),0.79,0.604,inf,0.342,0.604,0.342
PM2.5.1(t),32.108,21.794,53.211,0.674,21.794,0.674
PM10.1(t),44.892,29.739,52.237,0.606,29.739,0.606
SO2.1(t),7.739,5.155,69.398,0.311,5.155,0.311
NO2.1(t),17.489,13.136,44.597,0.371,13.136,0.371
CO.1(t),488.367,336.28,37.779,0.483,336.28,0.483
O3.1(t),385.441,84.879,110.083,0.562,84.879,0.562
TEMP.1(t),288.55,108.738,inf,-851.885,108.738,-851.885
PRES.1(t),2.592,1.93,0.191,0.565,1.93,0.565
DEWP.1(t),3.427,2.668,inf,0.511,2.668,0.511
RAIN.1(t),0.35,0.095,inf,-0.797,0.095,-0.797
WSPM.1(t),0.879,0.641,inf,0.354,0.641,0.354
PM2.5.2(t),31.343,21.211,67.739,0.686,21.211,0.686
PM10.2(t),42.563,28.139,66.437,0.593,28.139,0.593
SO2.2(t),6.563,4.437,71.354,0.357,4.437,0.357
NO2.2(t),13.658,9.879,80.529,0.394,9.879,0.394
CO.2(t),412.265,287.54,47.369,0.475,287.54,0.475
O3.2(t),494.773,112.906,93.191,0.526,112.906,0.526
TEMP.2(t),293.985,113.051,inf,-1235.282,113.051,-1235.282
PRES.2(t),90.673,62.194,6.156,-2979.828,62.194,-2979.828
DEWP.2(t),3.389,2.648,inf,0.536,2.648,0.536
RAIN.2(t),0.345,0.092,inf,-0.536,0.092,-0.536
WSPM.2(t),0.878,0.64,inf,0.354,0.64,0.354
PM2.5.3(t),36.826,25.06,58.59,0.665,25.06,0.665
PM10.3(t),49.973,33.385,54.466,0.624,33.385,0.624
SO2.3(t),8.675,5.994,61.003,0.417,5.994,0.417
NO2.3(t),17.083,12.681,33.158,0.609,12.681,0.609
CO.3(t),514.664,360.937,36.482,0.481,360.937,0.481
O3.3(t),109.915,27.092,116.608,0.614,27.092,0.614
TEMP.3(t),397.677,174.894,inf,-862.785,174.894,-862.785
PRES.3(t),59.753,46.312,4.539,-1269.764,46.312,-1269.764
DEWP.3(t),3.257,2.547,inf,0.537,2.547,0.537
RAIN.3(t),0.45,0.096,inf,-1.324,0.096,-1.324
WSPM.3(t),0.832,0.62,inf,0.364,0.62,0.364
PM2.5.4(t),34.97,23.865,47.299,0.668,23.865,0.668
PM10.4(t),45.54,30.538,44.446,0.639,30.538,0.639
SO2.4(t),9.586,6.143,74.286,0.263,6.143,0.263
NO2.4(t),335.214,52.999,36.121,0.573,52.999,0.573
CO.4(t),466.552,329.948,34.191,0.533,329.948,0.533
O3.4(t),288.19,48.97,213.602,0.578,48.97,0.578
TEMP.4(t),395.04,172.858,inf,-570.629,172.858,-570.629
PRES.4(t),82.411,64.23,6.312,-2475.017,64.23,-2475.017
DEWP.4(t),3.181,2.457,inf,0.535,2.457,0.535
RAIN.4(t),0.428,0.094,inf,-0.67,0.094,-0.67
WSPM.4(t),0.786,0.602,inf,0.344,0.602,0.344
PM2.5.5(t),39.119,26.436,58.716,0.634,26.436,0.634
PM10.5(t),54.448,38.667,62.285,0.556,38.667,0.556
SO2.5(t),9.001,5.967,69.868,-0.188,5.967,-0.188
NO2.5(t),20.522,15.212,47.802,0.496,15.212,0.496
CO.5(t),538.987,386.295,39.256,0.391,386.295,0.391
O3.5(t),496.546,100.039,118.274,0.519,100.039,0.519
TEMP.5(t),341.502,145.258,inf,-488.509,145.258,-488.509
PRES.5(t),2.56,1.928,0.191,0.624,1.928,0.624
DEWP.5(t),3.252,2.529,inf,0.539,2.529,0.539
RAIN.5(t),0.413,0.111,inf,-2.428,0.111,-2.428
WSPM.5(t),0.73,0.544,inf,0.384,0.544,0.384
