variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),31.181,21.498,52.678,0.683,20.176,0.128,20.695,13.012,22.756,0.189,5.551,0.044
PM10(t),39.983,27.738,46.925,0.585,18.532,0.138,20.543,12.46,18.134,0.245,5.449,0.037
SO2(t),9.366,6.586,64.227,0.338,23.261,0.159,10.785,7.197,32.225,0.512,7.85,0.047
NO2(t),19.146,14.767,40.487,0.447,15.341,0.162,5.756,4.759,15.901,0.531,3.571,0.051
CO(t),565.452,380.452,36.8,0.488,15.641,0.157,454.93,273.873,16.875,0.328,4.63,0.053
O3(t),292.177,48.916,147.707,0.523,27.205,0.161,1474.371,173.041,134.107,0.386,11.257,0.061
TEMP(t),186.612,103.028,inf,-4.661,26.124,0.291,695.726,380.203,,20.112,28.412,0.528
PRES(t),2830.893,239.423,0.227,0.603,0.125,0.134,15491.036,1299.911,0.21,0.414,0.151,0.073
DEWP(t),3.116,2.493,inf,0.568,17.807,0.155,3.123,2.745,,0.417,17.103,0.077
RAIN(t),0.263,0.083,inf,-1.3,98.7,,0.566,0.127,,5.79,1.772,
WSPM(t),0.822,0.618,inf,0.389,21.371,0.157,0.196,0.14,,0.168,6.807,0.02
PM2.5.1(t),31.514,22.853,64.522,0.526,23.92,0.164,16.467,12.088,29.464,0.305,7.69,0.058
PM10.1(t),37.589,27.833,58.334,0.441,20.358,0.151,13.494,9.724,27.761,0.467,5.072,0.057
SO2.1(t),9.125,6.261,77.52,0.24,24.59,0.173,10.154,7.264,71.069,0.349,9.57,0.056
NO2.1(t),17.865,13.74,51.842,0.33,18.224,0.176,4.778,3.901,27.674,0.267,4.982,0.028
CO.1(t),558.528,388.54,48.155,0.297,18.209,0.175,358.236,228.217,23.687,0.444,5.581,0.048
O3.1(t),283.858,52.333,132.224,0.409,25.94,0.174,1429.078,188.246,108.647,0.464,12.128,0.059
TEMP.1(t),146.276,88.327,inf,-15.049,27.401,0.38,533.27,320.595,,72.555,29.659,0.879
PRES.1(t),2.519,1.998,0.197,0.619,0.099,0.137,1.927,1.704,0.166,0.401,0.084,0.073
