variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),35.315,23.308,68.368,0.647,19.774,0.124
PM10(t),56.199,38.871,73.839,0.437,22.494,0.146
SO2(t),16.341,11.205,126.699,-5.634,23.464,0.229
NO2(t),21.165,15.393,41.192,0.467,15.84,0.15
CO(t),588.684,395.421,43.453,0.46,17.533,0.146
O3(t),939.654,268.602,312.698,-0.245,32.628,0.198
TEMP(t),158.826,104.106,inf,-17486.075,23.991,5.532
PRES(t),42.206,35.291,3.453,-871.053,1.252,1.513
DEWP(t),3.273,2.284,inf,0.509,17.026,0.149
RAIN(t),0.489,0.13,,0.038,,
WSPM(t),1.123,0.859,inf,-0.151,29.182,0.202
