variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),35.315,23.308,68.368,0.647,19.774,0.124,18.892,9.579,48.961,0.24,8.214,0.036
PM10(t),56.199,38.871,73.839,0.437,22.494,0.146,25.592,15.98,39.736,0.315,6.236,0.039
SO2(t),16.341,11.205,126.699,-5.634,23.464,0.229,39.875,28.69,392.527,33.023,13.122,0.481
NO2(t),21.165,15.393,41.192,0.467,15.84,0.15,7.343,4.789,18.97,0.313,4.654,0.038
CO(t),588.684,395.421,43.453,0.46,17.533,0.146,313.696,206.196,25.861,0.359,5.868,0.039
O3(t),939.654,268.602,312.698,-0.245,32.628,0.198,3493.198,1041.085,564.312,3.371,16.005,0.201
TEMP(t),158.826,104.106,inf,-17486.075,23.991,5.532,595.038,442.42,,94088.619,29.358,24.929
PRES(t),42.206,35.291,3.453,-871.053,1.252,1.513,217.852,184.183,18.015,4774.482,6.408,7.61
DEWP(t),3.273,2.284,inf,0.509,17.026,0.149,1.655,1.157,,0.35,11.599,0.05
RAIN(t),0.489,0.13,,0.038,,,0.591,0.143,,0.346,,
WSPM(t),1.123,0.859,inf,-0.151,29.182,0.202,0.294,0.228,,0.379,9.371,0.038
