variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),47.735,32.139,78.988,0.494,22.643,0.166
PM10(t),66.845,46.548,79.991,0.309,24.604,0.179
SO2(t),9.29,6.304,68.234,0.201,23.46,0.168
NO2(t),24.252,17.926,42.7,0.398,16.53,0.17
CO(t),657.976,459.052,48.908,0.309,18.216,0.171
O3(t),357.203,68.343,274.953,0.42,32.148,0.182
TEMP(t),458.767,225.296,inf,-10376.685,29.006,5.313
PRES(t),171.666,116.135,11.374,-10959.902,2.399,5.048
DEWP(t),4.312,3.293,inf,0.11,23.665,0.207
RAIN(t),0.516,0.215,,-30.651,,
WSPM(t),1.093,0.853,inf,-0.281,30.238,0.206
PM2.5.1(t),42.282,28.713,83.494,0.455,23.793,0.167
PM10.1(t),57.019,39.491,73.394,0.329,23.483,0.171
SO2.1(t),8.79,6.013,80.812,0.15,28.75,0.173
NO2.1(t),21.195,15.962,53.439,0.102,19.744,0.192
CO.1(t),607.217,427.551,48.345,0.287,19.04,0.171
O3.1(t),388.502,86.894,153.426,0.406,27.486,0.177
TEMP.1(t),383.642,197.053,inf,-20366.45,28.475,6.582
PRES.1(t),3.611,2.677,0.265,0.151,0.133,0.192
DEWP.1(t),4.38,3.334,inf,0.163,24.021,0.21
RAIN.1(t),0.401,0.184,,-17.968,,
WSPM.1(t),1.173,0.901,inf,-0.185,26.419,0.198
PM2.5.2(t),41.426,28.268,109.94,0.521,25.934,0.166
PM10.2(t),53.155,36.788,94.292,0.286,26.0,0.175
SO2.2(t),7.531,5.109,85.101,0.184,27.264,0.166
NO2.2(t),15.818,11.642,98.825,0.186,26.452,0.182
CO.2(t),477.164,343.234,64.985,0.36,20.879,0.17
O3.2(t),496.186,113.721,125.768,0.453,22.189,0.167
TEMP.2(t),383.649,197.058,inf,-20368.801,28.475,6.582
PRES.2(t),239.3,175.038,17.302,-21297.945,2.647,7.024
DEWP.2(t),4.38,3.334,inf,0.163,24.021,0.21
RAIN.2(t),0.401,0.184,,-17.968,,
WSPM.2(t),1.173,0.901,inf,-0.185,26.419,0.198
PM2.5.3(t),50.724,34.95,101.051,0.445,24.662,0.178
PM10.3(t),67.735,47.483,90.032,0.334,25.066,0.174
SO2.3(t),10.29,7.014,76.608,0.183,24.731,0.174
NO2.3(t),21.856,16.001,42.559,0.407,16.325,0.168
CO.3(t),650.883,460.264,49.614,0.282,17.954,0.18
O3.3(t),113.986,30.102,170.051,0.442,28.455,0.173
TEMP.3(t),458.76,225.299,inf,-10376.716,29.406,5.318
PRES.3(t),171.614,116.074,11.368,-10959.917,2.396,5.048
DEWP.3(t),4.335,3.314,inf,0.149,24.019,0.204
RAIN.3(t),0.533,0.215,inf,-116.667,98.424,inf
WSPM.3(t),1.138,0.884,inf,-0.212,26.916,0.187
PM2.5.4(t),47.108,31.961,81.976,0.473,22.026,0.169
PM10.4(t),62.449,43.287,71.156,0.33,22.805,0.175
SO2.4(t),10.731,6.853,88.085,-0.035,26.493,0.178
NO2.4(t),340.259,56.5,44.214,0.36,15.897,0.169
CO.4(t),586.48,415.721,50.406,0.359,17.515,0.176
O3.4(t),291.961,52.013,294.283,0.381,32.849,0.184
TEMP.4(t),458.767,225.296,inf,-10376.685,29.006,5.313
PRES.4(t),171.666,116.135,11.374,-10959.902,2.399,5.048
DEWP.4(t),4.312,3.293,inf,0.11,23.665,0.207
RAIN.4(t),0.516,0.215,,-30.651,,
WSPM.4(t),1.093,0.853,inf,-0.281,30.238,0.206
PM2.5.5(t),49.078,33.408,89.866,0.438,23.249,0.171
PM10.5(t),71.514,51.945,93.732,0.212,25.484,0.188
SO2.5(t),9.729,6.564,75.429,-0.362,25.019,0.19
NO2.5(t),24.569,18.312,55.569,0.299,19.383,0.174
CO.5(t),625.988,466.621,50.093,0.228,18.805,0.193
O3.5(t),499.318,102.821,181.775,0.353,29.773,0.178
TEMP.5(t),406.127,196.538,inf,-7339.502,27.947,4.237
PRES.5(t),3.51,2.614,0.259,0.267,0.129,0.183
DEWP.5(t),4.285,3.276,inf,0.22,24.309,0.201
RAIN.5(t),0.486,0.208,,-71.078,,
WSPM.5(t),0.943,0.729,inf,-0.061,32.618,0.205
