variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),47.735,32.139,78.988,0.494,22.643,0.166,29.889,18.074,60.78,0.33,7.97,0.063
PM10(t),66.845,46.548,79.991,0.309,24.604,0.179,35.526,22.531,42.437,0.401,6.965,0.061
SO2(t),9.29,6.304,68.234,0.201,23.46,0.168,7.11,4.378,36.781,0.471,6.309,0.044
NO2(t),24.252,17.926,42.7,0.398,16.53,0.17,11.639,7.66,23.035,0.273,4.225,0.043
CO(t),657.976,459.052,48.908,0.309,18.216,0.171,423.126,276.339,38.571,0.433,6.016,0.055
O3(t),357.203,68.343,274.953,0.42,32.148,0.182,1801.741,256.501,327.06,0.401,12.711,0.067
TEMP(t),458.767,225.296,inf,-10376.685,29.006,5.313,1669.953,701.568,,54918.47,31.279,23.524
PRES(t),171.666,116.135,11.374,-10959.902,2.399,5.048,920.24,621.21,60.832,60030.692,12.404,26.58
DEWP(t),4.312,3.293,inf,0.11,23.665,0.207,3.749,2.985,,0.947,22.214,0.114
RAIN(t),0.516,0.215,,-30.651,,,0.787,0.282,,90.693,,
WSPM(t),1.093,0.853,inf,-0.281,30.238,0.206,0.223,0.175,,0.508,10.021,0.041
PM2.5.1(t),42.282,28.713,83.494,0.455,23.793,0.167,23.497,14.373,51.397,0.431,6.253,0.053
PM10.1(t),57.019,39.491,73.394,0.329,23.483,0.171,30.888,17.849,28.347,0.369,5.009,0.052
SO2.1(t),8.79,6.013,80.812,0.15,28.75,0.173,6.655,4.628,51.407,0.479,7.808,0.046
NO2.1(t),21.195,15.962,53.439,0.102,19.744,0.192,7.31,5.518,35.743,0.373,5.385,0.039
CO.1(t),607.217,427.551,48.345,0.287,19.04,0.171,376.029,258.741,21.364,0.334,5.556,0.04
O3.1(t),388.502,86.894,153.426,0.406,27.486,0.177,1984.072,367.371,144.272,0.411,10.823,0.07
