variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),36.599,26.348,85.831,0.504,23.126,0.157
PM10(t),47.646,34.737,68.971,0.37,21.797,0.166
SO2(t),10.605,7.383,75.954,0.115,26.23,0.185
NO2(t),20.054,15.431,43.723,0.448,16.417,0.167
CO(t),647.625,444.411,47.265,0.307,18.1,0.183
O3(t),295.12,51.089,231.75,0.372,29.578,0.183
TEMP(t),212.405,141.08,inf,-108.364,28.066,0.842
PRES(t),2831.553,239.837,0.268,0.392,0.146,0.166
DEWP(t),3.934,3.1,inf,0.273,20.59,0.193
RAIN(t),0.325,0.158,,-5.56,,
WSPM(t),1.039,0.801,inf,-0.038,26.893,0.202
PM2.5.1(t),34.262,25.177,83.132,0.445,24.593,0.175
PM10.1(t),42.81,31.901,70.792,0.231,23.143,0.175
SO2.1(t),9.653,6.75,96.398,0.054,30.751,0.19
NO2.1(t),18.882,14.425,49.801,0.242,19.272,0.186
CO.1(t),605.425,432.431,56.363,0.167,20.132,0.189
O3.1(t),286.241,53.982,163.016,0.172,27.409,0.198
TEMP.1(t),181.241,120.832,inf,-229.363,27.67,0.973
PRES.1(t),3.11,2.376,0.235,0.431,0.117,0.166
DEWP.1(t),3.955,3.103,inf,0.224,19.111,0.199
RAIN.1(t),0.414,0.164,,-2.032,,
WSPM.1(t),1.147,0.871,inf,-0.127,24.452,0.208
PM2.5.2(t),31.322,23.143,111.489,0.451,27.771,0.181
PM10.2(t),39.272,29.345,91.018,0.323,26.228,0.179
SO2.2(t),8.242,5.819,80.553,0.002,28.992,0.196
NO2.2(t),14.957,11.327,95.864,-0.08,28.112,0.21
CO.2(t),482.721,343.685,59.504,0.305,21.196,0.185
O3.2(t),324.472,55.742,165.025,-0.207,22.758,0.207
TEMP.2(t),181.241,120.832,inf,-229.363,27.67,0.973
PRES.2(t),3984.674,474.907,0.281,0.406,0.164,0.165
DEWP.2(t),3.955,3.103,inf,0.224,19.111,0.199
RAIN.2(t),0.414,0.164,,-2.032,,
WSPM.2(t),1.147,0.871,inf,-0.127,24.452,0.208
PM2.5.3(t),38.576,27.814,100.0,0.493,24.08,0.16
PM10.3(t),49.728,35.483,73.336,0.404,21.49,0.161
SO2.3(t),10.438,7.279,81.604,0.191,26.834,0.172
NO2.3(t),17.991,13.757,41.317,0.446,16.145,0.162
CO.3(t),664.105,446.261,49.449,0.254,17.992,0.177
O3.3(t),33.793,20.316,171.706,0.331,27.736,0.19
TEMP.3(t),212.405,141.071,inf,-108.385,27.845,0.845
PRES.3(t),2831.396,239.699,0.254,0.425,0.139,0.159
DEWP.3(t),3.974,3.125,inf,0.314,20.194,0.19
RAIN.3(t),0.335,0.168,,-9.407,,
WSPM.3(t),1.075,0.83,inf,-0.02,24.397,0.194
PM2.5.4(t),35.667,25.764,83.013,0.529,22.386,0.158
PM10.4(t),45.177,32.903,67.895,0.39,20.779,0.166
SO2.4(t),10.843,7.477,87.447,-0.619,28.508,0.232
NO2.4(t),210.31,36.177,38.202,0.425,14.578,0.161
CO.4(t),588.215,402.405,51.596,0.372,17.681,0.169
O3.4(t),335.323,61.841,274.918,0.251,31.926,0.192
TEMP.4(t),212.405,141.08,inf,-108.364,28.066,0.842
PRES.4(t),2831.553,239.837,0.268,0.392,0.146,0.166
DEWP.4(t),3.934,3.1,inf,0.273,20.59,0.193
RAIN.4(t),0.325,0.158,,-5.56,,
WSPM.4(t),1.039,0.801,inf,-0.038,26.893,0.202
PM2.5.5(t),36.6,26.624,87.339,0.532,23.537,0.16
PM10.5(t),54.446,40.502,88.142,0.257,23.889,0.183
SO2.5(t),10.251,6.616,66.852,-1.562,25.098,0.217
NO2.5(t),20.565,15.844,54.791,0.387,18.435,0.176
