variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),36.599,26.348,85.831,0.504,23.126,0.157,23.202,16.109,51.785,0.395,7.472,0.066
PM10(t),47.646,34.737,68.971,0.37,21.797,0.166,25.358,17.939,36.099,0.517,6.965,0.057
SO2(t),10.605,7.383,75.954,0.115,26.23,0.185,11.979,7.927,33.794,0.639,7.9,0.052
NO2(t),20.054,15.431,43.723,0.448,16.417,0.167,7.119,5.665,18.912,0.342,4.373,0.039
CO(t),647.625,444.411,47.265,0.307,18.1,0.183,477.961,291.07,24.696,0.427,5.284,0.056
O3(t),295.12,51.089,231.75,0.372,29.578,0.183,1474.526,172.502,290.981,0.673,12.379,0.083
TEMP(t),212.405,141.08,inf,-108.364,28.066,0.842,762.209,494.65,,413.72,30.632,2.574
PRES(t),2831.553,239.837,0.268,0.392,0.146,0.166,15490.922,1299.786,0.259,0.694,0.167,0.102
DEWP(t),3.934,3.1,inf,0.273,20.59,0.193,4.371,3.812,,0.852,20.443,0.118
RAIN(t),0.325,0.158,,-5.56,,,0.579,0.208,,28.723,,
WSPM(t),1.039,0.801,inf,-0.038,26.893,0.202,0.212,0.15,,0.461,6.42,0.037
PM2.5.1(t),34.262,25.177,83.132,0.445,24.593,0.175,22.62,17.497,47.669,0.395,7.899,0.068
PM10.1(t),42.81,31.901,70.792,0.231,23.143,0.175,17.286,12.655,45.031,0.859,6.905,0.083
SO2.1(t),9.653,6.75,96.398,0.054,30.751,0.19,10.339,7.069,93.25,0.514,8.427,0.06
NO2.1(t),18.882,14.425,49.801,0.242,19.272,0.186,6.033,4.837,23.462,0.366,5.322,0.039
CO.1(t),605.425,432.431,56.363,0.167,20.132,0.189,397.266,272.211,33.097,0.629,6.343,0.059
O3.1(t),286.241,53.982,163.016,0.172,27.409,0.198,1429.159,187.71,154.377,0.92,12.702,0.085
TEMP.1(t),181.241,120.832,inf,-229.363,27.67,0.973,630.018,412.366,,1163.442,30.578,3.452
PRES.1(t),3.11,2.376,0.235,0.431,0.117,0.166,2.729,2.349,0.229,0.679,0.116,0.098
DEWP.1(t),3.955,3.103,inf,0.224,19.111,0.199,4.312,3.726,,0.882,18.288,0.116
RAIN.1(t),0.414,0.164,,-2.032,,,1.0,0.264,,6.688,,
WSPM.1(t),1.147,0.871,inf,-0.127,24.452,0.208,0.295,0.219,,0.559,5.101,0.048
PM2.5.2(t),31.322,23.143,111.489,0.451,27.771,0.181,16.758,12.561,61.359,0.507,7.526,0.065
PM10.2(t),39.272,29.345,91.018,0.323,26.228,0.179,15.503,11.346,53.57,0.591,7.177,0.052
SO2.2(t),8.242,5.819,80.553,0.002,28.992,0.196,7.632,5.286,38.434,0.86,9.775,0.057
NO2.2(t),14.957,11.327,95.864,-0.08,28.112,0.21,7.833,6.188,44.005,1.916,7.402,0.111
CO.2(t),482.721,343.685,59.504,0.305,21.196,0.185,314.823,214.164,33.245,0.366,5.861,0.048
O3.2(t),324.472,55.742,165.025,-0.207,22.758,0.207,1618.537,188.383,256.891,2.39,13.981,0.139
TEMP.2(t),181.241,120.832,inf,-229.363,27.67,0.973,630.018,412.366,,1163.442,30.578,3.452
PRES.2(t),3984.674,474.907,0.281,0.406,0.164,0.165,21807.656,2587.958,0.329,0.681,0.272,0.098
DEWP.2(t),3.955,3.103,inf,0.224,19.111,0.199,4.312,3.726,,0.882,18.288,0.116
RAIN.2(t),0.414,0.164,,-2.032,,,1.0,0.264,,6.688,,
WSPM.2(t),1.147,0.871,inf,-0.127,24.452,0.208,0.295,0.219,,0.559,5.101,0.048
PM2.5.3(t),38.576,27.814,100.0,0.493,24.08,0.16,21.577,15.85,71.688,0.367,7.869,0.056
PM10.3(t),49.728,35.483,73.336,0.404,21.49,0.161,25.553,17.341,38.394,0.403,6.311,0.049
SO2.3(t),10.438,7.279,81.604,0.191,26.834,0.172,9.824,6.522,43.99,0.697,7.375,0.052
NO2.3(t),17.991,13.757,41.317,0.446,16.145,0.162,6.89,5.26,20.897,0.321,4.567,0.043
CO.3(t),664.105,446.261,49.449,0.254,17.992,0.177,490.186,282.868,30.578,0.684,6.311,0.068
O3.3(t),33.793,20.316,171.706,0.331,27.736,0.19,45.672,10.714,153.339,0.666,12.576,0.089
TEMP.3(t),212.405,141.071,inf,-108.385,27.845,0.845,762.209,494.654,,413.715,30.741,2.573
PRES.3(t),2831.396,239.699,0.254,0.425,0.139,0.159,15490.951,1299.812,0.254,0.662,0.166,0.098
DEWP.3(t),3.974,3.125,inf,0.314,20.194,0.19,4.573,3.976,,0.837,19.183,0.116
RAIN.3(t),0.335,0.168,,-9.407,,,0.578,0.22,,33.675,,
WSPM.3(t),1.075,0.83,inf,-0.02,24.397,0.194,0.283,0.198,,0.505,3.445,0.042
PM2.5.4(t),35.667,25.764,83.013,0.529,22.386,0.158,21.655,15.443,49.179,0.365,6.997,0.062
PM10.4(t),45.177,32.903,67.895,0.39,20.779,0.166,25.406,16.843,33.595,0.47,6.15,0.05
SO2.4(t),10.843,7.477,87.447,-0.619,28.508,0.232,11.36,7.316,41.398,4.261,8.612,0.28
NO2.4(t),210.31,36.177,38.202,0.425,14.578,0.161,1053.002,121.971,16.268,0.389,3.838,0.046
CO.4(t),588.215,402.405,51.596,0.372,17.681,0.169,474.817,267.446,38.385,0.342,6.493,0.047
