variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),95.709,33.968,260.163,-41.353,14.553,0.405
PM10(t),177.779,65.657,226.329,-63.317,14.467,0.508
SO2(t),544.853,199.154,3233.517,-31028.322,15.09,6.766
NO2(t),103.38,36.255,137.179,-69.247,10.271,0.613
CO(t),1431.004,508.437,75.591,-23.964,10.882,0.307
O3(t),1154.789,428.156,1018.215,-6.905,28.018,0.304
TEMP(t),149.366,102.224,inf,-8399.477,19.263,5.074
PRES(t),190.21,138.077,13.534,-18783.348,2.653,6.762
DEWP(t),4.004,1.756,inf,-2.491,9.03,0.167
RAIN(t),0.529,0.171,,0.106,,
WSPM(t),4.95,1.945,inf,-186.484,21.686,0.765
