variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),95.709,33.968,260.163,-41.353,14.553,0.405,282.638,89.206,906.345,165.949,8.619,1.257
PM10(t),177.779,65.657,226.329,-63.317,14.467,0.508,547.768,186.803,793.402,318.095,4.911,1.657
SO2(t),544.853,199.154,3233.517,-31028.322,15.09,6.766,2920.669,1065.695,17440.484,169926.243,14.72,36.051
NO2(t),103.38,36.255,137.179,-69.247,10.271,0.613,322.177,101.827,470.89,274.948,4.65,1.808
CO(t),1431.004,508.437,75.591,-23.964,10.882,0.307,3693.125,1033.726,165.618,117.441,4.912,0.768
O3(t),1154.789,428.156,1018.215,-6.905,28.018,0.304,4293.716,1712.31,3278.9,30.572,17.105,0.733
TEMP(t),149.366,102.224,inf,-8399.477,19.263,5.074,430.483,355.55,,42083.518,28.515,17.212
PRES(t),190.21,138.077,13.534,-18783.348,2.653,6.762,1012.499,744.952,73.014,102755.386,14.002,35.389
DEWP(t),4.004,1.756,inf,-2.491,9.03,0.167,10.641,3.716,,14.427,6.97,0.389
RAIN(t),0.529,0.171,,0.106,,,0.601,0.205,,0.461,,
WSPM(t),4.95,1.945,inf,-186.484,21.686,0.765,18.475,6.47,,975.234,8.378,2.724
