variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),291.261,109.483,387.268,-420.636,109.483,-420.636
PM10(t),457.036,171.426,299.803,-826.769,171.426,-826.769
SO2(t),108.978,37.323,502.67,-1947.47,37.323,-1947.47
NO2(t),349.859,134.544,297.863,-3334.027,134.544,-3334.027
CO(t),2562.322,1036.421,139.969,-723.466,1036.421,-723.466
O3(t),910.339,297.0,7278.973,-1494.173,297.0,-1494.173
TEMP(t),344.296,188.366,inf,-9564.942,188.366,-9564.942
PRES(t),592.679,444.72,43.748,-127744.316,444.72,-127744.316
DEWP(t),27.072,10.265,inf,-1358.457,10.265,-1358.457
RAIN(t),19.781,7.762,,-4513.317,7.762,-4513.317
WSPM(t),13.019,4.409,inf,-2772.575,4.409,-2772.575
PM2.5.1(t),402.536,143.805,623.309,-945.916,143.805,-945.916
PM10.1(t),620.254,221.9,550.293,-2000.347,221.9,-2000.347
SO2.1(t),137.043,51.69,1520.791,-9203.012,51.69,-9203.012
NO2.1(t),265.831,93.491,318.492,-3500.39,93.491,-3500.39
CO.1(t),8056.92,2809.579,396.409,-7156.44,2809.579,-7156.44
O3.1(t),805.095,279.171,694.907,-2128.83,279.171,-2128.83
TEMP.1(t),360.768,181.536,inf,-7999.701,181.536,-7999.701
PRES.1(t),20.227,7.501,0.744,-287.577,7.501,-287.577
DEWP.1(t),35.596,13.307,inf,-2175.575,13.307,-2175.575
RAIN.1(t),2.303,0.874,,-3015.478,0.874,-3015.478
WSPM.1(t),25.87,9.229,inf,-24351.812,9.229,-24351.812
PM2.5.2(t),276.04,94.485,633.275,-486.153,94.485,-486.153
PM10.2(t),724.825,241.606,984.397,-2425.564,241.606,-2425.564
SO2.2(t),90.448,30.997,873.668,-2262.353,30.997,-2262.353
NO2.2(t),167.697,59.173,776.113,-1799.316,59.173,-1799.316
CO.2(t),4628.709,1653.549,548.424,-2249.224,1653.549,-2249.224
O3.2(t),732.977,221.701,325.037,-490.496,221.701,-490.496
TEMP.2(t),360.768,181.536,inf,-7999.701,181.536,-7999.701
PRES.2(t),1669.642,1223.15,120.81,-1045838.527,1223.15,-1045838.527
DEWP.2(t),35.596,13.307,inf,-2175.575,13.307,-2175.575
RAIN.2(t),2.303,0.874,,-3015.478,0.874,-3015.478
WSPM.2(t),25.87,9.229,inf,-24351.812,9.229,-24351.812
PM2.5.3(t),249.128,94.284,283.456,-272.587,94.284,-272.587
PM10.3(t),526.291,205.873,417.533,-1083.629,205.873,-1083.629
SO2.3(t),71.738,24.731,432.652,-2374.497,24.731,-2374.497
NO2.3(t),186.89,67.991,175.986,-747.911,67.991,-747.911
CO.3(t),2810.586,1073.38,174.038,-747.525,1073.38,-747.525
O3.3(t),558.006,211.638,1968.337,-1606.106,211.638,-1606.106
TEMP.3(t),341.89,187.704,inf,-9529.202,187.704,-9529.202
PRES.3(t),592.312,444.584,43.734,-127741.327,444.584,-127741.327
DEWP.3(t),32.138,12.375,inf,-1420.361,12.375,-1420.361
RAIN.3(t),20.044,7.836,inf,-1090.057,7.836,-1090.057
WSPM.3(t),12.081,4.589,inf,-2523.35,4.589,-2523.35
PM2.5.4(t),335.335,122.727,439.051,-619.461,122.727,-619.461
PM10.4(t),715.292,278.473,363.436,-2446.734,278.473,-2446.734
SO2.4(t),106.779,33.11,810.396,-1999.387,33.11,-1999.387
NO2.4(t),625.576,176.89,250.784,-2338.518,176.89,-2338.518
CO.4(t),6092.932,2282.38,341.893,-5184.231,2282.38,-5184.231
O3.4(t),788.926,247.721,2674.573,-1713.579,247.721,-1713.579
TEMP.4(t),344.296,188.366,inf,-9564.942,188.366,-9564.942
PRES.4(t),592.679,444.72,43.748,-127744.316,444.72,-127744.316
DEWP.4(t),27.072,10.265,inf,-1358.457,10.265,-1358.457
RAIN.4(t),19.781,7.762,,-4513.317,7.762,-4513.317
WSPM.4(t),13.019,4.409,inf,-2772.575,4.409,-2772.575
PM2.5.5(t),378.558,132.843,588.175,-781.37,132.843,-781.37
PM10.5(t),682.98,257.706,546.632,-1317.795,257.706,-1317.795
SO2.5(t),83.681,27.277,470.17,-981.875,27.277,-981.875
NO2.5(t),330.671,120.477,429.189,-2183.094,120.477,-2183.094
CO.5(t),4986.409,1763.959,237.699,-2480.959,1763.959,-2480.959
O3.5(t),1048.064,354.655,2508.384,-2955.151,354.655,-2955.151
TEMP.5(t),414.51,212.509,inf,-7695.033,212.509,-7695.033
PRES.5(t),17.238,6.431,0.638,-151.561,6.431,-151.561
DEWP.5(t),39.205,13.372,inf,-2522.992,13.372,-2522.992
RAIN.5(t),4.766,1.94,,-1550.96,1.94,-1550.96
WSPM.5(t),13.923,5.221,inf,-3137.758,5.221,-3137.758
