variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),291.261,109.483,387.268,-420.636,17.646,1.301,998.822,355.385,1571.593,1604.066,8.025,4.54
PM10(t),457.036,171.426,299.803,-826.769,18.604,1.825,1606.194,571.577,957.997,3540.989,7.478,6.899
SO2(t),108.978,37.323,502.67,-1947.47,19.288,2.351,503.266,161.036,1980.229,7518.992,6.96,8.609
NO2(t),349.859,134.544,297.863,-3334.027,11.997,2.942,1383.388,527.45,1038.809,16142.941,4.782,11.714
CO(t),2562.322,1036.421,139.969,-723.466,13.95,1.672,8391.456,2978.09,422.304,2858.479,6.34,5.981
O3(t),910.339,297.0,7278.973,-1494.173,28.621,2.021,3389.599,1128.458,28681.921,8187.073,15.348,10.314
TEMP(t),344.296,188.366,inf,-9564.942,20.875,5.895,1072.384,516.151,,47117.333,27.407,22.438
PRES(t),592.679,444.72,43.748,-127744.316,3.421,17.632,3129.419,2391.816,235.269,697845.376,16.043,90.419
DEWP(t),27.072,10.265,inf,-1358.457,12.815,1.801,108.38,42.084,,7240.172,11.186,7.909
RAIN(t),19.781,7.762,,-4513.317,,,105.032,41.072,,19603.683,,
WSPM(t),13.019,4.409,inf,-2772.575,25.122,1.911,46.68,15.021,,12716.304,9.98,6.713
PM2.5.1(t),402.536,143.805,623.309,-945.916,19.468,1.926,1532.3,506.3,2721.186,3912.516,7.919,7.117
PM10.1(t),620.254,221.9,550.293,-2000.347,18.128,2.216,2218.346,750.663,2008.962,7910.354,5.52,8.246
SO2.1(t),137.043,51.69,1520.791,-9203.012,26.614,4.063,494.868,181.852,6685.032,46915.29,10.331,17.147
NO2.1(t),265.831,93.491,318.492,-3500.39,15.731,3.291,977.823,330.961,1082.754,15160.566,6.617,12.278
CO.1(t),8056.92,2809.579,396.409,-7156.44,15.117,4.473,29851.765,10204.975,1388.512,29140.39,6.849,16.905
O3.1(t),805.095,279.171,694.907,-2128.83,23.642,2.057,3043.096,1069.456,2596.58,11663.373,12.136,10.529
TEMP.1(t),360.768,181.536,inf,-7999.701,20.296,5.101,1176.012,520.018,,39761.894,27.701,19.609
PRES.1(t),20.227,7.501,0.744,-287.577,0.467,1.062,72.725,25.471,2.527,1203.9,1.656,3.911
DEWP.1(t),35.596,13.307,inf,-2175.575,11.846,2.147,134.969,51.577,,11309.633,9.593,9.05
RAIN.1(t),2.303,0.874,,-3015.478,,,8.202,3.004,,15873.036,,
WSPM.1(t),25.87,9.229,inf,-24351.812,22.161,4.37,110.071,39.255,,131617.852,9.347,19.672
PM2.5.2(t),276.04,94.485,633.275,-486.153,20.696,1.13,1285.911,400.638,3085.034,2629.341,7.912,5.111
PM10.2(t),724.825,241.606,984.397,-2425.564,20.042,3.021,2827.471,866.354,4324.326,9876.049,7.267,11.322
SO2.2(t),90.448,30.997,873.668,-2262.353,22.988,1.9,377.469,118.825,3193.404,9298.755,10.448,6.767
NO2.2(t),167.697,59.173,776.113,-1799.316,19.027,2.267,628.778,204.521,2815.673,6862.121,6.968,8.143
CO.2(t),4628.709,1653.549,548.424,-2249.224,15.644,2.668,17246.153,5687.291,1965.097,9160.568,7.507,9.876
O3.2(t),732.977,221.701,325.037,-490.496,19.162,0.95,2916.746,829.183,1057.97,2690.061,12.211,4.529
TEMP.2(t),360.768,181.536,inf,-7999.701,20.296,5.101,1176.012,520.018,,39761.894,27.701,19.609
PRES.2(t),1669.642,1223.15,120.81,-1045838.527,3.572,48.871,9030.852,6657.138,657.503,5726664.03,17.003,261.695
DEWP.2(t),35.596,13.307,inf,-2175.575,11.846,2.147,134.969,51.577,,11309.633,9.593,9.05
RAIN.2(t),2.303,0.874,,-3015.478,,,8.202,3.004,,15873.036,,
WSPM.2(t),25.87,9.229,inf,-24351.812,22.161,4.37,110.071,39.255,,131617.852,9.347,19.672
PM2.5.3(t),249.128,94.284,283.456,-272.587,19.23,1.104,838.813,300.423,1016.94,1039.93,9.95,3.784
PM10.3(t),526.291,205.873,417.533,-1083.629,19.397,1.975,1868.149,707.996,1482.374,4580.961,9.467,7.767
SO2.3(t),71.738,24.731,432.652,-2374.497,19.451,2.737,261.546,79.007,1459.35,11408.739,8.546,12.02
NO2.3(t),186.89,67.991,175.986,-747.911,12.013,1.829,663.371,230.68,598.245,2883.203,5.359,6.602
CO.3(t),2810.586,1073.38,174.038,-747.525,14.049,1.445,10336.406,3384.468,689.074,3611.788,7.438,5.56
O3.3(t),558.006,211.638,1968.337,-1606.106,25.334,2.037,2399.531,917.835,9781.456,8800.505,14.454,10.471
TEMP.3(t),341.89,187.704,inf,-9529.202,20.772,5.789,1072.285,516.268,,47117.416,27.495,22.377
PRES.3(t),592.312,444.584,43.734,-127741.327,3.417,17.627,3129.462,2391.837,235.271,697845.931,16.043,90.42
DEWP.3(t),32.138,12.375,inf,-1420.361,12.986,1.952,119.782,45.592,,7245.833,11.13,8.099
RAIN.3(t),20.044,7.836,inf,-1090.057,98.163,,105.003,41.063,,5393.012,3.047,
WSPM.3(t),12.081,4.589,inf,-2523.35,22.187,1.638,43.168,15.415,,12549.15,6.297,5.874
PM2.5.4(t),335.335,122.727,439.051,-619.461,16.877,1.562,1172.508,407.006,1828.558,2397.993,8.441,5.504
PM10.4(t),715.292,278.473,363.436,-2446.734,17.422,3.049,2796.812,1107.327,1234.669,11342.322,7.693,12.711
SO2.4(t),106.779,33.11,810.396,-1999.387,22.679,2.347,466.972,128.697,3217.544,7798.226,11.061,8.845
NO2.4(t),625.576,176.89,250.784,-2338.518,11.306,2.236,2422.676,637.293,863.796,12812.5,4.836,11.676
CO.4(t),6092.932,2282.38,341.893,-5184.231,14.053,4.116,22296.767,8100.337,1198.565,23288.577,7.488,16.081
O3.4(t),788.926,247.721,2674.573,-1713.579,29.297,2.199,2986.303,994.586,11744.414,9388.743,14.642,11.255
TEMP.4(t),344.296,188.366,inf,-9564.942,20.875,5.895,1072.384,516.151,,47117.333,27.407,22.438
PRES.4(t),592.679,444.72,43.748,-127744.316,3.421,17.632,3129.419,2391.816,235.269,697845.376,16.043,90.419
DEWP.4(t),27.072,10.265,inf,-1358.457,12.815,1.801,108.38,42.084,,7240.172,11.186,7.909
RAIN.4(t),19.781,7.762,,-4513.317,,,105.032,41.072,,19603.683,,
WSPM.4(t),13.019,4.409,inf,-2772.575,25.122,1.911,46.68,15.021,,12716.304,9.98,6.713
PM2.5.5(t),378.558,132.843,588.175,-781.37,17.527,1.909,1347.344,439.299,2614.17,3058.665,7.897,6.871
PM10.5(t),682.98,257.706,546.632,-1317.795,19.275,2.227,2504.006,922.046,2081.482,5495.623,7.562,8.184
SO2.5(t),83.681,27.277,470.17,-981.875,20.847,1.318,410.786,122.889,2116.687,5256.313,10.399,5.79
NO2.5(t),330.671,120.477,429.189,-2183.094,14.423,2.855,1211.823,415.917,1666.158,8411.9,5.897,10.606
CO.5(t),4986.409,1763.959,237.699,-2480.959,13.725,2.828,17489.871,5698.943,817.189,9462.906,6.131,10.32
O3.5(t),1048.064,354.655,2508.384,-2955.151,26.485,2.747,3922.953,1302.412,12261.762,16189.07,14.523,14.328
TEMP.5(t),414.51,212.509,inf,-7695.033,20.667,4.845,1430.962,628.351,,38457.343,27.694,18.553
PRES.5(t),17.238,6.431,0.638,-151.561,0.37,0.758,63.198,21.713,2.154,580.556,1.264,2.659
DEWP.5(t),39.205,13.372,inf,-2522.992,12.175,2.148,147.909,51.88,,13076.507,10.017,8.636
RAIN.5(t),4.766,1.94,,-1550.96,,,22.429,9.16,,6246.263,,
WSPM.5(t),13.923,5.221,inf,-3137.758,29.207,2.041,56.058,20.948,,16006.322,11.755,8.057
