variable,rmse,mae,mape,r2,smape,nrmse
PM2.5(t),8467.372,1086.018,1846.437,-406250.897,26.104,32.246
PM10(t),13234.605,1565.111,1808.503,-912587.429,24.115,50.613
SO2(t),1425.219,185.103,6922.915,-24037753.151,27.724,183.738
NO2(t),6071.226,722.896,1156.754,-1396680.707,16.421,48.302
CO(t),85645.008,10970.131,871.098,-354030.172,19.974,29.722
O3(t),3529.253,467.913,18080.692,-1613972.259,30.766,68.012
TEMP(t),3476058.092,325405.231,inf,-38126066.457,25.439,252.41
PRES(t),3030.99,347.345,10.727,-214.898,0.326,0.821
DEWP(t),1526.364,158.759,inf,-3407256.392,12.709,87.378
RAIN(t),394.438,44.069,,-155251136.048,,
WSPM(t),525.602,63.3,inf,-10028840.194,26.476,116.096
PM2.5.1(t),4713.891,612.659,1138.45,-147834.378,28.653,17.172
PM10.1(t),16883.421,1967.937,2169.226,-1809694.3,24.754,52.956
SO2.1(t),3886.517,444.467,11941.017,-30455095.657,32.751,142.119
NO2.1(t),5614.755,646.82,1082.474,-1714415.978,20.202,52.127
CO.1(t),124151.835,15561.88,1278.884,-865813.439,21.351,42.304
O3.1(t),18046.104,2207.097,88138.179,-70988353.094,28.802,347.012
TEMP.1(t),2417001.162,273912.249,inf,-35016808.251,25.162,162.442
PRES.1(t),1889.732,214.309,21.289,-9406704.97,0.309,145.711
DEWP.1(t),1337.288,160.205,inf,-3730644.79,11.864,93.314
RAIN.1(t),304.758,33.398,,-12285742.558,,
WSPM.1(t),711.73,63.368,inf,-44013411.36,25.225,214.218
PM2.5.2(t),35032.942,3092.65,4536.169,-8541003.096,30.23,139.059
PM10.2(t),37755.848,3917.503,4258.619,-10385948.136,26.725,151.482
SO2.2(t),780.011,109.394,4166.613,-1837891.107,28.835,32.002
NO2.2(t),3506.0,428.102,1741.275,-805070.251,27.096,45.093
CO.2(t),257971.987,24497.117,2834.385,-6293068.637,19.895,117.319
O3.2(t),15150.724,1855.92,14489.613,-34323899.539,22.833,284.489
TEMP.2(t),2417001.162,273912.249,inf,-35016808.251,25.162,162.442
PRES.2(t),4432.526,690.191,21.336,-263.446,0.357,0.907
DEWP.2(t),1337.288,160.205,inf,-3730644.79,11.864,93.314
RAIN.2(t),304.758,33.398,,-12285742.558,,
WSPM.2(t),711.73,63.368,inf,-44013411.36,25.225,214.218
PM2.5.3(t),11985.914,1350.19,2182.667,-634892.752,28.029,40.115
PM10.3(t),13624.069,1740.039,1916.636,-685534.58,24.198,43.483
SO2.3(t),1765.334,217.201,6644.697,-4636715.382,30.431,104.335
NO2.3(t),15145.633,1695.652,2725.093,-11051690.506,16.58,110.212
CO.3(t),168180.718,19321.872,1690.715,-1491783.058,20.652,54.154
O3.3(t),18959.955,1963.803,55802.582,-71087317.725,29.215,444.867
TEMP.3(t),3476053.236,325404.674,inf,-38125770.275,25.393,252.184
PRES.3(t),3031.568,347.551,10.746,-231.89,0.331,0.849
DEWP.3(t),1523.491,157.771,inf,-3407064.378,12.312,87.159
RAIN.3(t),395.056,44.162,,-155426464.248,,
WSPM.3(t),527.944,63.709,inf,-10029057.38,24.325,116.473
PM2.5.4(t),5566.986,716.321,1371.02,-156056.362,24.878,20.652
PM10.4(t),8522.878,1101.113,1008.294,-321308.752,22.471,31.234
SO2.4(t),2121.818,227.679,4680.894,-8336879.998,33.992,109.233
NO2.4(t),6879.354,797.709,1108.56,-2202991.128,15.344,53.986
CO.4(t),170064.911,20020.344,1523.709,-1987051.799,18.776,62.838
O3.4(t),10715.601,1010.504,46326.229,-24769992.0,32.395,246.844
TEMP.4(t),3476058.092,325405.231,inf,-38126066.457,25.439,252.41
PRES.4(t),3030.99,347.345,10.727,-214.898,0.326,0.821
DEWP.4(t),1526.364,158.759,inf,-3407256.392,12.709,87.378
RAIN.4(t),394.438,44.069,,-155251136.048,,
WSPM.4(t),525.602,63.3,inf,-10028840.194,26.476,116.096
PM2.5.5(t),25563.446,2771.589,4345.405,-2904410.103,25.695,78.023
PM10.5(t),42317.757,4999.708,4046.658,-7771405.99,24.16,128.419
SO2.5(t),870.351,121.665,5139.181,-129369965.943,27.501,260.754
NO2.5(t),10224.797,1025.404,1673.274,-5350126.69,19.46,99.202
CO.5(t),228835.602,25109.034,2326.732,-4574290.005,18.671,88.358
O3.5(t),12035.821,1431.457,37118.269,-32870574.574,29.766,242.755
TEMP.5(t),1832194.136,178123.706,inf,-18920907.353,25.287,150.671
