variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
PM2.5(t),8467.372,1086.018,1846.437,-406250.897,26.104,32.246,43529.598,5201.567,6706.301,2214479.192,10.856,165.513
PM10(t),13234.605,1565.111,1808.503,-912587.429,24.115,50.613,69009.725,7623.259,7413.587,4987523.563,8.398,265.422
SO2(t),1425.219,185.103,6922.915,-24037753.151,27.724,183.738,6994.986,799.21,34957.85,131648937.441,10.974,997.533
NO2(t),6071.226,722.896,1156.754,-1396680.707,16.421,48.302,31946.393,3579.364,4580.393,7637287.779,4.888,253.541
CO(t),85645.008,10970.131,871.098,-354030.172,19.974,29.722,438271.459,51664.452,3458.972,1915659.063,8.005,146.433
O3(t),3529.253,467.913,18080.692,-1613972.259,30.766,68.012,16796.727,1949.241,94345.111,8840084.112,14.421,371.321
TEMP(t),3476058.092,325405.231,inf,-38126066.457,25.439,252.41,19038171.631,1781634.608,,208808812.426,29.753,1362.232
PRES(t),3030.99,347.345,10.727,-214.898,0.326,0.821,16489.807,1868.296,55.421,1178.798,1.093,3.79
DEWP(t),1526.364,158.759,inf,-3407256.392,12.709,87.378,8215.341,831.907,,18659343.664,11.177,472.185
RAIN(t),394.438,44.069,,-155251136.048,,,2152.979,238.661,,850345425.12,,
WSPM(t),525.602,63.3,inf,-10028840.194,26.476,116.096,2816.414,327.12,,54918870.602,7.929,625.946
PM2.5.1(t),4713.891,612.659,1138.45,-147834.378,28.653,17.172,24292.076,2887.349,4203.537,807742.396,10.263,88.322
PM10.1(t),16883.421,1967.937,2169.226,-1809694.3,24.754,52.956,90328.318,10146.196,10259.427,9908664.315,7.143,284.06
SO2.1(t),3886.517,444.467,11941.017,-30455095.657,32.751,142.119,20838.434,2303.929,63382.517,166806061.903,11.601,772.045
NO2.1(t),5614.755,646.82,1082.474,-1714415.978,20.202,52.127,29492.039,3168.359,4279.816,9373455.241,7.842,270.6
CO.1(t),124151.835,15561.88,1278.884,-865813.439,21.351,42.304,654947.32,77957.745,5537.138,4722491.534,9.177,218.369
O3.1(t),18046.104,2207.097,88138.179,-70988353.094,28.802,347.012,96809.449,11527.707,480981.209,388819190.515,15.357,1899.202
TEMP.1(t),2417001.162,273912.249,inf,-35016808.251,25.162,162.442,13237658.414,1499765.165,,191780520.749,29.969,872.075
PRES.1(t),1889.732,214.309,21.289,-9406704.97,0.309,145.711,10227.972,1136.978,112.956,51521152.391,1.076,792.984
DEWP.1(t),1337.288,160.205,inf,-3730644.79,11.864,93.314,7165.02,836.414,,20430862.646,12.09,504.681
RAIN.1(t),304.758,33.398,,-12285742.558,,,1641.222,176.652,,67285975.986,,
WSPM.1(t),711.73,63.368,inf,-44013411.36,25.225,214.218,3839.619,329.735,,241065401.771,7.967,1163.734
PM2.5.2(t),35032.942,3092.65,4536.169,-8541003.096,30.23,139.059,189700.372,16357.674,21097.92,46776768.549,10.836,752.771
PM10.2(t),37755.848,3917.503,4258.619,-10385948.136,26.725,151.482,203769.91,20570.007,19246.002,56879446.96,8.916,818.373
SO2.2(t),780.011,109.394,4166.613,-1837891.107,28.835,32.002,3703.104,450.192,18821.25,10058858.335,8.752,167.393
NO2.2(t),3506.0,428.102,1741.275,-805070.251,27.096,45.093,18209.487,2095.268,6021.362,4401252.084,7.327,236.501
CO.2(t),257971.987,24497.117,2834.385,-6293068.637,19.895,117.319,1396931.138,129281.031,14120.149,34463243.402,7.636,634.965
O3.2(t),15150.724,1855.92,14489.613,-34323899.539,22.833,284.489,80868.263,9629.037,78398.866,187999606.862,14.484,1556.091
TEMP.2(t),2417001.162,273912.249,inf,-35016808.251,25.162,162.442,13237658.414,1499765.165,,191780520.749,29.969,872.075
PRES.2(t),4432.526,690.191,21.336,-263.446,0.357,0.907,24155.127,3743.25,113.214,1442.746,1.156,4.165
DEWP.2(t),1337.288,160.205,inf,-3730644.79,11.864,93.314,7165.02,836.414,,20430862.646,12.09,504.681
RAIN.2(t),304.758,33.398,,-12285742.558,,,1641.222,176.652,,67285975.986,,
WSPM.2(t),711.73,63.368,inf,-44013411.36,25.225,214.218,3839.619,329.735,,241065401.771,7.967,1163.734
PM2.5.3(t),11985.914,1350.19,2182.667,-634892.752,28.029,40.115,62905.296,6635.8,8362.693,3469113.848,12.876,209.683
PM10.3(t),13624.069,1740.039,1916.636,-685534.58,24.198,43.483,71172.292,8493.858,7507.053,3745099.733,8.42,228.847
SO2.3(t),1765.334,217.201,6644.697,-4636715.382,30.431,104.335,9027.838,1006.099,33375.917,25389570.396,11.894,564.44
NO2.3(t),15145.633,1695.652,2725.093,-11051690.506,16.58,110.212,81879.03,8967.17,12721.154,60525614.234,6.165,593.269
CO.3(t),168180.718,19321.872,1690.715,-1491783.058,20.652,54.154,895043.47,98002.733,7798.657,8162192.072,9.699,288.745
O3.3(t),18959.955,1963.803,55802.582,-71087317.725,29.215,444.867,102228.104,10274.852,303964.357,389361113.115,14.668,2435.014
TEMP.3(t),3476053.236,325404.674,inf,-38125770.275,25.393,252.184,19038172.548,1781634.713,,208808868.311,29.932,1362.268
PRES.3(t),3031.568,347.551,10.746,-231.89,0.331,0.849,16489.718,1868.279,55.424,1271.796,1.134,3.961
DEWP.3(t),1523.491,157.771,inf,-3407064.378,12.312,87.159,8215.633,831.916,,18659379.798,9.821,472.214
RAIN.3(t),395.056,44.162,,-155426464.248,,,2152.866,238.645,,850312852.513,,
WSPM.3(t),527.944,63.709,inf,-10029057.38,24.325,116.473,2816.193,327.131,,54918829.829,5.274,625.904
PM2.5.4(t),5566.986,716.321,1371.02,-156056.362,24.878,20.652,28431.396,3357.318,5029.495,849341.485,10.164,104.55
PM10.4(t),8522.878,1101.113,1008.294,-321308.752,22.471,31.234,44318.962,5279.075,4109.325,1752733.626,7.577,161.756
SO2.4(t),2121.818,227.679,4680.894,-8336879.998,33.992,109.233,10588.459,978.953,19770.587,45646130.489,15.129,587.396
NO2.4(t),6879.354,797.709,1108.56,-2202991.128,15.344,53.986,36224.529,3964.44,5242.579,12066277.659,5.903,294.678
CO.4(t),170064.911,20020.344,1523.709,-1987051.799,18.776,62.838,911907.258,103738.648,7116.25,10878925.025,8.833,337.768
O3.4(t),10715.601,1010.504,46326.229,-24769992.0,32.395,246.844,56684.132,4998.545,249804.129,135670800.744,14.543,1350.564
TEMP.4(t),3476058.092,325405.231,inf,-38126066.457,25.439,252.41,19038171.631,1781634.608,,208808812.426,29.753,1362.232
PRES.4(t),3030.99,347.345,10.727,-214.898,0.326,0.821,16489.807,1868.296,55.421,1178.798,1.093,3.79
DEWP.4(t),1526.364,158.759,inf,-3407256.392,12.709,87.378,8215.341,831.907,,18659343.664,11.177,472.185
RAIN.4(t),394.438,44.069,,-155251136.048,,,2152.979,238.661,,850345425.12,,
WSPM.4(t),525.602,63.3,inf,-10028840.194,26.476,116.096,2816.414,327.12,,54918870.602,7.929,625.946
PM2.5.5(t),25563.446,2771.589,4345.405,-2904410.103,25.695,78.023,137758.725,14503.106,19904.236,15902700.849,8.932,417.391
PM10.5(t),42317.757,4999.708,4046.658,-7771405.99,24.16,128.419,229246.481,26612.044,20063.121,42561045.211,7.38,694.661
SO2.5(t),870.351,121.665,5139.181,-129369965.943,27.501,260.754,4266.917,514.717,25204.374,708583669.11,12.351,1420.556
NO2.5(t),10224.797,1025.404,1673.274,-5350126.69,19.46,99.202,55120.149,5339.52,8060.605,29300140.851,6.111,535.156
