variable,rmse,mae,mape,r2,smape,nrmse
CO(GT)(t),30.889,15.092,902.678,0.269,39.442,inf
PT08.S1(CO)(t),168.464,116.509,23.856,0.405,8.577,0.167
NMHC(GT)(t),25.973,18.55,7.974,0.929,3.944,
C6H6(GT)(t),19.198,10.759,104.237,-1.176,23.764,0.252
PT08.S2(NMHC)(t),183.591,131.784,25.816,0.526,9.527,0.151
NOx(GT)(t),110.412,77.409,44.763,0.442,25.084,inf
PT08.S3(NOx)(t),167.836,121.184,28.585,0.469,9.912,0.153
NO2(GT)(t),71.249,45.127,37.535,0.22,24.319,inf
PT08.S4(NO2)(t),230.531,157.942,30.388,0.346,8.839,0.161
PT08.S5(O3)(t),221.364,165.936,28.562,0.532,11.212,0.15
T(t),18.985,10.266,35.179,-5.901,12.297,0.335
RH(t),21.135,12.287,18.327,-0.079,10.585,0.192
AH(t),16.592,8.632,330.733,-9962.152,17.541,7.861
