variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
CO(GT)(t),30.574,14.932,955.273,0.274,39.386,inf,20.517,17.061,1740.479,0.575,25.158,
PT08.S1(CO)(t),165.467,114.691,23.332,0.44,8.436,0.162,141.596,98.232,51.128,0.356,13.487,0.075
NMHC(GT)(t),25.304,17.751,7.678,0.933,3.838,,72.692,56.793,26.102,0.24,13.267,
C6H6(GT)(t),18.793,10.596,93.074,-1.149,24.787,0.247,30.197,19.701,157.139,5.633,16.708,0.276
PT08.S2(NMHC)(t),183.109,131.299,25.883,0.532,9.631,0.15,122.603,89.61,46.863,0.264,11.494,0.059
NOx(GT)(t),110.561,77.578,44.697,0.446,24.771,inf,55.363,47.079,20.814,0.251,14.638,
PT08.S3(NOx)(t),165.105,119.188,27.89,0.504,9.739,0.149,164.627,117.215,60.331,0.498,13.212,0.096
NO2(GT)(t),71.733,45.307,37.534,0.206,24.249,inf,36.462,31.371,20.15,0.487,16.153,
PT08.S4(NO2)(t),229.197,157.247,30.789,0.374,8.324,0.159,221.149,154.338,79.857,0.396,12.334,0.073
PT08.S5(O3)(t),218.473,164.159,27.885,0.55,11.013,0.148,101.158,72.838,37.517,0.27,9.816,0.048
T(t),18.832,10.062,35.963,-7.952,12.931,0.361,33.157,21.33,82.949,38.512,16.878,0.687
RH(t),22.864,13.673,21.087,-0.734,11.965,0.218,32.751,22.028,23.995,6.432,14.079,0.271
AH(t),16.027,8.105,319.239,-12666.581,17.774,8.6,30.663,19.46,721.808,60722.741,21.248,30.235
