variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
CO(GT)(t),39.918,21.119,795.053,0.046,52.149,inf,30.413,26.027,1235.877,0.576,26.599,
PT08.S1(CO)(t),158.584,107.134,21.038,0.463,6.329,0.158,138.855,99.327,51.32,0.346,9.081,0.077
NMHC(GT)(t),23.866,17.705,8.233,0.078,4.587,inf,65.869,52.676,24.647,0.227,14.241,
C6H6(GT)(t),15.665,8.103,44.155,0.414,20.364,0.163,29.499,19.144,23.487,0.385,10.541,0.1
PT08.S2(NMHC)(t),178.909,126.884,24.251,0.536,8.096,0.147,135.014,100.931,50.436,0.311,9.119,0.065
NOx(GT)(t),117.065,82.415,48.08,0.354,23.769,inf,57.676,50.6,26.291,0.374,13.729,
PT08.S3(NOx)(t),165.622,119.085,26.269,0.497,8.026,0.149,156.934,111.23,55.333,0.45,8.975,0.086
NO2(GT)(t),75.319,46.066,34.584,0.169,19.852,inf,43.649,38.272,20.016,0.416,14.663,
PT08.S4(NO2)(t),205.828,137.053,25.108,0.456,6.304,0.146,181.525,131.0,67.446,0.281,9.064,0.056
PT08.S5(O3)(t),231.534,178.305,31.672,0.446,10.97,0.156,132.768,106.202,52.875,0.595,9.514,0.066
T(t),15.275,7.771,22.795,-0.029,10.789,0.21,32.041,20.5,25.307,1.67,11.039,0.17
RH(t),20.291,12.181,17.844,0.209,9.552,0.19,29.975,19.655,13.579,1.307,9.899,0.146
AH(t),12.48,5.603,89.996,-117.436,24.617,1.208,29.512,18.582,195.798,346.286,28.976,2.208
