variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
CO(GT)(t),42.113,23.2,907.899,-0.03,52.692,inf,32.025,28.729,1707.577,0.645,25.6,
PT08.S1(CO)(t),159.093,107.179,21.073,0.466,6.342,0.158,138.611,99.131,51.012,0.331,9.093,0.077
NMHC(GT)(t),24.112,18.403,8.488,0.078,4.885,inf,65.786,52.844,24.67,0.222,14.643,
C6H6(GT)(t),15.843,8.387,51.345,0.401,22.017,0.165,29.759,19.293,40.439,0.397,13.746,0.101
PT08.S2(NMHC)(t),180.785,128.247,24.685,0.529,8.209,0.148,136.491,100.429,50.029,0.307,9.101,0.064
NOx(GT)(t),118.606,84.131,48.076,0.349,24.273,inf,57.773,50.75,23.575,0.378,13.52,
PT08.S3(NOx)(t),170.606,123.46,27.329,0.468,8.284,0.153,164.741,118.376,59.068,0.493,9.035,0.092
NO2(GT)(t),76.377,47.427,34.82,0.154,20.253,inf,44.384,39.412,19.714,0.435,14.639,
PT08.S4(NO2)(t),213.525,144.024,27.148,0.431,6.431,0.15,202.867,144.88,74.376,0.309,9.089,0.064
PT08.S5(O3)(t),238.079,183.387,32.522,0.435,11.344,0.16,129.522,99.204,48.476,0.508,9.473,0.062
T(t),15.438,8.123,24.667,-0.055,11.991,0.217,31.953,20.524,24.977,1.551,11.326,0.166
RH(t),20.84,12.589,18.093,0.172,9.833,0.197,30.633,20.017,13.103,1.299,9.766,0.146
AH(t),12.572,5.824,110.594,-210.408,25.003,1.432,29.534,18.609,233.155,777.136,28.907,2.877
