variable,rmse,mae,mape,r2,smape,nrmse
CO(GT)(t),36.944,16.729,372.644,0.111,41.42,inf
PT08.S1(CO)(t),185.162,130.001,25.277,0.098,7.545,0.185
NMHC(GT)(t),30.527,22.205,9.581,0.896,4.286,
C6H6(GT)(t),17.339,9.431,60.398,-0.033,23.72,0.202
PT08.S2(NMHC)(t),208.455,151.671,28.303,0.279,9.567,0.172
NOx(GT)(t),122.004,86.857,48.78,0.271,23.502,inf
PT08.S3(NOx)(t),175.617,127.808,27.852,0.381,8.941,0.161
NO2(GT)(t),74.803,44.391,31.192,0.183,18.214,inf
PT08.S4(NO2)(t),251.424,172.223,32.485,0.093,7.479,0.179
PT08.S5(O3)(t),268.277,207.903,35.835,0.127,12.441,0.18
T(t),15.885,7.984,17.856,-0.335,10.086,0.211
RH(t),20.965,12.066,17.269,0.268,8.845,0.178
AH(t),13.119,5.843,54.781,-927.344,11.497,1.604
