variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
CO(GT)(t),36.944,16.729,372.644,0.111,41.42,inf,32.546,27.144,438.249,0.633,24.493,
PT08.S1(CO)(t),185.162,130.001,25.277,0.098,7.545,0.185,157.095,112.478,56.045,1.427,9.307,0.096
NMHC(GT)(t),30.527,22.205,9.581,0.896,4.286,,91.305,73.47,33.924,0.406,13.755,
C6H6(GT)(t),17.339,9.431,60.398,-0.033,23.72,0.202,29.984,19.355,49.064,1.31,13.342,0.128
PT08.S2(NMHC)(t),208.455,151.671,28.303,0.279,9.567,0.172,145.177,110.356,52.176,0.774,9.238,0.075
NOx(GT)(t),122.004,86.857,48.78,0.271,23.502,inf,72.6,63.253,31.949,0.611,14.469,
PT08.S3(NOx)(t),175.617,127.808,27.852,0.381,8.941,0.161,156.407,112.113,56.397,0.607,8.921,0.091
NO2(GT)(t),74.803,44.391,31.192,0.183,18.214,inf,50.907,43.527,20.969,0.499,14.467,
PT08.S4(NO2)(t),251.424,172.223,32.485,0.093,7.479,0.179,238.418,172.658,86.287,1.113,9.334,0.089
PT08.S5(O3)(t),268.277,207.903,35.835,0.127,12.441,0.18,154.852,133.485,53.869,1.564,10.301,0.086
T(t),15.885,7.984,17.856,-0.335,10.086,0.211,32.737,21.032,20.613,3.582,14.016,0.247
RH(t),20.965,12.066,17.269,0.268,8.845,0.178,33.862,22.091,18.689,1.294,10.363,0.134
AH(t),13.119,5.843,54.781,-927.344,11.497,1.604,29.929,18.765,168.98,5048.531,14.632,6.688
