variable,rmse,mae,mape,r2,smape,nrmse
CO(GT)(t),370.824,162.177,2447.171,-297.134,162.177,-297.134
PT08.S1(CO)(t),5704.98,2751.418,1256.249,-1600.323,2751.418,-1600.323
NMHC(GT)(t),34.092,26.734,12.092,0.847,26.734,0.847
C6H6(GT)(t),262.402,127.689,295.093,-139.938,127.689,-139.938
PT08.S2(NMHC)(t),8308.411,4073.212,1870.53,-2888.616,4073.212,-2888.616
NOx(GT)(t),3328.612,1693.598,2533.151,-11889.018,1693.598,-11889.018
PT08.S3(NOx)(t),5423.522,2725.265,1256.749,-1380.285,2725.265,-1380.285
NO2(GT)(t),1028.811,577.859,751.172,-3175.409,577.859,-3175.409
PT08.S4(NO2)(t),7702.473,3690.557,1671.405,-1535.772,3690.557,-1535.772
PT08.S5(O3)(t),10016.17,5009.702,2308.089,-4063.763,5009.702,-4063.763
T(t),65.916,36.592,43.28,-6.744,36.592,-6.744
RH(t),141.123,77.636,57.155,-22.974,77.636,-22.974
AH(t),9.09,4.159,255.981,-4393.423,4.159,-4393.423
