variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
CO(GT)(t),370.824,162.177,2447.171,-297.134,66.785,inf,1660.765,715.643,6499.379,1503.174,23.249,
PT08.S1(CO)(t),5704.98,2751.418,1256.249,-1600.323,7.058,3.537,18974.896,9793.493,4715.721,6298.205,10.033,11.538
NMHC(GT)(t),34.092,26.734,12.092,0.847,4.812,,111.501,91.027,42.871,0.686,14.62,
C6H6(GT)(t),262.402,127.689,295.093,-139.938,28.637,1.262,828.73,450.768,797.384,440.951,18.248,3.464
PT08.S2(NMHC)(t),8308.411,4073.212,1870.53,-2888.616,8.893,4.526,26787.271,14675.484,7106.869,10068.33,9.652,14.231
NOx(GT)(t),3328.612,1693.598,2533.151,-11889.018,27.425,inf,10325.843,6541.877,12340.9,59181.201,15.494,
PT08.S3(NOx)(t),5423.522,2725.265,1256.749,-1380.285,9.41,3.408,18093.735,9787.984,4723.421,4816.149,11.177,10.733
NO2(GT)(t),1028.811,577.859,751.172,-3175.409,27.112,inf,3485.263,2379.002,3565.635,16953.287,17.618,
PT08.S4(NO2)(t),7702.473,3690.557,1671.405,-1535.772,7.374,3.088,25237.031,13098.936,6296.935,5957.249,10.409,9.864
PT08.S5(O3)(t),10016.17,5009.702,2308.089,-4063.763,10.55,5.215,32486.029,18168.121,8824.239,14614.276,9.756,16.799
T(t),65.916,36.592,43.28,-6.744,13.063,0.471,216.226,125.935,82.974,21.811,17.228,0.934
RH(t),141.123,77.636,57.155,-22.974,9.358,0.645,454.667,286.83,160.165,75.239,11.139,1.759
AH(t),9.09,4.159,255.981,-4393.423,29.516,5.465,13.236,6.109,446.617,20555.759,37.287,14.521
