window,rmse,mape,mae,r2,smape,nrmse,variable
0,75.472,40.898,43.361,0.588,14.794,0.157,Appliances(t)
0,5.277,inf,3.866,0.449,73.742,0.176,lights(t)
0,0.54,2.165,0.472,0.47,1.068,0.216,T1(t)
0,1.516,2.515,0.945,0.346,1.219,0.11,RH_1(t)
0,0.391,1.476,0.316,0.744,0.731,0.117,T2(t)
0,1.439,2.365,0.865,-0.189,1.143,0.216,RH_2(t)
0,0.16,0.536,0.111,0.855,0.267,0.076,T3(t)
0,1.665,2.686,1.056,0.066,1.299,0.197,RH_3(t)
0,0.143,0.457,0.091,0.976,0.229,0.04,T4(t)
0,0.234,0.334,0.14,0.962,0.167,0.063,RH_4(t)
0,0.809,2.559,0.521,0.488,1.319,0.188,T5(t)
0,4.171,5.3,2.524,0.672,2.51,0.107,RH_5(t)
0,0.518,68.656,0.305,0.87,13.603,0.084,T6(t)
0,1.415,0.961,0.804,0.971,0.485,0.05,RH_6(t)
0,0.091,0.348,0.064,0.96,0.174,0.061,T7(t)
0,0.379,0.504,0.2,0.976,0.253,0.053,RH_7(t)
0,0.406,1.26,0.255,0.734,0.64,0.161,T8(t)
0,0.821,1.202,0.529,0.893,0.592,0.115,RH_8(t)
0,0.393,1.704,0.302,-1.403,0.865,0.515,T9(t)
0,0.349,0.468,0.207,0.981,0.235,0.048,RH_9(t)
0,0.28,14.353,0.252,0.919,6.477,0.07,T_out(t)
0,2.811,0.266,2.02,0.469,0.133,0.229,Press_mm_hg(t)
0,0.925,0.861,0.755,0.985,0.43,0.037,RH_out(t)
0,0.434,8.604,0.314,0.974,3.744,0.05,Windspeed(t)
0,4.616,8.53,3.256,0.84,4.296,0.105,Visibility(t)
0,0.334,inf,0.22,0.888,28.569,0.095,Tdewpoint(t)
657,103.436,50.358,55.407,0.436,17.867,0.128,Appliances(t)
657,6.871,inf,4.085,0.409,78.634,0.137,lights(t)
657,0.781,3.155,0.566,-0.06,1.531,0.325,T1(t)
