window,rmse,mape,mae,r2,smape,nrmse,variable
0,89.556,43.219,51.191,0.419,20.034,0.187,Appliances(t)
0,7.538,inf,4.945,-0.124,84.423,0.251,lights(t)
0,0.494,1.935,0.421,0.557,0.955,0.198,T1(t)
0,1.206,1.818,0.701,0.586,0.898,0.088,RH_1(t)
0,0.551,1.85,0.383,0.492,0.908,0.164,T2(t)
0,1.286,2.697,1.009,0.05,1.318,0.193,RH_2(t)
0,0.245,0.943,0.195,0.659,0.47,0.117,T3(t)
0,1.522,3.35,1.356,0.22,1.641,0.18,RH_3(t)
0,0.944,4.026,0.816,-0.031,2.068,0.262,T4(t)
0,1.095,2.177,0.902,0.169,1.072,0.296,RH_4(t)
0,1.143,4.561,0.906,-0.022,2.364,0.266,T5(t)
0,5.019,7.463,3.731,0.526,3.578,0.128,RH_5(t)
0,1.014,142.711,0.736,0.502,19.857,0.165,T6(t)
0,7.604,7.891,7.051,0.17,4.049,0.267,RH_6(t)
0,0.205,0.921,0.169,0.796,0.461,0.137,T7(t)
0,0.913,1.988,0.764,0.858,0.984,0.128,RH_7(t)
0,0.428,1.716,0.338,0.705,0.864,0.17,T8(t)
0,1.115,2.037,0.917,0.804,1.004,0.157,RH_8(t)
0,0.366,1.768,0.312,-1.082,0.895,0.479,T9(t)
0,1.362,2.336,1.002,0.712,1.144,0.189,RH_9(t)
0,0.692,40.689,0.559,0.507,13.959,0.173,T_out(t)
0,8.006,0.895,6.797,-3.308,0.45,0.653,Press_mm_hg(t)
0,5.422,4.676,3.867,0.501,2.271,0.217,RH_out(t)
0,2.001,42.389,1.726,0.437,15.987,0.231,Windspeed(t)
0,5.645,12.565,4.33,0.76,5.984,0.128,Visibility(t)
0,0.894,inf,0.754,0.197,46.748,0.255,Tdewpoint(t)
657,119.841,54.289,70.747,0.243,41.276,0.148,Appliances(t)
657,8.075,inf,4.608,0.184,86.856,0.161,lights(t)
657,0.614,2.501,0.451,0.344,1.222,0.256,T1(t)
657,1.756,3.724,1.405,-0.058,1.817,0.161,RH_1(t)
657,0.589,2.787,0.477,0.461,1.371,0.226,T2(t)
657,1.533,3.335,1.265,-0.6,1.627,0.371,RH_2(t)
657,0.568,2.786,0.516,0.21,1.372,0.202,T3(t)
657,1.223,2.782,1.073,0.297,1.373,0.185,RH_3(t)
657,1.051,5.381,0.914,-0.184,2.597,0.242,T4(t)
657,1.002,2.193,0.799,-0.274,1.078,0.327,RH_4(t)
