variable,rmse,mae,mape,r2,smape,nrmse
Appliances(t),72.768,42.727,47.747,0.072,42.727,0.072
lights(t),5.4,3.707,inf,-0.636,3.707,-0.636
T1(t),0.253,0.188,0.899,0.721,0.188,0.721
RH_1(t),0.832,0.531,1.336,0.693,0.531,0.693
T2(t),0.31,0.218,1.057,0.874,0.218,0.874
RH_2(t),0.743,0.532,1.332,0.747,0.532,0.747
T3(t),0.367,0.277,1.191,-0.096,0.277,-0.096
RH_3(t),0.571,0.393,0.993,0.603,0.393,0.603
T4(t),0.329,0.252,1.272,0.244,0.252,0.244
RH_4(t),0.609,0.411,1.03,0.639,0.411,0.639
T5(t),0.282,0.202,1.013,0.046,0.202,0.046
RH_5(t),3.121,1.986,3.883,0.193,1.986,0.193
T6(t),0.887,0.662,inf,0.736,0.662,0.736
RH_6(t),2.152,1.418,6.914,-1.2673727440744525e+26,1.418,-1.2673727440744525e+26
T7(t),0.226,0.162,0.805,0.225,0.162,0.225
RH_7(t),1.034,0.805,2.131,0.064,0.805,0.064
T8(t),0.231,0.176,0.794,0.507,0.176,0.507
RH_8(t),0.878,0.633,1.441,0.702,0.633,0.702
T9(t),0.217,0.167,0.894,-0.806,0.167,-0.806
RH_9(t),0.625,0.474,1.095,0.439,0.474,0.439
T_out(t),0.706,0.522,inf,0.641,0.522,0.641
Press_mm_hg(t),1.225,0.965,0.128,0.016,0.965,0.016
RH_out(t),1.844,1.314,2.011,0.947,1.314,0.947
Windspeed(t),0.406,0.272,inf,0.879,0.272,0.879
Visibility(t),2.377,1.581,4.292,0.933,1.581,0.933
Tdewpoint(t),0.705,0.52,inf,-0.222,0.52,-0.222
