variable,rmse,mae,mape,r2,smape,nrmse,rmse_std,mae_std,mape_std,r2_std,smape_std,nrmse_std
Appliances(t),72.917,42.745,47.642,0.078,16.96,0.154,33.654,27.378,36.357,0.772,7.295,0.071
lights(t),5.365,3.659,inf,-0.556,84.027,inf,2.057,1.625,,4.109,12.371,
T1(t),0.255,0.188,0.903,0.705,0.449,0.126,0.232,0.175,0.905,0.477,0.446,0.101
RH_1(t),0.834,0.533,1.341,0.691,0.665,0.098,0.641,0.479,1.254,0.349,0.612,0.061
T2(t),0.312,0.218,1.057,0.874,0.528,0.087,0.208,0.14,0.712,0.178,0.354,0.061
RH_2(t),0.739,0.528,1.321,0.748,0.657,0.095,0.757,0.619,1.341,0.555,0.68,0.086
T3(t),0.368,0.278,1.196,-0.106,0.605,0.192,0.363,0.279,1.146,2.763,0.589,0.204
RH_3(t),0.569,0.391,0.988,0.611,0.49,0.123,0.502,0.346,0.822,0.624,0.406,0.101
T4(t),0.329,0.252,1.271,0.244,0.632,0.173,0.325,0.264,1.454,1.366,0.715,0.168
RH_4(t),0.612,0.412,1.033,0.637,0.518,0.121,0.534,0.378,0.848,0.544,0.429,0.092
T5(t),0.285,0.206,1.032,0.02,0.52,0.176,0.231,0.189,0.893,2.333,0.454,0.216
RH_5(t),3.095,1.959,3.826,0.165,1.882,0.162,1.751,1.244,2.603,1.945,1.234,0.181
T6(t),0.889,0.665,inf,0.742,7.071,0.11,0.782,0.598,,0.586,8.271,0.121
RH_6(t),2.142,1.41,6.912,-1.634385615750606e+26,3.146,inf,1.61,1.007,7.438,8.951898694085776e+26,3.198,
T7(t),0.226,0.163,0.808,0.218,0.405,0.189,0.199,0.144,0.774,0.991,0.386,0.134
RH_7(t),1.038,0.807,2.137,0.052,1.086,0.169,1.164,1.047,2.416,2.747,1.269,0.224
T8(t),0.231,0.176,0.794,0.506,0.394,0.117,0.268,0.234,1.068,1.704,0.52,0.157
RH_8(t),0.874,0.626,1.429,0.712,0.717,0.107,0.833,0.719,1.358,0.753,0.709,0.106
T9(t),0.221,0.171,0.913,-0.876,0.454,0.297,0.229,0.193,1.135,2.788,0.552,0.199
RH_9(t),0.62,0.469,1.083,0.452,0.543,0.127,0.621,0.546,1.156,1.419,0.581,0.175
T_out(t),0.713,0.527,inf,0.63,6.694,0.114,0.615,0.442,,1.009,9.693,0.139
Press_mm_hg(t),1.232,0.973,0.129,0.006,0.064,0.218,1.454,1.188,0.157,1.862,0.079,0.204
RH_out(t),1.856,1.324,2.025,0.945,0.976,0.054,1.352,0.817,1.848,0.068,0.806,0.027
Windspeed(t),0.407,0.271,inf,0.877,3.754,0.07,0.401,0.252,,0.266,2.321,0.052
Visibility(t),2.391,1.596,4.323,0.932,2.139,0.068,1.105,0.787,2.046,0.073,1.005,0.017
Tdewpoint(t),0.703,0.52,inf,-0.197,10.953,0.162,0.613,0.509,,4.153,10.035,0.207
